Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No,Invoice No,Invoiced Value,Supplier Name,Address Book No.,Proclass Details Level 1,Thomson Classification Description
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369705,630059272,3094.00,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369707,121962,874,REDACTED PERSONAL DATA,349291,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369709,630059273,3094.00,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369711,630059275,2886.80,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369713,630059276,2970.24,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369715,630059277,3290.00,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369717,630059279,5868.80,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369719,630059280,3604.25,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369721,630059287,3604.25,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369723,630059290,3411.80,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369725,630059294,5246.92,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-11-30,3369727,630059296,3604.25,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-11-30,3369729,630059297,4932.20,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-11-30,3369731,630059298,3604.25,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369732,630059300,2843.40,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369734,630059301,2843.40,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369736,630059302,3676.29,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369738,630059303,3676.29,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369741,630059304,3676.29,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369743,630059306,3199.84,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369744,630059307,3676.29,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369747,630059308,2843.40,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-11-30,3369749,630059312,3676.29,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-11-30,3369750,630059313,3604.25,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369753,630059315,2702.00,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-11-30,3369755,630059317,3676.29,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369757,63059262,3604.25,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369758,81444,4042.64,REDACTED PERSONAL DATA,344830,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369760,81445,3423.00,REDACTED PERSONAL DATA,344830,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369762,81446,3210.48,REDACTED PERSONAL DATA,344830,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369765,81447,3814.44,REDACTED PERSONAL DATA,344830,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369767,NFA72810,2791.60,REDACTED PERSONAL DATA,432914,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369769,NFA72811,2791.60,REDACTED PERSONAL DATA,432914,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-11-30,3369770,NFA72813,3060.12,REDACTED PERSONAL DATA,432914,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369772,NFA7281,3060.12,REDACTED PERSONAL DATA,432914,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369774,NFA72814,2966.04,REDACTED PERSONAL DATA,432914,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369776,13478,3158.40,REDACTED PERSONAL DATA,329839,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369778,14295,3514.80,REDACTED PERSONAL DATA,433761,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369780,14296,2813.96,REDACTED PERSONAL DATA,433761,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369782,18133,2741.57,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369786,18135,3411.80,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369788,18138,3343.48,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369790,18139,3411.80,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369793,18140,3411.80,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369795,18141,3411.80,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369797,18142,3411.80,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369799,18143,3411.80,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369801,18144,3411.80,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369803,18145,3411.80,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369805,18147,3411.80,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-11-30,3369807,18149,3411.80,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-11-30,3369809,18151,3241.28,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-11-30,3369810,18152,3411.80,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369812,18154,3411.80,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369814,18155,3411.80,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369831,6300592250,5776.96,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
LEAVING CARE,9270,INDEPENDENT FOSTERING,2012-11-30,3369833,630059234,3459.75,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369835,630059235,3532.19,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369837,630059236,3604.25,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369839,630059237,4692.52,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-11-30,3369841,630059242,5160.40,REDACTED PERSONAL DATA,328618,Social Community Care,ADOPTION & FOSTERING
CWD INDEPENDENT PLACEMENTS,9270,INDEPENDENT RESIDENTIAL PMENT,2012-11-30,3369842,7451,7936.40,BALBY (HEATHCOTES),552815,Social Community Care,RESIDENTIAL CARE HOMES
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-11-30,3369844,8420,3829.30,HUTTON CARE PARTNERSHIP LTD,422809,Social Community Care,SHELTERED HOUSING
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-11-30,3369846,8422,3829.30,HUTTON CARE PARTNERSHIP LTD,422809,Social Community Care,SHELTERED HOUSING
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-11-30,3369848,8423,3829.30,HUTTON CARE PARTNERSHIP LTD,422809,Social Community Care,SHELTERED HOUSING
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-11-30,3369850,8424,3829.30,HUTTON CARE PARTNERSHIP LTD,422809,Social Community Care,SHELTERED HOUSING
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-11-30,3369852,IN/147/84,7630.60,BROOKFIELD HOUSE,329936,Social Community Care,CHILDREN'S HOMES
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-11-30,3369854,KH13137,10000.00,QUALITY PROTECTS CHILDREN LTD,420011,Social Community Care,CHILDREN'S HOMES
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-11-30,3369858,NH13115,10000.00,QUALITY PROTECTS CHILDREN LTD,420011,Social Community Care,CHILDREN'S HOMES
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-11-30,3369860,107146,11200.00,THE KEYS GROUP,328876,Social Community Care,CHILDREN'S HOMES
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-11-30,3369862,17391,9199.96,CARE TODAY,382727,Social Community Care,CHILDREN'S HOMES
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-11-30,3369866,25279,10799.88,THE KEYS GROUP,325353,Social Community Care,CHILDREN'S HOMES
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-11-30,3369868,25289,9636.76,THE KEYS GROUP,328876,Social Community Care,CHILDREN'S HOMES
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-11-30,3369871,25290,9600.08,THE KEYS GROUP,328876,Social Community Care,CHILDREN'S HOMES
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-11-30,3369873,501327,10737.84,NORTHERN LIFE CARE LTD T/A UBU,207163,Social Community Care,RESIDENTIAL CARE HOMES
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-11-30,3369874,501328,10737.84,NORTHERN LIFE CARE LTD T/A UBU,207163,Social Community Care,RESIDENTIAL CARE HOMES
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-11-30,3369876,501329,6343.36,NORTHERN LIFE CARE LTD T/A UBU,207163,Social Community Care,RESIDENTIAL CARE HOMES
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-11-30,3369879,501330,6343.36,NORTHERN LIFE CARE LTD T/A UBU,207163,Social Community Care,RESIDENTIAL CARE HOMES
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-11-30,3369881,501331,7883.72,NORTHERN LIFE CARE LTD T/A UBU,207163,Social Community Care,RESIDENTIAL CARE HOMES
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-11-30,3369883,501332,7883.72,NORTHERN LIFE CARE LTD T/A UBU,207163,Social Community Care,RESIDENTIAL CARE HOMES
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-11-30,3369884,501333,3097.18,NORTHERN LIFE CARE LTD T/A UBU,207163,Social Community Care,RESIDENTIAL CARE HOMES
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-11-30,3369887,501334,3666.07,NORTHERN LIFE CARE LTD T/A UBU,207163,Social Community Care,RESIDENTIAL CARE HOMES
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-11-30,3369889,501335,7883.72,NORTHERN LIFE CARE LTD T/A UBU,207163,Social Community Care,RESIDENTIAL CARE HOMES
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-11-30,3369891,501336,7883.72,NORTHERN LIFE CARE LTD T/A UBU,207163,Social Community Care,RESIDENTIAL CARE HOMES
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-11-30,3369894,5348,7800.64,PROGRESSIVE CARE LTD,343548,Social Community Care,CHILDREN'S HOMES
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-11-30,3369896,5405,11400.00,PROGRESSIVE CARE LTD,343548,Social Community Care,CHILDREN'S HOMES
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-11-30,3369898,5406,11400.00,PROGRESSIVE CARE LTD,343548,Social Community Care,CHILDREN'S HOMES
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-11-30,3369899,5408,6921.43,PROGRESSIVE CARE LTD,343548,Social Community Care,CHILDREN'S HOMES
WEST SA - CIN S17,9270,CARELEAVERS INDEPENDENT LIVING,2012-11-30,3369910,35348,1027.50,LANGUAGE LINE LIMITED,471915,Human Resources,TRANSLATORS & INTERPRETERS
ASYLUM SEEKER CONTRACT,6210,RENTS,2012-11-30,3369539,MPA20121130147 6,764.38,MR T JEFFCOATE,516245,Unclassified Trade,LETTING AGENTS
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2012-11-30,3369646,J537454 111112,1619.08,BLUEBELL LODGE,508457,Social Community Care,RESIDENTIAL CARE HOMES
PURCHASING LEARNING DISABILITI,9200,CONTINUING RESIDENTIAL CARE,2012-11-30,3369649,J545733 091212,6835.20,BROOMHOUSE,362002,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2012-11-30,3369651,J545937 091212,1619.08,BLUEBELL LODGE,508457,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2012-11-30,3369652,J545941 091212,1729.28,NEWTOWN HOUSE,516808,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2012-11-30,3369655,J550781 091212,4683.57,SPRINGWOOD,361812,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9210,CONTINUING NURSING CARE,2012-11-30,3369657,J550785 091212,2178.43,HENLEIGH HALL,362109,Social Community Care,NURSING HOMES
PURCHASING,9200,SHORT TERM RESIDENTIAL CARE,2012-11-30,3369661,J551224 111112,3128.00,LOWER BOWSHAW VIEW NH,362101,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9200,SHORT TERM RESIDENTIAL CARE,2012-11-30,3369663,J551225 111112,1232.14,NETHERMORE CARE HOME (PREVIOUSLY KILLAMA,361936,Social Community Care,REST & RETIREMENT HOMES
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2012-12-03,3371361,ERS INVOICE76047,400,REDACTED PERSONAL DATA,546039,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2012-12-03,3371368,ERS INVOICE76057,400,REDACTED PERSONAL DATA,575766,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2012-12-03,3371369,ERS INVOICE76058,400,REDACTED PERSONAL DATA,575776,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2012-12-03,3371370,ERS INVOICE76059,400,REDACTED PERSONAL DATA,575792,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2012-12-03,3371371,ERS INVOICE76060,400,REDACTED PERSONAL DATA,575803,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2012-12-03,3371372,ERS INVOICE76061,400,REDACTED PERSONAL DATA,575805,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2012-12-03,3371373,ERS INVOICE76062,400,REDACTED PERSONAL DATA,575821,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2012-12-03,3371374,ERS INVOICE76063,350,REDACTED PERSONAL DATA,575837,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2012-12-03,3371375,ERS INVOICE76064,400,REDACTED PERSONAL DATA,575840,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
WORKFORCE DEVELOPMENT,8440,FEE EXPENSES,2012-12-03,3371376,ERS INVOICE76065,7639.00,NCH - THE MEADOW CHILDREN'S CENTRE,472657,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2012-12-03,3371377,ERS INVOICE76066,400,REDACTED PERSONAL DATA,575838,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2012-12-03,3371378,ERS INVOICE76067,400,REDACTED PERSONAL DATA,575841,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2012-12-03,3371379,ERS INVOICE76068,400,REDACTED PERSONAL DATA,575842,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2012-12-03,3371380,ERS INVOICE76069,400,REDACTED PERSONAL DATA,575843,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2012-12-03,3371381,ERS INVOICE76070,400,REDACTED PERSONAL DATA,575855,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
UNIVERSAL YOUTH SERVICE,9120,OTHER AGENCIES,2012-12-03,3371382,ERS INVOICE76071,2204.00,WOODHOUSE & DISTRICT COMMUNITY FORUM,482835,Unclassified Non Trade,COMMUNITY PROJECTS
COMMUNITY ASSEMBLY NORTH,9120,OTHER AGENCIES,2012-12-03,3371384,ERS INVOICE76073,1000.00,105TH HIGH GREEN SCOUT GROUP,556234,Unclassified Non Trade,COMMUNITY PROJECTS
COMMUNITY ASSEMBLY NORTH,9120,OTHER AGENCIES,2012-12-03,3371386,ERS INVOICE76075,1000.00,CHAPELTOWN IN BLOOM,541158,Unclassified Non Trade,COMMUNITY PROJECTS
COMMUNITY ASSEMBLY NORTH,9120,OTHER AGENCIES,2012-12-03,3371387,ERS INVOICE76076,919,ACTION FOR STANNINGTON,414761,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
COMMUNITY ASSEMBLY NORTH,9120,OTHER AGENCIES,2012-12-03,3371388,ERS INVOICE76077,1000.00,STANNINGTON TARA,363203,Unclassified Non Trade,COMMUNITY PROJECTS
HULL - HUMBER SUB REGION HAL,1194,OTHER FEES,2012-12-03,3371389,ERS INVOICE76078,747.75,CLASSICAL GAS LTD,546540,Construction,GAS INSTALLERS
CARE PROCEEDINGS (LEGAL FEES),8480,COURT COSTS,2012-12-03,3371390,ERS INVOICE76079,2225.00,CEC MORLEY,537729,Unclassified Non Trade,COURTS
HULL - HUMBER SUB REGION HAL,1194,OTHER FEES,2012-12-03,3371391,ERS INVOICE76080,391.56,HULL CITY COUNCIL,326308,Unclassified Non Trade,LOCAL GOVERNMENT
SHEFFIELD COMMUNITY NETWORK,9120,OTHER AGENCIES,2012-12-03,3371392,ERS INVOICE76081,3778.76,SERO CONSULTING LTD,434360,Consultancy,BUSINESS & MANAGEMENT CONSULTA
CARE PROCEEDINGS (LEGAL FEES),8480,COURT COSTS,2012-12-03,3371393,ERS INVOICE76082,2225.00,CEC MORLEY,537729,Unclassified Non Trade,COURTS
SHEFFIELD COMMUNITY NETWORK,9120,OTHER AGENCIES,2012-12-03,3371394,ERS INVOICE76083,2946.95,COMMUNITY MEDIA ASSOCIATION,562477,Unclassified Non Trade,COMMUNITY PROJECTS
SHEFFIELD COMMUNITY NETWORK,9120,OTHER AGENCIES,2012-12-03,3371395,ERS INVOICE76084,5016.99,TRUSTEES OF ACCESS SPACE NETWORK,385033,Leisure Services,ARTS CENTRES
CARE PROCEEDINGS (LEGAL FEES),8480,COURT COSTS,2012-12-03,3371396,ERS INVOICE76085,2225.00,CEC MORLEY,537729,Unclassified Non Trade,COURTS
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2012-12-03,3371397,ERS INVOICE76086,686.24,CARTER BROWN ASSOCIATES LTD,417243,Medical,PSYCHOLOGISTS
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2012-12-03,3371398,ERS INVOICE76087,684.3,CARTER BROWN ASSOCIATES LTD,417243,Medical,PSYCHOLOGISTS
VS - BUILDING COHESION,8180,GRANTS,2012-12-03,3371399,ERS INVOICE76088,2000.00,MENTAL HEALTH ACTION GROUP SHEFFIELD,332590,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS - BUILDING COHESION,8180,GRANTS,2012-12-03,3371400,ERS INVOICE76089,1667.00,SHEFFIELD CHINESE SCHOOL,325468,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2012-12-03,3371401,ERS INVOICE76090,400,REDACTED PERSONAL DATA,575897,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2012-12-03,3371402,ERS INVOICE76091,270,REDACTED PERSONAL DATA,575906,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2012-12-03,3371403,ERS INVOICE76092,400,REDACTED PERSONAL DATA,575907,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2012-12-03,3371404,ERS INVOICE76093,400,REDACTED PERSONAL DATA,575908,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2012-12-03,3371405,ERS INVOICE76094,400,REDACTED PERSONAL DATA,575909,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2012-12-03,3371406,ERS INVOICE76095,400,REDACTED PERSONAL DATA,575910,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2012-12-03,3371407,ERS INVOICE76096,400,REDACTED PERSONAL DATA,575911,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2012-12-03,3371408,ERS INVOICE76097,400,REDACTED PERSONAL DATA,575912,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
