Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No,Invoice No,Invoiced Value,Supplier Name,Address Book No,Proclass Details Level 1,Thomson Classification Description
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430246,J586207,687.64,REDACTED PERSONAL DATA,565949,Social Community Care,CAREFIRST DIRECT PAYMENTS
CARERS SPECIAL GRANT,9190,DIRECT PAYMENTS,2013-03-25,3430247,J586207,263.2,REDACTED PERSONAL DATA,565950,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430248,J586207,295.36,REDACTED PERSONAL DATA,565953,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430249,J586207,1548.76,REDACTED PERSONAL DATA,374318,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430251,J586207,337.04,REDACTED PERSONAL DATA,565964,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
PDSI PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430253,J586207,413.16,REDACTED PERSONAL DATA,565970,Social Community Care,CAREFIRST DIRECT PAYMENTS
RIGHT TO CONTROL,9190,DIRECT PAYMENTS,2013-03-25,3430255,J586207,338.8,REDACTED PERSONAL DATA,565990,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430256,J586207,641.76,REDACTED PERSONAL DATA,566302,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430257,J586207,1188.92,REDACTED PERSONAL DATA,566442,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
PDSI PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430258,J586207,887.92,REDACTED PERSONAL DATA,566499,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430260,J586207,437.52,REDACTED PERSONAL DATA,375417,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430263,J586207,335.92,REDACTED PERSONAL DATA,566610,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-03-25,3430264,J586207,842.68,REDACTED PERSONAL DATA,566612,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430268,J586207,2219.00,REDACTED PERSONAL DATA,566618,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430269,J586207,510.12,REDACTED PERSONAL DATA,566620,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430270,J586207,788.48,REDACTED PERSONAL DATA,566622,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430271,J586207,1212.04,REDACTED PERSONAL DATA,375780,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430272,J586207,608.16,REDACTED PERSONAL DATA,566625,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430274,J586207,983.16,REDACTED PERSONAL DATA,566629,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430275,J586207,395.84,REDACTED PERSONAL DATA,566671,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430276,J586207,1500.00,REDACTED PERSONAL DATA,566678,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430278,J586207,1179.48,REDACTED PERSONAL DATA,566685,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-03-25,3430280,J586207,770.28,REDACTED PERSONAL DATA,566904,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430282,J586207,1657.32,REDACTED PERSONAL DATA,377286,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430283,J586207,694.16,REDACTED PERSONAL DATA,567003,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430284,J586207,642,REDACTED PERSONAL DATA,567006,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-03-25,3430285,J586207,1170.00,REDACTED PERSONAL DATA,567011,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430289,J586207,388.16,REDACTED PERSONAL DATA,567033,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-03-25,3430290,J586207,774.84,REDACTED PERSONAL DATA,567043,Social Community Care,CAREFIRST DIRECT PAYMENTS
PDSI PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430291,J586207,733.4,REDACTED PERSONAL DATA,567044,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430293,J586207,3260.48,REDACTED PERSONAL DATA,377763,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-03-25,3430294,J586207,5488.00,REDACTED PERSONAL DATA,567050,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-03-25,3430295,J586207,5431.48,REDACTED PERSONAL DATA,567051,Social Community Care,CAREFIRST DIRECT PAYMENTS
CARERS SPECIAL GRANT,9190,DIRECT PAYMENTS,2013-03-25,3430296,J586207,509.48,REDACTED PERSONAL DATA,567077,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430297,J586207,279.8,REDACTED PERSONAL DATA,567089,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430299,J586207,269.92,REDACTED PERSONAL DATA,567132,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430300,J586207,2673.92,REDACTED PERSONAL DATA,567133,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-03-25,3430301,J586207,1506.68,REDACTED PERSONAL DATA,567137,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430302,J586207,1025.96,REDACTED PERSONAL DATA,567255,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430304,J586207,652.64,REDACTED PERSONAL DATA,378584,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430308,J586207,846.92,REDACTED PERSONAL DATA,567293,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430309,J586207,417.44,REDACTED PERSONAL DATA,567314,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-03-25,3430310,J586207,1163.28,REDACTED PERSONAL DATA,567445,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430312,J586207,925.36,REDACTED PERSONAL DATA,567752,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430314,J586207,601.32,REDACTED PERSONAL DATA,567767,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430315,J586207,340.28,REDACTED PERSONAL DATA,381452,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430316,J586207,802.24,REDACTED PERSONAL DATA,567769,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-03-25,3430317,J586207,2307.64,REDACTED PERSONAL DATA,567793,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-03-25,3430318,J586207,371,REDACTED PERSONAL DATA,567794,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-03-25,3430319,J586207,1043.80,REDACTED PERSONAL DATA,567796,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430320,J586207,508.04,REDACTED PERSONAL DATA,567798,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430321,J586207,532.8,REDACTED PERSONAL DATA,567804,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430322,J586207,1947.62,REDACTED PERSONAL DATA,567911,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430323,J586207,359.08,REDACTED PERSONAL DATA,567919,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430324,J586207,259,REDACTED PERSONAL DATA,567927,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430325,J586207,643.88,REDACTED PERSONAL DATA,567930,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430326,J586207,1485.68,REDACTED PERSONAL DATA,381478,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-03-25,3430327,J586207,2529.56,REDACTED PERSONAL DATA,567932,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430328,J586207,1165.08,REDACTED PERSONAL DATA,567936,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430329,J586207,642.72,REDACTED PERSONAL DATA,567937,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-03-25,3430330,J586207,2466.64,REDACTED PERSONAL DATA,567939,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430332,J586207,663.72,REDACTED PERSONAL DATA,568192,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430333,J586207,2199.28,HADFIELD INSTITUTE LTD,568195,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-03-25,3430334,J586207,984.4,REDACTED PERSONAL DATA,568343,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430335,J586207,1644.68,REDACTED PERSONAL DATA,568443,Social Community Care,CAREFIRST DIRECT PAYMENTS
CARERS SPECIAL GRANT,9190,DIRECT PAYMENTS,2013-03-25,3430336,J586207,500,REDACTED PERSONAL DATA,568514,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430337,J586207,1690.72,REDACTED PERSONAL DATA,385243,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430338,J586207,486.48,REDACTED PERSONAL DATA,568522,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430339,J586207,4565.36,REDACTED PERSONAL DATA,568533,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430341,J586207,618.64,REDACTED PERSONAL DATA,568541,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
CARERS SPECIAL GRANT,9190,DIRECT PAYMENTS,2013-03-25,3430342,J586207,501.56,NOMAD OPENING DOORS,568571,Social Community Care,HOME SUPPORT SERVICES
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-03-25,3430342,J586207,6129.75,NOMAD OPENING DOORS,568571,Social Community Care,HOME SUPPORT SERVICES
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430342,J586207,7897.88,NOMAD OPENING DOORS,568571,Social Community Care,HOME SUPPORT SERVICES
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430343,J586207,2198.60,TWLEVE TREES LTD,568572,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-03-25,3430344,J586207,2579.56,SL PAYROLL,568604,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430345,J586207,490,AGE UK,568628,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430345,J586207,343.72,AGE UK,568628,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430347,J586207,532.12,REDACTED PERSONAL DATA,568769,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430348,J586207,645.96,REDACTED PERSONAL DATA,387053,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430350,J586207,869.16,REDACTED PERSONAL DATA,568771,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-03-25,3430351,J586207,2755.68,REDACTED PERSONAL DATA,568772,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430352,J586207,422.52,LIFETIME HOMECARE LTD,568776,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430354,J586207,399.76,REDACTED PERSONAL DATA,569282,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430355,J586207,736.44,REDACTED PERSONAL DATA,569357,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430356,J586207,707.12,360 HEALTHCARE,569358,Medical,DOCTORS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-03-25,3430357,J586207,291.52,REDACTED PERSONAL DATA,569359,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430358,J586207,707.62,REDACTED PERSONAL DATA,569424,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430359,J586207,792.36,REDACTED PERSONAL DATA,391841,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430362,J586207,383.28,REDACTED PERSONAL DATA,569593,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430363,J586207,300,REDACTED PERSONAL DATA,569594,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430366,J586207,257.64,REDACTED PERSONAL DATA,569608,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430367,J586207,313.6,REDACTED PERSONAL DATA,569609,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430369,J586207,782.4,REDACTED PERSONAL DATA,569612,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430370,J586207,1347.00,REDACTED PERSONAL DATA,395467,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430372,J586207,1165.12,REDACTED PERSONAL DATA,569742,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430373,J586207,1254.69,REDACTED PERSONAL DATA,569925,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430374,J586207,941.08,REDACTED PERSONAL DATA,570081,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430375,J586207,553.88,REDACTED PERSONAL DATA,570086,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430377,J586207,453.16,REDACTED PERSONAL DATA,570254,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430379,J586207,749.32,REDACTED PERSONAL DATA,570287,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430380,J586207,524.4,REDACTED PERSONAL DATA,570301,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430381,J586207,965.56,REDACTED PERSONAL DATA,396821,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-03-25,3430382,J586207,672.16,REDACTED PERSONAL DATA,570318,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430383,J586207,359.08,REDACTED PERSONAL DATA,570319,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430384,J586207,336,REDACTED PERSONAL DATA,570323,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-03-25,3430385,J586207,746,REDACTED PERSONAL DATA,570526,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-03-25,3430386,J586207,598,REDACTED PERSONAL DATA,570535,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430387,J586207,1818.88,REDACTED PERSONAL DATA,570536,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430388,J586207,453.68,REDACTED PERSONAL DATA,570537,Social Community Care,CAREFIRST DIRECT PAYMENTS
CARERS SPECIAL GRANT,9190,DIRECT PAYMENTS,2013-03-25,3430389,J586207,494.52,REDACTED PERSONAL DATA,570539,Social Community Care,CAREFIRST DIRECT PAYMENTS
CARERS SPECIAL GRANT,9190,DIRECT PAYMENTS,2013-03-25,3430390,J586207,403.44,REDACTED PERSONAL DATA,570570,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-03-25,3430391,J586207,1262.04,REDACTED PERSONAL DATA,570735,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430392,J586207,542.88,REDACTED PERSONAL DATA,396822,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-03-25,3430393,J586207,2002.16,REDACTED PERSONAL DATA,570754,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430394,J586207,1132.96,REDACTED PERSONAL DATA,570828,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430396,J586207,1155.16,REDACTED PERSONAL DATA,570832,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430397,J586207,412.32,REDACTED PERSONAL DATA,570889,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430399,J586207,471.96,REDACTED PERSONAL DATA,570933,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430401,J586207,305.8,REDACTED PERSONAL DATA,571035,Social Community Care,CAREFIRST DIRECT PAYMENTS
CARERS SPECIAL GRANT,9190,DIRECT PAYMENTS,2013-03-25,3430402,J586207,402.4,REDACTED PERSONAL DATA,571038,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430403,J586207,1667.12,REDACTED PERSONAL DATA,396906,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430405,J586207,508.72,REDACTED PERSONAL DATA,571131,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430406,J586207,953.84,REDACTED PERSONAL DATA,571133,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430407,J586207,261.44,REDACTED PERSONAL DATA,571134,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430409,J586207,1447.76,REDACTED PERSONAL DATA,571234,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
CARERS SPECIAL GRANT,9190,DIRECT PAYMENTS,2013-03-25,3430411,J586207,605,REDACTED PERSONAL DATA,571353,Social Community Care,CAREFIRST DIRECT PAYMENTS
CARERS SPECIAL GRANT,9190,DIRECT PAYMENTS,2013-03-25,3430413,J586207,331.84,REDACTED PERSONAL DATA,571401,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430414,J586207,828.92,REDACTED PERSONAL DATA,397318,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430416,J586207,683.48,REDACTED PERSONAL DATA,571873,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-03-25,3430417,J586207,534.44,REDACTED PERSONAL DATA,571878,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9210,FUNDED NURSING CARE (INCOME),2013-03-25,3430417,J586207,1540.00,REDACTED PERSONAL DATA,571878,Social Community Care,CAREFIRST DIRECT PAYMENTS
PDSI PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430418,J586207,445.88,REDACTED PERSONAL DATA,571880,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2013-03-25,3430420,J586207,849.88,REDACTED PERSONAL DATA,571885,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430422,J586207,454.88,REDACTED PERSONAL DATA,571891,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430424,J586207,336,REDACTED PERSONAL DATA,571896,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430425,J586207,1182.00,REDACTED PERSONAL DATA,398128,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430426,J586207,306.8,REDACTED PERSONAL DATA,571931,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430427,J586207,1780.84,REDACTED PERSONAL DATA,571932,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430428,J586207,389.16,REDACTED PERSONAL DATA,571947,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430429,J586207,557.16,REDACTED PERSONAL DATA,571950,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2013-03-25,3430430,J586207,394.88,REDACTED PERSONAL DATA,571972,Social Community Care,CAREFIRST DIRECT PAYMENTS
