Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L description.
Salford City Council,2017-09-26,601201584,9268.35,0,9268.35,Fledglings (Irlam) Limited,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201585,11610.9,0,11610.9,Folly Brook Nursery Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201628,2941.05,0,2941.05,Fun4All Cic,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201586,12120.15,0,12120.15,Fun4All Cic,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201680,8484,0,8484,Habonim Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201653,4446.75,0,4446.75,Happy Feet Day Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201546,2138.85,0,2138.85,Haya Cohen,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201689,7499.1,0,7499.1,Holly House Day Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201587,17110.8,0,17110.8,Holly House Day Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201548,594.13,0,594.13,Holy Angels Playgroup,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201656,808.5,0,808.5,Jitterbugz Day Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201588,5133.24,0,5133.24,Jitterbugz Day Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201683,17471.25,0,17471.25,Kerem Shloime Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201669,3610.95,0,3610.95,Kiddiewinkles Pre School,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201589,9617.55,0,9617.55,Kiddiewinkles Pre School,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201658,3234,0,3234,Kids Planet Day Nurseries Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201691,15805.5,0,15805.5,Kids Planet Day Nurseries Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201684,16727.7,0,16727.7,Kids Planet Day Nurseries Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201590,19729.8,0,19729.8,Kids Planet Day Nurseries Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201621,2208.23,0,2208.23,Kidz Corner Childcare Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201530,2828.63,0,2828.63,Kidz Corner Childcare Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201693,8810.55,0,8810.55,Kidz R Us Nursery Ltd - Pendlebury,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201591,9268.35,0,9268.35,Kidz R Us Nursery Ltd - Pendlebury,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201692,8423.1,0,8423.1,Kidz R Us Nursery Ltd - Swinton,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201592,13546.05,0,13546.05,Kidz R Us Nursery Ltd - Swinton,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201554,3191.3,0,3191.3,Kidzrus Nursery Ltd - Irlam,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201694,6759.15,0,6759.15,Kidzrus Nursery Ltd - Irlam,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201695,7804.65,0,7804.65,Kidzrus Nursery Ltd-Langworth Rd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201593,15684.9,0,15684.9,Kidzrus Nursery Ltd-Langworth Rd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201696,5715.15,0,5715.15,Ladybird Private Day Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201594,24851.41,0,24851.41,Ladybird Private Day Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201558,2087.93,0,2087.93,Little Acorns Day Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201634,3677.1,0,3677.1,Little Acorns Day Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201636,635.25,0,635.25,Little Explorers,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201559,1853.67,0,1853.67,Little Explorers,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201595,7842.45,0,7842.45,Little Explorers Day Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201635,3874.5,0,3874.5,Little Explorers Eccles,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201659,3289.65,0,3289.65,Little Gems Private Day Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201560,2138.85,0,2138.85,Little Learners,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201533,4277.7,0,4277.7,Little Me Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201697,5218.43,0,5218.43,Little People Day Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201596,14157.16,0,14157.16,Little People Day Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201638,3860.85,0,3860.85,Little Saints Day Care Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201597,22828.96,0,22828.96,Little Saints Day Care Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201639,1203.3,0,1203.3,Little Sprouts Day Nursery Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201561,4990.65,0,4990.65,Little Sprouts Day Nursery Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201563,4277.7,0,4277.7,Manchester Jnr Girls School,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201598,9115.57,0,9115.57,Manchester Jnr Girls School,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201618,28743.75,0,28743.75,Manchester Jnr Girls School,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201565,2138.85,0,2138.85,Merlin Childcare,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201642,1617,0,1617,Mice To Meet You Playgroup Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201599,17823.75,0,17823.75,Mice To Meet You Playgroup Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201566,2851.8,0,2851.8,Monton Village School Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201698,12248.04,0,12248.04,Monton Village School Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201685,7481.25,0,7481.25,Oyy Lubavitch Girls School,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201643,1291.5,0,1291.5,Pomegranate Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201662,1128.45,0,1128.45,Precious Little Ones Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201600,9268.35,0,9268.35,Precious Little Ones Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201601,14259,0,14259,Rainbows Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201539,712.95,0,712.95,Redacted Data,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201540,712.95,0,712.95,Redacted Data,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201541,712.95,0,712.95,Redacted Data,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201547,712.95,0,712.95,Redacted Data,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201551,712.95,0,712.95,Redacted Data,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201552,712.95,0,712.95,Redacted Data,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201553,712.95,0,712.95,Redacted Data,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201555,712.95,0,712.95,Redacted Data,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201557,712.95,0,712.95,Redacted Data,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201556,712.95,0,712.95,Redacted Data,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201544,712.95,0,712.95,Redacted Data,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201567,712.95,0,712.95,Redacted Data,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201572,712.95,0,712.95,Redacted Data,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201578,712.95,0,712.95,Redacted Data,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201672,808.5,0,808.5,Redacted Data,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201649,1162.7,0,1162.7,Redacted Data,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201542,1425.9,0,1425.9,Redacted Data,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201564,1425.9,0,1425.9,Redacted Data,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201568,1425.9,0,1425.9,Redacted Data,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201545,2851.8,0,2851.8,Redacted Data,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201550,3564.75,0,3564.75,Redacted Data,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201633,4331.25,0,4331.25,Redacted Data,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201645,3805.2,0,3805.2,Roobyloos Childrens Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201663,1203.3,0,1203.3,St Ambrose Young Families,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201569,2087.93,0,2087.93,St Ambrose Young Families,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201570,4277.7,0,4277.7,St Lukes Pre-School Playgroup,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201571,4532.34,0,4532.34,St Pauls Peel Playgroup Fund,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201573,2851.8,0,2851.8,Sylvan Court Day Nursery Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201700,5512.5,0,5512.5,Sylvan Court Day Nursery Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201549,3462.9,0,3462.9,T/A Holyrood Day Nursery - Hope,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201682,10505.88,0,10505.88,T/A Holyrood Day Nursery - Hope,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201604,7842.45,0,7842.45,T/A Holyrood Day Nursery - Media Ci,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201681,11319,0,11319,T/A Holyrood Day Nursery - Media Ci,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201655,4743.2,0,4743.2,T/A Holyrood Day Nursery - Salford,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201602,12069.23,0,12069.23,T/A Holyrood Day Nursery - Salford,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201579,654.75,0,654.75,T/A Holyrood Day Nursery (Swinton),Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201690,5302.95,0,5302.95,T/A Holyrood Day Nursery (Swinton),Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201603,13495.13,0,13495.13,T/A Holyrood Day Nursery (Swinton),Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201613,32233.95,0,32233.95,Talmud Torah Chinuch N'Orim,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201614,38728.2,0,38728.2,Talmud Torah Yetev Lev Ltd-Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201574,4736.03,0,4736.03,Tashbar Academy Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201562,3564.75,0,3564.75,The Dollhouse,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201575,3564.75,0,3564.75,The Manse Day Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201702,4851,0,4851,The Manse Day Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201616,27673.8,0,27673.8,The New Girls School,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201647,4011,0,4011,The Stables Day Nursery Limited,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201605,7027.65,0,7027.65,The Stables Day Nursery Limited,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201576,2342.55,0,2342.55,The Stables Day Nursery Monton,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201664,2644.35,0,2644.35,The Stables Day Nursery Monton,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201531,1018.5,0,1018.5,Tinytots Vision Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201623,1968,0,1968,Tinytots Vision Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201532,4415.93,0,4415.93,Tinytots Vision Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201624,1770.14,0,1770.14,Tinytots Vision Nursery Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201606,5092.5,0,5092.5,Tinytots Vision Nursery Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201686,20140.58,0,20140.58,Toras Emes,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201607,6416.55,0,6416.55,Treasures Child Care Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201668,2425.5,0,2425.5,Unicorn Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201687,6715.8,0,6715.8,University Of Salford Busy Bees,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201608,10354.75,0,10354.75,University Of Salford Busy Bees,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201665,919.8,0,919.8,Wasp Pre-School,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201666,1923.75,0,1923.75,Wasp Pre-School,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201577,4990.65,0,4990.65,Wasp Pre-School,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201671,2885.4,0,2885.4,Westwood Smarties,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201609,8555.4,0,8555.4,Westwood Smarties,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201667,1212.75,0,1212.75,Wow Kids Ltd T/A Bright Futures,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201648,1268.4,0,1268.4,Yogurt Pots Childcare Services,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,601201610,14971.95,0,14971.95,Yogurt Pots Childcare Services,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-26,1600591986,544.7,90.78,453.92,Whistl Uk Ltd,Corporate Business,Postage
Salford City Council,2017-09-26,1600591884,901.48,150.25,751.23,Whistl Uk Ltd,Corporate Business,Postage
Salford City Council,2017-09-26,1600591985,3811.22,635.2,3176.02,Whistl Uk Ltd,Corporate Business,Postage
Salford City Council,2017-09-26,1600591977,628.46,104.74,523.72,Facultatieve Technologies Ltd,Environment and Community Safety,Prog Maint & Works
Salford City Council,2017-09-26,601201504,900,0,900,Redacted Data,Sustainable Regeneration,Tenants Rental
Salford City Council,2017-09-26,1600591981,579.6,96.6,483,Door Repair Service  Ltd,Sustainable Regeneration,UV Dec&Flr
Salford City Council,2017-09-26,1600592892,549.12,91.52,457.6,J Fletcher Engineers Ltd,Sustainable Regeneration,UV Heat Rep
Salford City Council,2017-09-26,601201512,11978.96,0,11978.96,Metropolitan Borough Of Wigan,Capital Expenditure,VAT Adjustment
Salford City Council,2017-09-26,6002371652,15208.52,0,15208.52,Three Circles Fostering,Capital Expenditure,VAT Adjustment
Salford City Council,2017-09-26,1600592995,22754.4,3792.4,18962,Carlton Fuels,Environment and Community Safety,Vehicle Running Cost
Salford City Council,2017-09-26,6002371626,3725.03,0,3725.03,Casicare,Children's Services,Vehicle RunningCosts
Salford City Council,2017-09-26,6002371637,4189.11,0,4189.11,Leaving Care Services Ltd,Children's Services,Vehicle RunningCosts
Salford City Council,2017-09-27,601201032,16795.54,2757.6,14037.94,Co-Wheels Car Club,Corporate Business,Annual Vehicle Hire
Salford City Council,2017-09-27,1600592185,1909.2,318.2,1591,Apem Ltd,Sustainable Regeneration,Building Rep & Maint
Salford City Council,2017-09-27,1600592184,5431.2,905.2,4526,Apem Ltd,Sustainable Regeneration,Building Rep & Maint
Salford City Council,2017-09-27,601201774,795,0,795,Footlights Theatre Group,Corporate Business,Catering Materials
Salford City Council,2017-09-27,601201775,795,0,795,Footlights Theatre Group,Corporate Business,Catering Materials
Salford City Council,2017-09-27,1600592998,1074,179,895,Expert Security Systems Ltd,Sustainable Regeneration,Computer Software
Salford City Council,2017-09-27,1600592187,816,136,680,Northgate Public Services (Uk) Ltd,Corporate Business,Computer Software
Salford City Council,2017-09-27,1600592188,6156,1026,5130,Northgate Public Services (Uk) Ltd,Corporate Business,Computer Software
Salford City Council,2017-09-27,1600592190,4600.63,766.77,3833.86,Phoenix Software Ltd,Corporate Business,Computer Software
Salford City Council,2017-09-27,1600592186,600,100,500,Whitespace Work Software Ltd,Environment and Community Safety,Consult/Contractors
Salford City Council,2017-09-27,piyduuheb,642,107,535,A Venning Ltd,Environment and Community Safety,delegated kitchen formula
Salford City Council,2017-09-27,dledwfwif,1416,236,1180,A Venning Ltd,Environment and Community Safety,delegated kitchen formula
Salford City Council,2017-09-27,1600592011,2209.68,368.28,1841.4,Dmc Distribution Ltd,"Community, Health & Social Care",Equipment Purchase
Salford City Council,2017-09-27,iosfqnewt,537.14,4.43,532.71,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-27,kpwvpvdhl,597.93,1.17,596.76,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-27,oqpcqplqi,945.72,0,945.72,Creamline Dairies Traffor,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-27,liqtiuxwj,1542.41,0,1542.41,Quayside Bakery,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-27,601201729,677.64,112.94,564.7,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-27,601201732,805.92,134.32,671.6,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-27,601201716,995.27,165.88,829.39,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-27,601201745,1423.9,237.32,1186.58,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-27,601201769,3491.8,0,3491.8,Little Explorers Day Nursery,Children's Services,Grants
Salford City Council,2017-09-27,601201224,550.8,91.8,459,Trinity Mirror Publishing Ltd,Capital Expenditure,Legal Fees
Salford City Council,2017-09-27,601201223,3121.2,520.2,2601,Trinity Mirror Publishing Ltd,Sustainable Regeneration,Legal Fees
Salford City Council,2017-09-27,601201350,792.96,132.16,660.8,Experian Ltd,Corporate Business,Oth Office Expenses
Salford City Council,2017-09-27,jtswfajzf,895.2,179.04,895.2,Capita Business Servs,Sustainable Regeneration,Payment to Government Departments
Salford City Council,2017-09-27,bmpcursvb,1099.2,219.84,1099.2,Capita Business Servs,Sustainable Regeneration,Payment to Government Departments
Salford City Council,2017-09-27,fwfebmwdj,4260.44,852.09,4260.44,Capita Business Servs,Sustainable Regeneration,Payment to Government Departments
Salford City Council,2017-09-27,iulsdrmqt,4683.36,936.67,4683.36,Capita Business Servs,Sustainable Regeneration,Payment to Government Departments
Salford City Council,2017-09-27,wolthaaji,8449.31,1689.86,8449.31,Capita Business Servs,Sustainable Regeneration,Payment to Government Departments
Salford City Council,2017-09-27,rdksxgxla,26197.56,5239.51,26197.56,Capita Business Servs,Sustainable Regeneration,Payment to Government Departments
Salford City Council,2017-09-27,601201763,645.75,0,645.75,Early Learning Childcare Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-27,601201660,2807.7,0,2807.7,Magical Moments Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-27,601201770,5173.35,0,5173.35,St Lukes Pre-School Playgroup,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-27,601201767,682.2,0,682.2,Wasp Pre-School,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-27,601201703,530,0,530,Redacted Data,Environment and Community Safety,Refunds
Salford City Council,2017-09-27,601200224,3385.45,0,3385.45,NHS Salford CCG,Corporate Business,Sals & Wags Realloc
Salford City Council,2017-09-27,1600592182,1575.6,262.6,1313,Spectra Security,Sustainable Regeneration,Security/Equipment
Salford City Council,2017-09-27,1600592996,1315516.31,219252.72,1096263.59,Pendleton Together Operating Ltd,Sustainable Regeneration,Unitary Charge
Salford City Council,2017-09-27,1600592639,2820,470,2350,G Jones Builders Ltd,Sustainable Regeneration,UV Lift Maint
Salford City Council,2017-09-27,601201758,903.9,150.65,753.25,Ptsg,Sustainable Regeneration,UV Prog Rep
Salford City Council,2017-09-27,1600591993,1125.6,187.6,938,Hsl Compliance,Children's Services,UV Tank Clean
Salford City Council,2017-09-27,601200214,2163,0,2163,Marston Group Limited,Corporate Business,VAT Adjustment
Salford City Council,2017-09-27,601200215,4478,0,4478,Marston Group Limited,Corporate Business,VAT Adjustment
Salford City Council,2017-09-27,1600592640,1310.4,218.4,1092,G Jones Builders Ltd,Corporate Business,Water
Salford City Council,2017-09-27,1600591310,4639.32,773.22,3866.1,Bradshaw International,Capital Expenditure,Works & Building
Salford City Council,2017-09-28,1600592812,548.05,91.34,456.71,Lex Autolease Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2017-09-28,1600592109,642.28,107.05,535.23,Allpay Ltd,Corporate Business,Bank Commission
Salford City Council,2017-09-28,601201791,1379.5,0,1379.5,Bookpoint Limited,Children's Services,Books & Periodicals
Salford City Council,2017-09-28,bpoayuctf,862.23,143.7,718.53,Axminster.Co.Uk,Children's Services,Classroom Supplies Capitation
Salford City Council,2017-09-28,1600592034,554.32,92.39,461.93,Xma Ltd,Corporate Business,Computer Equipment
Salford City Council,2017-09-28,1600592665,3786,631,3155,Northgate Public Services (Uk) Ltd,Corporate Business,Computer Software
Salford City Council,2017-09-28,plicxrfyd,534.21,0,534.21,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-28,yhumyppfs,542.35,1.61,540.74,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-28,jlrcibxsm,655.56,1.98,653.58,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-28,srwcconys,678.84,8.33,670.51,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2017-09-28,601201291,1231.2,205.2,1026,EE Ltd,Environment and Community Safety,Mobile Phones
Salford City Council,2017-09-28,1600592178,6666,0,6666,Chaigeley Educational Foundation,Children's Services,Non-Maint Spec Schls
Salford City Council,2017-09-28,1600592176,11384,0,11384,Chaigeley Educational Foundation,Children's Services,Non-Maint Spec Schls
Salford City Council,2017-09-28,1600592177,15160,0,15160,Chaigeley Educational Foundation,Children's Services,Non-Maint Spec Schls
Salford City Council,2017-09-28,601201511,708189,118031.5,590157.5,Legal And General Pensions,Office of the Chief Executive,Other Prof Fees
Salford City Council,2017-09-28,1600592198,1080,180,900,Essential Mediation,Children's Services,Payts to Agencies
Salford City Council,2017-09-28,1600592175,446384,0,446384,Salford Royal NHS Foundation Trust,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2017-09-28,1600592196,1214.54,0,1214.54,Together Trust,Children's Services,Payts to Agencies
Salford City Council,2017-09-28,1600592197,2907.36,0,2907.36,Together Trust,Children's Services,Payts to Agencies
Salford City Council,2017-09-28,1600592195,3218.24,0,3218.24,Together Trust,Children's Services,Payts to Agencies
Salford City Council,2017-09-28,1600586809,4326.39,721.06,3605.33,Portakabin Limited,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2017-09-28,1600586810,4326.39,721.06,3605.33,Portakabin Limited,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2017-09-28,1600586853,4326.39,721.06,3605.33,Portakabin Limited,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2017-09-28,1600588482,4326.39,721.06,3605.33,Portakabin Limited,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2017-09-28,1600590611,4326.39,721.06,3605.33,Portakabin Limited,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2017-09-28,601201914,12120.15,0,12120.15,Little Gems Private Day Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-28,601201911,1181.25,0,1181.25,Redacted Data,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-28,1600592191,1308,218,1090,Ingenitech Ltd,Capital Expenditure,Purch of Comp Equip
Salford City Council,2017-09-28,601201757,990.74,165.12,825.62,Salford Innovation Park,Sustainable Regeneration,Rents
Salford City Council,2017-09-28,1600593118,1643.4,273.9,1369.5,Burgess Security Systems Ltd,Sustainable Regeneration,Security Sys R & Mnt
Salford City Council,2017-09-28,1600592585,2160,360,1800,Griffin Care Ltd,Children's Services,Training expenses
Salford City Council,2017-09-28,1600592194,2400,400,2000,Pitney Bowes Software Europe Ltd,Capital Expenditure,Trans-service users
Salford City Council,2017-09-28,1600593060,22970.09,3828.35,19141.74,Carlton Fuels,Environment and Community Safety,Vehicle Running Cost
Salford City Council,2017-09-28,1600593125,186793.82,31132.3,155661.52,G & J Seddon Ltd,Capital Expenditure,Works & Building
Salford City Council,2017-09-28,1600593123,76886.42,12814.4,64072.02,Hec Contracting Limited,Capital Expenditure,Works & Building
Salford City Council,2017-09-28,1600593122,77523.42,12920.57,64602.85,Hec Contracting Limited,Capital Expenditure,Works & Building
Salford City Council,2017-09-28,1600592036,1107.6,184.6,923,Ijm Electrical Contractors Ltd,Capital Expenditure,Works & Building
Salford City Council,2017-09-28,601201795,892.3,148.71,743.59,Ohec,Capital Expenditure,Works & Building
Salford City Council,2017-09-29,601201261,713.4,118.9,594.5,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2017-09-29,1600592575,3768,628,3140,C P Davidson & Sons Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2017-09-29,1600592795,4692,782,3910,C P Davidson & Sons Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2017-09-29,1600592662,598.8,99.8,499,Bilway Marine,Sustainable Regeneration,Building Rep & Maint
Salford City Council,2017-09-29,1600592889,598.8,99.8,499,Bilway Marine,Sustainable Regeneration,Building Rep & Maint
Salford City Council,2017-09-29,1600593139,1260,210,1050,Horticon Ltd,Sustainable Regeneration,Building Rep & Maint
Salford City Council,2017-09-29,1600592079,2515.54,419.26,2096.28,Xma Ltd,"Community, Health & Social Care",Computer Equipment
Salford City Council,2017-09-29,1600592212,2450.46,408.41,2042.05,Northgate Public Services (Uk) Ltd,"Community, Health & Social Care",Computer Software
Salford City Council,2017-09-29,1600593149,534,89,445,T/A Govnet Communications,Children's Services,Conferences/Seminars
Salford City Council,2017-09-29,1600592518,577.8,96.3,481.5,Calibration And Repair Services Ltd,Environment and Community Safety,Equipment Purchase
