Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680666,revenue,1MK40,Direct Payments LD,2705.92,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663514,revenue,1MK40,Direct Payments LD,2705.92,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663327,revenue,1MK40,Direct Payments LD,884.04,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-08,Redacted Personal Data,8666730,revenue,1MB26,Complaints&Customer Relations,471.55,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-08,Redacted Personal Data,8666731,revenue,1MB26,Complaints&Customer Relations,292.5,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-22,Redacted Personal Data,8673165,revenue,1MB26,Complaints&Customer Relations,516.55,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680730,revenue,1MG43,Carers Support Payments OP,1386.00,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663501,revenue,1MG43,Carers Support Payments OP,2912,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680736,revenue,1MK40,Direct Payments LD,1266.90,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-30,Redacted Personal Data,8680736,revenue,1MK40,Direct Payments LD,-401.75,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680575,revenue,1MK40,Direct Payments LD,2793.2,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663429,revenue,1MK40,Direct Payments LD,2793.20,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-30,Redacted Personal Data,8680575,revenue,1MK40,Direct Payments LD,-250.36,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-02,Redacted Personal Data,8663429,revenue,1MK40,Direct Payments LD,-250.36,Redacted Personal Data
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680979,revenue,1EEP5,2Yr Old Learning & Childcare,877.28,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680733,revenue,1MG43,Carers Support Payments OP,2079,Redacted Personal Data
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680913,revenue,1E201,ISB PVI Nurseries,445.1,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,Redacted Personal Data,8673146,revenue,1MG43,Carers Support Payments OP,1456.00,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663133,revenue,1MK34,Shared Lives - Adult LD,1847.04,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-31,Redacted Personal Data,8682603,revenue,1MK34,Shared Lives - Adult LD,1847.04,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680579,revenue,1MK40,Direct Payments LD,1731.6,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663433,revenue,1MK40,Direct Payments LD,1731.6,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-30,Redacted Personal Data,8680579,revenue,1MK40,Direct Payments LD,-91.24,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-02,Redacted Personal Data,8663433,revenue,1MK40,Direct Payments LD,-91.24,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680692,revenue,1MK40,Direct Payments LD,640.64,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663541,revenue,1MK40,Direct Payments LD,640.64,Redacted Personal Data
Place,"Museums, Arts and Culture",Revenue Expenditure,2022-08-03,Redacted Personal Data,8654435,revenue,1DF12,Newbiggin Hall,320,Redacted Personal Data
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680700,revenue,1MD66,CWD Care Packages,800.00,Redacted Personal Data
"Children, Education and Skills",Education,Revenue Expenditure,2022-08-05,Redacted Personal Data,8666447,revenue,1E212,Transport Special,451.14,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680706,revenue,1MG40,Direct Payments OP,3058.04,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663552,revenue,1MG40,Direct Payments OP,3058.04,Redacted Personal Data
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680638,revenue,1MD66,CWD Care Packages,769,Redacted Personal Data
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663488,revenue,1MD66,CWD Care Packages,769.00,Redacted Personal Data
Operations & Reg Services,Public Safety Regulations,Revenue Expenditure,2022-08-10,Redacted Personal Data,8670682,revenue,1D533,Dog Warden,675,Redacted Personal Data
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-05,Redacted Personal Data,8666496,revenue,1MN20,Asy Seekers Families,650.00,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-10,Redacted Personal Data,8670029,revenue,1MM94,Mental Capacity Act,2275,Redacted Personal Data
Place,"Museums, Arts and Culture",Revenue Expenditure,2022-08-05,Redacted Personal Data,8666329,revenue,1DF16,Arts/Dance Connect,300,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680735,revenue,1MG43,Carers Support Payments OP,2184.00,Redacted Personal Data
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-30,Redacted Personal Data,8681068,revenue,1E201,ISB PVI Nurseries,5934.6,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680734,revenue,1MG43,Carers Support Payments OP,2912,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663073,revenue,1MK34,Shared Lives - Adult LD,1847.04,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-31,Redacted Personal Data,8682539,revenue,1MK34,Shared Lives - Adult LD,1847.04,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680420,revenue,1MH40,Direct Payments PD,1764.68,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663274,revenue,1MH40,Direct Payments PD,1764.68,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-30,Redacted Personal Data,8680420,revenue,1MH40,Direct Payments PD,-205,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-02,Redacted Personal Data,8663274,revenue,1MH40,Direct Payments PD,-205.00,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680465,revenue,1MK40,Direct Payments LD,2388.92,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663317,revenue,1MK40,Direct Payments LD,2947.72,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-30,Redacted Personal Data,8680465,revenue,1MK40,Direct Payments LD,-277.00,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-02,Redacted Personal Data,8663317,revenue,1MK40,Direct Payments LD,-277,Redacted Personal Data
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663532,revenue,1MD66,CWD Care Packages,1653.84,Redacted Personal Data
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-31,Redacted Personal Data,8682255,revenue,1MF01,16 Plus & Care Leavers,515.79,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663122,revenue,1MK34,Shared Lives - Adult LD,1847.04,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-31,Redacted Personal Data,8682592,revenue,1MK34,Shared Lives - Adult LD,1847.04,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680689,revenue,1MK43,Carers Support Payments LD,2772.00,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680690,revenue,1MH40,Direct Payments PD,10388.00,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663539,revenue,1MH40,Direct Payments PD,10388.00,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680729,revenue,1MG43,Carers Support Payments OP,2184,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680596,revenue,1MK40,Direct Payments LD,1484.00,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663451,revenue,1MK40,Direct Payments LD,1484,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-30,Redacted Personal Data,8680596,revenue,1MK40,Direct Payments LD,-210.92,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-02,Redacted Personal Data,8663451,revenue,1MK40,Direct Payments LD,-210.92,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680727,revenue,1MK43,Carers Support Payments LD,1560,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680431,revenue,1MK40,Direct Payments LD,527.2,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663285,revenue,1MK40,Direct Payments LD,527.2,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-30,Redacted Personal Data,8680431,revenue,1MK40,Direct Payments LD,-126.64,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-02,Redacted Personal Data,8663285,revenue,1MK40,Direct Payments LD,-126.64,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663579,revenue,1MG43,Carers Support Payments OP,1386.00,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680589,revenue,1MK40,Direct Payments LD,2544,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663444,revenue,1MK40,Direct Payments LD,2544,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-30,Redacted Personal Data,8680589,revenue,1MK40,Direct Payments LD,-271.8,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-02,Redacted Personal Data,8663444,revenue,1MK40,Direct Payments LD,-271.8,Redacted Personal Data
"Children, Education and Skills",Education,Revenue Expenditure,2022-08-01,Redacted Personal Data,8662499,revenue,1E558,SB Music Service,789.12,Redacted Personal Data
"Children, Education and Skills",Education,Revenue Expenditure,2022-08-08,Redacted Personal Data,8665702,revenue,1E558,SB Music Service,591.84,Redacted Personal Data
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-01,Redacted Personal Data,8662648,revenue,1MD62,Support to CIC,500,Redacted Personal Data
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680902,revenue,1E201,ISB PVI Nurseries,494.55,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680710,revenue,1MK40,Direct Payments LD,683.32,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663556,revenue,1MK40,Direct Payments LD,683.32,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663046,revenue,1MK34,Shared Lives - Adult LD,3694.08,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-31,Redacted Personal Data,8682511,revenue,1MK34,Shared Lives - Adult LD,3694.08,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680439,revenue,1MK40,Direct Payments LD,1705.52,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663293,revenue,1MK40,Direct Payments LD,1705.52,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-30,Redacted Personal Data,8680439,revenue,1MK40,Direct Payments LD,-245.92,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-02,Redacted Personal Data,8663293,revenue,1MK40,Direct Payments LD,-245.92,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680407,revenue,1MK40,Direct Payments LD,2273.64,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663261,revenue,1MK40,Direct Payments LD,2273.64,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680441,revenue,1MK43,Carers Support Payments LD,1040.00,Redacted Personal Data
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-11,Redacted Personal Data,8671115,revenue,1MN20,Asy Seekers Families,500.00,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680545,revenue,1MH40,Direct Payments PD,1267.92,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663399,revenue,1MH40,Direct Payments PD,1267.92,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680701,revenue,1MG40,Direct Payments OP,706.80,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663547,revenue,1MG40,Direct Payments OP,706.80,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680443,revenue,1MK40,Direct Payments LD,8652.68,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663296,revenue,1MK40,Direct Payments LD,8652.68,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-30,Redacted Personal Data,8680443,revenue,1MK40,Direct Payments LD,-541.2,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-02,Redacted Personal Data,8663296,revenue,1MK40,Direct Payments LD,-541.2,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680630,revenue,1MH40,Direct Payments PD,1519.28,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663481,revenue,1MH40,Direct Payments PD,1519.28,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680554,revenue,1MK40,Direct Payments LD,1761.04,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663407,revenue,1MK40,Direct Payments LD,1761.04,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-30,Redacted Personal Data,8680554,revenue,1MK40,Direct Payments LD,-198.64,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-02,Redacted Personal Data,8663407,revenue,1MK40,Direct Payments LD,-198.64,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680721,revenue,1MH40,Direct Payments PD,1968.49,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663572,revenue,1MH40,Direct Payments PD,8443.75,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-30,Redacted Personal Data,8680721,revenue,1MH40,Direct Payments PD,-348.12,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-02,Redacted Personal Data,8663572,revenue,1MH40,Direct Payments PD,-609.21,Redacted Personal Data
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-30,Redacted Personal Data,8681085,revenue,1E201,ISB PVI Nurseries,741.83,Redacted Personal Data
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680987,revenue,1E201,ISB PVI Nurseries,1483.65,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680534,revenue,1MK40,Direct Payments LD,3941.6,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663388,revenue,1MK40,Direct Payments LD,3941.60,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-30,Redacted Personal Data,8680534,revenue,1MK40,Direct Payments LD,-136.72,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-02,Redacted Personal Data,8663388,revenue,1MK40,Direct Payments LD,-136.72,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680731,revenue,1MG43,Carers Support Payments OP,2912,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663542,revenue,1MK43,Carers Support Payments LD,1560.00,Redacted Personal Data
"Children, Education and Skills",Education,Revenue Expenditure,2022-08-30,Redacted Personal Data,8678952,revenue,1E558,SB Music Service,1863.96,Redacted Personal Data
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680991,revenue,1E201,ISB PVI Nurseries,741.83,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680676,revenue,1MH40,Direct Payments PD,435.64,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663526,revenue,1MH40,Direct Payments PD,435.64,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663395,revenue,1MH43,Carers Support Payments PD,2184.00,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680702,revenue,1MG43,Carers Support Payments OP,1386,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680486,revenue,1MK40,Direct Payments LD,979.56,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663338,revenue,1MK40,Direct Payments LD,979.56,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-30,Redacted Personal Data,8680486,revenue,1MK40,Direct Payments LD,-234.76,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-02,Redacted Personal Data,8663338,revenue,1MK40,Direct Payments LD,-234.76,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680678,revenue,1MK40,Direct Payments LD,582.16,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663528,revenue,1MK40,Direct Payments LD,582.16,Redacted Personal Data
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663570,revenue,1MD66,CWD Care Packages,1000,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680602,revenue,1MH40,Direct Payments PD,9696.92,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663456,revenue,1MH40,Direct Payments PD,9696.92,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680712,revenue,1MG40,Direct Payments OP,1067.44,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663558,revenue,1MG40,Direct Payments OP,1067.44,Redacted Personal Data
Place,Fairer Housing Unit,Capital Expenditure,2022-08-09,Redacted Personal Data,8669491,Capital,2N401,Capital General,2000,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680458,revenue,1MK40,Direct Payments LD,693.36,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663310,revenue,1MK40,Direct Payments LD,693.36,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-30,Redacted Personal Data,8680458,revenue,1MK40,Direct Payments LD,-72.20,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-02,Redacted Personal Data,8663310,revenue,1MK40,Direct Payments LD,-72.2,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680512,revenue,1MK40,Direct Payments LD,413.56,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663364,revenue,1MK40,Direct Payments LD,413.56,Redacted Personal Data
"Children, Education and Skills",Education,Revenue Expenditure,2022-08-05,Redacted Personal Data,8666430,revenue,1E212,Transport Special,361.76,Redacted Personal Data
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680928,revenue,1E201,ISB PVI Nurseries,296.73,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680476,revenue,1MK40,Direct Payments LD,6884.2,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663328,revenue,1MK40,Direct Payments LD,6884.2,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680497,revenue,1MK40,Direct Payments LD,755.72,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663349,revenue,1MK40,Direct Payments LD,755.72,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-30,Redacted Personal Data,8680497,revenue,1MK40,Direct Payments LD,-266.08,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-02,Redacted Personal Data,8663349,revenue,1MK40,Direct Payments LD,-266.08,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680429,revenue,1MH40,Direct Payments PD,923.52,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663283,revenue,1MH40,Direct Payments PD,923.52,Redacted Personal Data
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680695,revenue,1MD66,CWD Care Packages,3634.6,Redacted Personal Data
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663543,revenue,1MD66,CWD Care Packages,484.60,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680577,revenue,1MK40,Direct Payments LD,440.08,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663431,revenue,1MK40,Direct Payments LD,440.08,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680467,revenue,1MK40,Direct Payments LD,2618,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663319,revenue,1MK40,Direct Payments LD,2618.00,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680697,revenue,1MK43,Carers Support Payments LD,1974,Redacted Personal Data
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-25,Redacted Personal Data,8678561,revenue,1E228,SEN Teaching Support (NonSALT),366.66,Redacted Personal Data
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680613,revenue,1MD66,CWD Care Packages,1092.28,Redacted Personal Data
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663465,revenue,1MD66,CWD Care Packages,1092.28,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680671,revenue,1MK40,Direct Payments LD,854.24,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663520,revenue,1MK40,Direct Payments LD,854.24,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-08,Redacted Personal Data,8667898,revenue,1MK34,Shared Lives - Adult LD,423.99,Redacted Personal Data
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680885,revenue,1E201,ISB PVI Nurseries,1483.65,Redacted Personal Data
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-30,Redacted Personal Data,8681083,revenue,1E201,ISB PVI Nurseries,4450.95,Redacted Personal Data
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-30,Redacted Personal Data,8681084,revenue,1EEP5,2Yr Old Learning & Childcare,877.28,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680635,revenue,1MK40,Direct Payments LD,289.00,Redacted Personal Data
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,Redacted Personal Data,8663485,revenue,1MK40,Direct Payments LD,289.00,Redacted Personal Data
"Children, Education and Skills",Education,Revenue Expenditure,2022-08-05,Redacted Personal Data,8666453,revenue,1E212,Transport Special,252.93,Redacted Personal Data
"Children, Education and Skills",Education,Revenue Expenditure,2022-08-05,Redacted Personal Data,8666434,revenue,1E212,Transport Special,387.30,Redacted Personal Data
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-30,Redacted Personal Data,8680809,revenue,1E201,ISB PVI Nurseries,741.83,Redacted Personal Data
