Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seque no,Period,Supplier ID(T),Amount,Updated
"Care, Wellbeing & Learning",Transport,Public Transport and Taxi Fares,148014349,8,201412,STREETCARS,20,2015-03-10
"Care, Wellbeing & Learning",Transport,Public Transport and Taxi Fares,148014349,37,201412,STREETCARS,448,2015-03-10
"Care, Wellbeing & Learning",Transport,Public Transport and Taxi Fares,148014349,58,201412,STREETCARS,25,2015-03-10
"Care, Wellbeing & Learning",Transport,Public Transport and Taxi Fares,148014485,24,201412,CENTRAL TAXIS OF GATESHEAD LIMITED,120,2015-03-17
"Care, Wellbeing & Learning",Transport,Public Transport and Taxi Fares,148014485,34,201412,CENTRAL TAXIS OF GATESHEAD LIMITED,1140.00,2015-03-17
"Care, Wellbeing & Learning",Transport,Public Transport and Taxi Fares,148014485,36,201412,CENTRAL TAXIS OF GATESHEAD LIMITED,396,2015-03-17
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,148014365,111,201412,O2 (UK) LTD,80.35,2015-03-10
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,148014397,18,201412,VODAFONE CORPORATE LTD,17.25,2015-03-12
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,148014567,111,201412,O2 (UK) LTD,78.79,2015-03-23
"Care, Wellbeing & Learning",Transport,Public Transport and Taxi Fares,148014336,10,201412,DEAN TAXIS LTD,598,2015-03-09
"Care, Wellbeing & Learning",Transport,Public Transport and Taxi Fares,148014349,1,201412,STREETCARS,54,2015-03-10
"Care, Wellbeing & Learning",Transport,Public Transport and Taxi Fares,148014349,9,201412,STREETCARS,40,2015-03-10
"Care, Wellbeing & Learning",Transport,Public Transport and Taxi Fares,148014349,14,201412,STREETCARS,22,2015-03-10
"Care, Wellbeing & Learning",Transport,Public Transport and Taxi Fares,148014349,34,201412,STREETCARS,160,2015-03-10
"Care, Wellbeing & Learning",Transport,Public Transport and Taxi Fares,148014349,40,201412,STREETCARS,280,2015-03-10
"Care, Wellbeing & Learning",Transport,Public Transport and Taxi Fares,148014485,38,201412,CENTRAL TAXIS OF GATESHEAD LIMITED,120,2015-03-17
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,148014365,112,201412,O2 (UK) LTD,31.93,2015-03-10
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,148014567,112,201412,O2 (UK) LTD,30.76,2015-03-23
"Care, Wellbeing & Learning",Supplies and Services,Miscellaneous Supplies,43839149,0,201412,BARNARDOS,630,2015-03-03
"Care, Wellbeing & Learning",Employees,Agency Staff,60091105,16,201412,DE POEL MANAGED SERVICES LIMITED,884.98,2015-03-04
"Care, Wellbeing & Learning",Employees,Agency Staff,60091107,11,201412,DE POEL MANAGED SERVICES LIMITED,898.59,2015-03-19
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,16,201412,DE POEL MANAGED SERVICES LIMITED,993.9,2015-03-25
"Care, Wellbeing & Learning",Transport,Public Transport and Taxi Fares,148014336,7,201412,DEAN TAXIS LTD,180,2015-03-09
"Care, Wellbeing & Learning",Transport,Public Transport and Taxi Fares,148014349,35,201412,STREETCARS,200,2015-03-10
"Care, Wellbeing & Learning",Transport,Public Transport and Taxi Fares,148014485,33,201412,CENTRAL TAXIS OF GATESHEAD LIMITED,240,2015-03-17
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,148014365,113,201412,O2 (UK) LTD,10.08,2015-03-10
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,148014567,113,201412,O2 (UK) LTD,7.95,2015-03-23
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,148014315,12,201412,BRITISH TELECOM,337.5,2015-03-05
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,148014365,115,201412,O2 (UK) LTD,160,2015-03-10
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,148014567,115,201412,O2 (UK) LTD,160,2015-03-23
"Care, Wellbeing & Learning",Supplies and Services,"Licenses, Housing, Fees",147015591,1,201412,ALLPAY LTD,1200.00,2015-03-20
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,148014365,117,201412,O2 (UK) LTD,4.74,2015-03-10
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,148014567,117,201412,O2 (UK) LTD,4.62,2015-03-23
"Care, Wellbeing & Learning",Supplies and Services,"Grants, Contribs & Subs",41104758,1,201412,ADOPTION UK,1250.00,2015-03-04
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,41106685,1,201412,AFTER ADOPTION,16908.00,2015-03-10
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,41106679,1,201412,FAITH IN FAMILIES,750,2015-03-10
"Care, Wellbeing & Learning",Employees,Agency Staff,60091105,3,201412,DE POEL MANAGED SERVICES LIMITED,878.38,2015-03-04
"Care, Wellbeing & Learning",Employees,Agency Staff,60091105,20,201412,DE POEL MANAGED SERVICES LIMITED,1444.11,2015-03-04
"Care, Wellbeing & Learning",Employees,Agency Staff,60091105,40,201412,DE POEL MANAGED SERVICES LIMITED,1131.09,2015-03-04
"Care, Wellbeing & Learning",Employees,Agency Staff,60091105,42,201412,DE POEL MANAGED SERVICES LIMITED,1131.09,2015-03-04
"Care, Wellbeing & Learning",Employees,Agency Staff,60091105,48,201412,DE POEL MANAGED SERVICES LIMITED,1045.25,2015-03-04
"Care, Wellbeing & Learning",Employees,Agency Staff,60091105,56,201412,DE POEL MANAGED SERVICES LIMITED,1074.48,2015-03-04
"Care, Wellbeing & Learning",Employees,Agency Staff,60091106,10,201412,DE POEL MANAGED SERVICES LIMITED,878.38,2015-03-10
"Care, Wellbeing & Learning",Employees,Agency Staff,60091106,12,201412,DE POEL MANAGED SERVICES LIMITED,878.38,2015-03-10
"Care, Wellbeing & Learning",Employees,Agency Staff,60091106,13,201412,DE POEL MANAGED SERVICES LIMITED,1444.11,2015-03-10
"Care, Wellbeing & Learning",Employees,Agency Staff,60091106,14,201412,DE POEL MANAGED SERVICES LIMITED,1045.25,2015-03-10
"Care, Wellbeing & Learning",Employees,Agency Staff,60091106,18,201412,DE POEL MANAGED SERVICES LIMITED,1074.48,2015-03-10
"Care, Wellbeing & Learning",Employees,Agency Staff,60091106,28,201412,DE POEL MANAGED SERVICES LIMITED,1131.09,2015-03-10
"Care, Wellbeing & Learning",Employees,Agency Staff,60091106,32,201412,DE POEL MANAGED SERVICES LIMITED,878.38,2015-03-10
"Care, Wellbeing & Learning",Employees,Agency Staff,60091107,3,201412,DE POEL MANAGED SERVICES LIMITED,878.38,2015-03-19
"Care, Wellbeing & Learning",Employees,Agency Staff,60091107,5,201412,DE POEL MANAGED SERVICES LIMITED,878.38,2015-03-19
"Care, Wellbeing & Learning",Employees,Agency Staff,60091107,12,201412,DE POEL MANAGED SERVICES LIMITED,1040.81,2015-03-19
"Care, Wellbeing & Learning",Employees,Agency Staff,60091107,22,201412,DE POEL MANAGED SERVICES LIMITED,1074.48,2015-03-19
"Care, Wellbeing & Learning",Employees,Agency Staff,60091107,24,201412,DE POEL MANAGED SERVICES LIMITED,1444.11,2015-03-19
"Care, Wellbeing & Learning",Employees,Agency Staff,60091107,26,201412,DE POEL MANAGED SERVICES LIMITED,883.93,2015-03-19
"Care, Wellbeing & Learning",Employees,Agency Staff,60091107,29,201412,DE POEL MANAGED SERVICES LIMITED,1131.09,2015-03-19
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,1,201412,DE POEL MANAGED SERVICES LIMITED,1444.11,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,2,201412,DE POEL MANAGED SERVICES LIMITED,878.38,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,5,201412,DE POEL MANAGED SERVICES LIMITED,878.38,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,7,201412,DE POEL MANAGED SERVICES LIMITED,1181.41,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,8,201412,DE POEL MANAGED SERVICES LIMITED,1074.48,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,9,201412,DE POEL MANAGED SERVICES LIMITED,878.38,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,10,201412,DE POEL MANAGED SERVICES LIMITED,878.38,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,11,201412,DE POEL MANAGED SERVICES LIMITED,1181.41,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,12,201412,DE POEL MANAGED SERVICES LIMITED,1181.41,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,14,201412,DE POEL MANAGED SERVICES LIMITED,1278.35,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,15,201412,DE POEL MANAGED SERVICES LIMITED,1181.41,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,17,201412,DE POEL MANAGED SERVICES LIMITED,878.38,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,20,201412,DE POEL MANAGED SERVICES LIMITED,1278.35,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,26,201412,DE POEL MANAGED SERVICES LIMITED,878.38,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,29,201412,DE POEL MANAGED SERVICES LIMITED,878.38,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,30,201412,DE POEL MANAGED SERVICES LIMITED,878.38,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,31,201412,DE POEL MANAGED SERVICES LIMITED,878.38,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,35,201412,DE POEL MANAGED SERVICES LIMITED,1181.41,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,36,201412,DE POEL MANAGED SERVICES LIMITED,1181.41,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,37,201412,DE POEL MANAGED SERVICES LIMITED,1181.41,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,39,201412,DE POEL MANAGED SERVICES LIMITED,878.38,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,40,201412,DE POEL MANAGED SERVICES LIMITED,878.38,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,41,201412,DE POEL MANAGED SERVICES LIMITED,1181.41,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,43,201412,DE POEL MANAGED SERVICES LIMITED,1181.41,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,44,201412,DE POEL MANAGED SERVICES LIMITED,1181.41,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,48,201412,DE POEL MANAGED SERVICES LIMITED,1040.81,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,50,201412,DE POEL MANAGED SERVICES LIMITED,498.54,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,51,201412,DE POEL MANAGED SERVICES LIMITED,1181.41,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,52,201412,DE POEL MANAGED SERVICES LIMITED,1181.41,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,53,201412,DE POEL MANAGED SERVICES LIMITED,1181.41,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,54,201412,DE POEL MANAGED SERVICES LIMITED,498.54,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,56,201412,DE POEL MANAGED SERVICES LIMITED,670.53,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,57,201412,DE POEL MANAGED SERVICES LIMITED,1181.41,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,60,201412,DE POEL MANAGED SERVICES LIMITED,1181.41,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,62,201412,DE POEL MANAGED SERVICES LIMITED,1181.41,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,63,201412,DE POEL MANAGED SERVICES LIMITED,878.38,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,64,201412,DE POEL MANAGED SERVICES LIMITED,1181.41,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,65,201412,DE POEL MANAGED SERVICES LIMITED,1181.41,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,66,201412,DE POEL MANAGED SERVICES LIMITED,878.38,2015-03-25
"Care, Wellbeing & Learning",Employees,Agency Staff,60091108,67,201412,DE POEL MANAGED SERVICES LIMITED,670.53,2015-03-25
"Care, Wellbeing & Learning",Transport,Public Transport and Taxi Fares,148014325,5,201412,CLICK TRAVEL LTD,27.98,2015-03-06
"Care, Wellbeing & Learning",Transport,Public Transport and Taxi Fares,148014325,30,201412,CLICK TRAVEL LTD,0.34,2015-03-06
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,148014365,99,201412,O2 (UK) LTD,33.37,2015-03-10
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,148014397,12,201412,VODAFONE CORPORATE LTD,48,2015-03-12
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,148014397,28,201412,VODAFONE CORPORATE LTD,86.32,2015-03-12
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,148014567,101,201412,O2 (UK) LTD,32.35,2015-03-23
"Care, Wellbeing & Learning",Supplies and Services,"Licenses, Housing, Fees",43839577,0,201412,TRANSLATION EMPIRE LTD,550.04,2015-03-13
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,43842483,0,201412,CROSSROADS CARE,7500.00,2015-03-24
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,148014365,103,201412,O2 (UK) LTD,0.12,2015-03-10
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,148014397,24,201412,VODAFONE CORPORATE LTD,13.83,2015-03-12
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,43839846,0,201412,NATIONAL YOUTH ADVOCACY SERVICE,469.16,2015-03-13
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,43842784,0,201412,SIXTEEN25,4000.00,2015-03-24
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,43842786,0,201412,ACTION FOR CHILDREN,1467.78,2015-03-24
"Care, Wellbeing & Learning",Transfer Payments,Transfer Payments,43842770,0,201412,STONHAM,7667.00,2015-03-24
"Care, Wellbeing & Learning",Transfer Payments,Transfer Payments,43842772,0,201412,STONHAM,12920.00,2015-03-24
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,148014365,114,201412,O2 (UK) LTD,9,2015-03-10
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,148014397,21,201412,VODAFONE CORPORATE LTD,52.67,2015-03-12
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,148014567,114,201412,O2 (UK) LTD,9,2015-03-23
"Policy, Economic Growth and Transformation",Transport,Car Allowances,148014284,34,201412,COMMONWHEELS CIC,21,2015-03-03
"Policy, Economic Growth and Transformation",Transport,Public Transport and Taxi Fares,148014581,25,201412,CLICK TRAVEL LTD,7.27,2015-03-24
"Policy, Economic Growth and Transformation",Transport,Public Transport and Taxi Fares,148014581,51,201412,CLICK TRAVEL LTD,0.06,2015-03-24
"Policy, Economic Growth and Transformation",Transport,Car Allowances,148014284,26,201412,COMMONWHEELS CIC,25.65,2015-03-03
"Policy, Economic Growth and Transformation",Transport,Car Allowances,148014284,36,201412,COMMONWHEELS CIC,10,2015-03-03
"Policy, Economic Growth and Transformation",Transport,Car Allowances,148014658,27,201412,COMMONWHEELS CIC,11.85,2015-03-26
"Policy, Economic Growth and Transformation",Transport,Car Allowances,148014658,29,201412,COMMONWHEELS CIC,21.45,2015-03-26
"Policy, Economic Growth and Transformation",Supplies and Services,Comms & Computing,148014365,203,201412,O2 (UK) LTD,24.5,2015-03-10
"Policy, Economic Growth and Transformation",Supplies and Services,Comms & Computing,148014567,200,201412,O2 (UK) LTD,19.7,2015-03-23
"Policy, Economic Growth and Transformation",Supplies and Services,Comms & Computing,148014365,204,201412,O2 (UK) LTD,14.5,2015-03-10
"Policy, Economic Growth and Transformation",Supplies and Services,Comms & Computing,148014567,201,201412,O2 (UK) LTD,49.8,2015-03-23
"Policy, Economic Growth and Transformation",Transport,Public Transport and Taxi Fares,148014457,11,201412,CLICK TRAVEL LTD,206.44,2015-03-17
"Policy, Economic Growth and Transformation",Transport,Public Transport and Taxi Fares,148014457,38,201412,CLICK TRAVEL LTD,1.82,2015-03-17
"Policy, Economic Growth and Transformation",Transport,Car Allowances,148014284,28,201412,COMMONWHEELS CIC,2.4,2015-03-03
"Policy, Economic Growth and Transformation",Transport,Car Allowances,148014658,30,201412,COMMONWHEELS CIC,12.53,2015-03-26
"Policy, Economic Growth and Transformation",Supplies and Services,Comms & Computing,148014365,205,201412,O2 (UK) LTD,0.42,2015-03-10
"Policy, Economic Growth and Transformation",Supplies and Services,Comms & Computing,148014567,202,201412,O2 (UK) LTD,1.11,2015-03-23
"Policy, Economic Growth and Transformation",Supplies and Services,"Grants, Contribs & Subs",43842383,0,201412,NATIONAL TRUST,4166.67,2015-03-24
"Policy, Economic Growth and Transformation",Employees,Agency Staff,60091105,27,201412,DE POEL MANAGED SERVICES LIMITED,408.11,2015-03-04
"Policy, Economic Growth and Transformation",Employees,Agency Staff,60091105,31,201412,DE POEL MANAGED SERVICES LIMITED,350.2,2015-03-04
"Policy, Economic Growth and Transformation",Employees,Agency Staff,60091106,4,201412,DE POEL MANAGED SERVICES LIMITED,408.11,2015-03-10
"Policy, Economic Growth and Transformation",Employees,Agency Staff,60091106,19,201412,DE POEL MANAGED SERVICES LIMITED,399.84,2015-03-10
"Policy, Economic Growth and Transformation",Employees,Agency Staff,60091108,68,201412,DE POEL MANAGED SERVICES LIMITED,408.11,2015-03-25
"Policy, Economic Growth and Transformation",Transport,Car Allowances,148014284,29,201412,COMMONWHEELS CIC,3.6,2015-03-03
"Policy, Economic Growth and Transformation",Supplies and Services,"Furn, Equip & Mats",41105039,1,201412,NORTHUMBERLAND BUSINESS SERVICE LTD,4240.13,2015-03-02
"Policy, Economic Growth and Transformation",Supplies and Services,"Licenses, Housing, Fees",41105029,1,201412,SOCIAL ENTERPRISE SUNDERLAND,2208.40,2015-03-02
"Policy, Economic Growth and Transformation",Supplies and Services,"Licenses, Housing, Fees",41105032,1,201412,PROJECT NORTH EAST,4107.62,2015-03-02
"Policy, Economic Growth and Transformation",Supplies and Services,"Licenses, Housing, Fees",41105040,1,201412,TEDCO BUSINESS SUPPORT LTD,9540.29,2015-03-02
"Policy, Economic Growth and Transformation",Supplies and Services,"Licenses, Housing, Fees",41105041,1,201412,TEDCO BUSINESS SUPPORT LTD,3798.45,2015-03-02
"Policy, Economic Growth and Transformation",Transport,Car Allowances,148014284,30,201412,COMMONWHEELS CIC,12.6,2015-03-03
"Policy, Economic Growth and Transformation",Transport,Car Allowances,148014658,31,201412,COMMONWHEELS CIC,6.75,2015-03-26
"Policy, Economic Growth and Transformation",Supplies and Services,"Printing, Stationery etc",147014476,8,201412,INTERCHANGE NEWS,5.76,2015-03-02
"Policy, Economic Growth and Transformation",Supplies and Services,Comms & Computing,148014365,206,201412,O2 (UK) LTD,20.58,2015-03-10
"Policy, Economic Growth and Transformation",Supplies and Services,Comms & Computing,148014567,203,201412,O2 (UK) LTD,21.48,2015-03-23
"Policy, Economic Growth and Transformation",Supplies and Services,"Grants, Contribs & Subs",43838737,1,201412,MATALAN RETAIL LTD,32,2015-03-05
"Policy, Economic Growth and Transformation",Supplies and Services,"Grants, Contribs & Subs",43838737,5,201412,MATALAN RETAIL LTD,44,2015-03-05
"Policy, Economic Growth and Transformation",Supplies and Services,"Grants, Contribs & Subs",43838737,8,201412,MATALAN RETAIL LTD,54,2015-03-05
"Policy, Economic Growth and Transformation",Supplies and Services,"Grants, Contribs & Subs",43838737,9,201412,MATALAN RETAIL LTD,48,2015-03-05
"Policy, Economic Growth and Transformation",Supplies and Services,"Grants, Contribs & Subs",43838737,10,201412,MATALAN RETAIL LTD,53,2015-03-05
"Policy, Economic Growth and Transformation",Supplies and Services,"Licenses, Housing, Fees",43835841,0,201412,CITIZENS ADVICE BUREAU,1831.00,2015-03-11
"Policy, Economic Growth and Transformation",Transport,Car Allowances,148014284,31,201412,COMMONWHEELS CIC,3.3,2015-03-03
"Policy, Economic Growth and Transformation",Employees,Indirect Employee Expenses,43842827,0,201412,THINKING DIGITAL LTD,1257.25,2015-03-23
"Policy, Economic Growth and Transformation",Transport,Public Transport and Taxi Fares,148014325,22,201412,CLICK TRAVEL LTD,57.47,2015-03-06
"Policy, Economic Growth and Transformation",Transport,Public Transport and Taxi Fares,148014325,38,201412,CLICK TRAVEL LTD,0.58,2015-03-06
"Policy, Economic Growth and Transformation",Transport,Car Allowances,148014284,32,201412,COMMONWHEELS CIC,5.85,2015-03-03
"Policy, Economic Growth and Transformation",Transport,Car Allowances,148014658,32,201412,COMMONWHEELS CIC,22.95,2015-03-26
"Policy, Economic Growth and Transformation",Supplies and Services,Comms & Computing,148014365,209,201412,O2 (UK) LTD,14.5,2015-03-10
"Policy, Economic Growth and Transformation",Supplies and Services,Comms & Computing,148014567,206,201412,O2 (UK) LTD,9.7,2015-03-23
"Policy, Economic Growth and Transformation",Supplies and Services,"Licenses, Housing, Fees",43839408,0,201412,DTZ DTL LTD,5000.00,2015-03-04
"Policy, Economic Growth and Transformation",Supplies and Services,"Grants, Contribs & Subs",43843073,0,201412,BSUPPLIED LIMITED,3900.00,2015-03-24
"Policy, Economic Growth and Transformation",Premises,Security & Insurance,43843476,1,201412,STATUS SECURITY SYSTEMS LTD,5214.00,2015-03-27
"Policy, Economic Growth and Transformation",Supplies and Services,"Furn, Equip & Mats",43841389,0,201412,BIFFA WASTE SERVICES LTD,392,2015-03-13
"Policy, Economic Growth and Transformation",Supplies and Services,"Furn, Equip & Mats",43843419,0,201412,BIFFA WASTE SERVICES LTD,410,2015-03-25
"Policy, Economic Growth and Transformation",Employees,Agency Staff,60091106,22,201412,DE POEL MANAGED SERVICES LIMITED,420.69,2015-03-10
"Policy, Economic Growth and Transformation",Supplies and Services,Comms & Computing,43843008,0,201412,TALK TALK ENTERPRISE,2294.65,2015-03-24
"Policy, Economic Growth and Transformation",Employees,Agency Staff,60091105,54,201412,DE POEL MANAGED SERVICES LIMITED,416.62,2015-03-04
"Policy, Economic Growth and Transformation",Premises,Cleaning,43841645,0,201412,CITY CLEAN,1401.25,2015-03-25
"Policy, Economic Growth and Transformation",Supplies and Services,"Furn, Equip & Mats",43842374,0,201412,ALBANY OFFICE EQUIP(W/SALE)LTD,1696.75,2015-03-23
"Policy, Economic Growth and Transformation",Supplies and Services,"Furn, Equip & Mats",43842375,0,201412,ALBANY OFFICE EQUIP(W/SALE)LTD,2311.68,2015-03-23
"Policy, Economic Growth and Transformation",Supplies and Services,"Furn, Equip & Mats",43842376,0,201412,ALBANY OFFICE EQUIP(W/SALE)LTD,5294.20,2015-03-23
"Policy, Economic Growth and Transformation",Supplies and Services,"Furn, Equip & Mats",43842378,0,201412,ALBANY OFFICE EQUIP(W/SALE)LTD,1360.28,2015-03-23
"Policy, Economic Growth and Transformation",Supplies and Services,"Furn, Equip & Mats",43842524,0,201412,ALBANY OFFICE EQUIP(W/SALE)LTD,10784.97,2015-03-23
"Policy, Economic Growth and Transformation",Supplies and Services,"Furn, Equip & Mats",43842525,0,201412,ASPIRE TECHNOLOGY SOLUTIONS,350,2015-03-23
"Policy, Economic Growth and Transformation",Supplies and Services,"Furn, Equip & Mats",43842794,0,201412,ABACUS ACCOUNTANCY NETWORK,800,2015-03-25
"Policy, Economic Growth and Transformation",Supplies and Services,"Furn, Equip & Mats",43843821,0,201412,SUPPLIES TEAM LTD,399.49,2015-03-31
"Policy, Economic Growth and Transformation",Supplies and Services,"Licenses, Housing, Fees",43840758,0,201412,SECRET SAUCE LTD,1592.50,2015-03-11
"Policy, Economic Growth and Transformation",Supplies and Services,"Licenses, Housing, Fees",43844448,0,201412,SECRET SAUCE LTD,367.5,2015-03-30
"Policy, Economic Growth and Transformation",Supplies and Services,Comms & Computing,43839949,0,201412,IMTECH TRAFFIC & INTRA UK,1782.36,2015-03-09
"Policy, Economic Growth and Transformation",Employees,Agency Staff,60091107,25,201412,DE POEL MANAGED SERVICES LIMITED,420.69,2015-03-19
"Policy, Economic Growth and Transformation",Employees,Agency Staff,60091108,38,201412,DE POEL MANAGED SERVICES LIMITED,420.69,2015-03-25
"Policy, Economic Growth and Transformation",Premises,Rep & Maint,43843752,0,201412,CHROMAZONE,1045.00,2015-03-26
"Policy, Economic Growth and Transformation",Premises,Cleaning,43840918,0,201412,CITY CLEAN,967,2015-03-16
"Policy, Economic Growth and Transformation",Supplies and Services,"Furn, Equip & Mats",43842832,0,201412,RMT TECHNOLOGY,6693.00,2015-03-23
"Policy, Economic Growth and Transformation",Supplies and Services,"Furn, Equip & Mats",41107088,1,201412,SUPPLIES TEAM LTD,1466.72,2015-03-12
"Policy, Economic Growth and Transformation",Supplies and Services,Comms & Computing,43842526,0,201412,ASPIRE TECHNOLOGY SOLUTIONS,13801.00,2015-03-20
"Policy, Economic Growth and Transformation",Supplies and Services,Comms & Computing,43842145,0,201412,FREEDOM COMMUNICATIONS (UK) LTD,750,2015-03-19
"Policy, Economic Growth and Transformation",Supplies and Services,Comms & Computing,43842147,0,201412,FREEDOM COMMUNICATIONS (UK) LTD,450,2015-03-19
"Policy, Economic Growth and Transformation",Supplies and Services,Comms & Computing,148014365,210,201412,O2 (UK) LTD,14.5,2015-03-10
"Policy, Economic Growth and Transformation",Supplies and Services,Comms & Computing,148014567,207,201412,O2 (UK) LTD,14.5,2015-03-23
"Policy, Economic Growth and Transformation",Supplies and Services,"Licenses, Housing, Fees",43843099,0,201412,ASSOCIATION OF TOWN CENTRE MANAGEMENT,625,2015-03-24
"Policy, Economic Growth and Transformation",Transport,Car Allowances,148014284,33,201412,COMMONWHEELS CIC,44.94,2015-03-03
"Policy, Economic Growth and Transformation",Transport,Car Allowances,148014658,33,201412,COMMONWHEELS CIC,12.17,2015-03-26
"Policy, Economic Growth and Transformation",Employees,Indirect Employee Expenses,43840224,0,201412,CENTRE FOR ECONOMIC & SOCIAL,670,2015-03-11
"Policy, Economic Growth and Transformation",Transport,Public Transport and Taxi Fares,148014457,20,201412,CLICK TRAVEL LTD,52.02,2015-03-17
"Policy, Economic Growth and Transformation",Transport,Public Transport and Taxi Fares,148014457,39,201412,CLICK TRAVEL LTD,0.46,2015-03-17
"Policy, Economic Growth and Transformation",Transport,Public Transport and Taxi Fares,148014581,1,201412,CLICK TRAVEL LTD,7.98,2015-03-24
"Policy, Economic Growth and Transformation",Transport,Public Transport and Taxi Fares,148014581,17,201412,CLICK TRAVEL LTD,73.63,2015-03-24
"Policy, Economic Growth and Transformation",Transport,Public Transport and Taxi Fares,148014581,53,201412,CLICK TRAVEL LTD,0.68,2015-03-24
"Policy, Economic Growth and Transformation",Supplies and Services,Comms & Computing,148014365,212,201412,O2 (UK) LTD,21.22,2015-03-10
"Policy, Economic Growth and Transformation",Supplies and Services,Comms & Computing,148014567,209,201412,O2 (UK) LTD,20.05,2015-03-23
"Policy, Economic Growth and Transformation",Supplies and Services,"Grants, Contribs & Subs",43838737,2,201412,MATALAN RETAIL LTD,20,2015-03-05
"Policy, Economic Growth and Transformation",Supplies and Services,"Grants, Contribs & Subs",43838737,3,201412,MATALAN RETAIL LTD,22,2015-03-05
