Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2016-02-01,5100840076,91844.33,University Hospital of South Mcr
Manchester City Council,Regeneration Finance,Professional fees,2016-02-01,5100837835,57061.00,Salford City Council
Manchester City Council,Regeneration Finance,Professional fees,2016-02-01,5100839319,30000.00,The Carbon and Energy Fund Ltd
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2016-02-01,5100840076,20429.08,University Hospital of South Mcr
Manchester City Council,Hospitality + Trading Services,Security,2016-02-01,5100840100,1443.04,Chubb Systems Ltd
Manchester City Council,Chief Executives,Building Works,2016-02-01,5100840198,1015.31,SRM Schoberer Rad Messtechnik GmbH
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-01,1904973187,817.23,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-01,1904973163,693.91,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-01,1904973182,649.33,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-01,1904973128,646.40,Ecomix Concrete Ltd
Manchester City Council,Manchester Leisure,Compensation Payments,2016-02-01,1904962748,630.00,Thompsons Solicitors
Manchester City Council,Manchester Leisure,Compensation Payments,2016-02-01,1904927917,627.00,Department For Work & Pensions
Manchester City Council,Adult Social Care,Furniture,2016-02-01,5100830341,567.78,Zero Six
Manchester City Council,Chief Executives,Compensation Payments,2016-02-01,1904964863,500.00,Redacted Personal Information
Manchester City Council,Chief Executives,External repairs and maintenance for buildings,2016-02-01,5100840120,1618.00,VP Bastion Ltd
Manchester City Council,Housing Revenue Account,Council Dwelling Fees,2016-02-29,5100842160,2744.94,Northwards Housing Limited,
Manchester City Council,Environment and Operations,Vehicle Costs,2016-02-29,5100844566,2738.69,Biffa Waste Services Ltd,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-29,5100844864,2700.00,Northern Marking Limited,
Manchester City Council,Chief Executives,Postage,2016-02-29,5100845338,2700.00,Royal Mail Direct,
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,2016-02-29,5100843674,2693.66,Manchester Womens Aid,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-29,5100845193,2670.85,Keelagher Okey Associates Ltd t/a,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-29,5100844145,2600.31,HR GO Recruitment Healthcare,
Manchester City Council,Childrens Services,Goods Received Invoice Received,2016-02-29,5100842965,2594.79,Capita IT Services (BSF) Limited,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-29,5100845057,2592.45,Glasdon U.K. Limited,
Manchester City Council,Chief Executives,Printing,2016-02-29,5100844847,2576.00,Contact Photographic Services Ltd,
Manchester City Council,Corporate Services,Compensation Payments,2016-02-29,1905010468,2568.00,HMCTS (Manchester),
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-29,5100845397,2531.25,Kenny Bros (Civil Eng) Ltd,
Manchester City Council,Chief Executives,Agency staff provision,2016-02-29,5100844147,2500.00,Rullion Resource Limited,
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,2016-02-29,1904994093,2500.00,Bolton & Quinn,
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-29,5100844453,2487.33,Northwards Housing Limited,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,2016-02-29,5100844012,2484.00,Northern Rail Ltd,
Manchester City Council,Childrens Services,Goods Received Invoice Received,2016-02-29,5100840489,2472.00,Capita IT Services (BSF) Limited,
Manchester City Council,Housing General Fund,Council Dwellings - Demolition,2016-02-29,5100845268,2452.32,Northwards Housing Limited,
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-29,5100844453,2442.21,Northwards Housing Limited,
Manchester City Council,Adult Social Care,Payments for services,2016-02-29,5100844391,2428.68,Remedi,
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,2016-02-29,5100840899,2424.41,Wai Yin Society,
Manchester City Council,Regeneration Finance,Payments to Sub-Contractors,2016-02-29,5100840711,2410.40,Wilde Consultants Ltd,
Manchester City Council,Chief Executives,Infrastructure Fees,2016-02-29,5100844030,2404.00,Computacenter (UK) Ltd,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,2016-02-29,5100844012,2380.00,Northern Rail Ltd,
Manchester City Council,Hospitality + Trading Services,Contract Cleaning External,2016-02-29,5100844689,2301.12,Hall Cleaning Services Ltd,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-29,5100845275,2283.02,Northern Marking Limited,
Manchester City Council,Environment and Operations,External repairs and maintenance for buildings,2016-02-29,5100845396,2282.01,Continental Landscapes Limited,
Manchester City Council,Childrens Services,Goods Received Invoice Received,2016-02-29,5100842867,2266.00,Capita IT Services (BSF) Limited,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2016-02-29,5100845248,2253.30,Portakabin Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-29,5100844866,2250.00,The Mustard Tree,
Manchester City Council,Chief Executives,Vehicle Plant Furniture and Equipment,2016-02-29,5100844175,2203.00,Capgemini UK Plc,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-29,5100840547,2200.00,Hoare Lea Fire Engineering,
Manchester City Council,Manchester Leisure,Library Materials Acquisition,2016-02-29,1905003456,2169.27,Cramer Music Ltd,
Manchester City Council,Chief Executives,Agency staff provision,2016-02-29,5100844148,2160.00,Triad Resourcing,
Manchester City Council,Chief Executives,Hire of Equipment,2016-02-29,5100845232,2136.00,Universal Live,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-29,5100844846,2074.46,Northern Marking Limited,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-29,5100844200,2074.22,Sanctuary Social Care,
Manchester City Council,Corporate Services,Postage,2016-02-29,5100845336,2068.93,Royal Mail Group Plc,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-29,5100844200,2046.10,Sanctuary Social Care,
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,2016-02-29,5100842882,2045.50,Moston Methodist Church Playgroup,
Manchester City Council,Adult Social Care,Personal Needs of Residents - Other Amenities,2016-02-29,1905007707,2041.20,Barnardos Manchester Leaving Care S,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-29,5100844200,2038.25,Sanctuary Social Care,
Manchester City Council,Adult Social Care,Grant Payments,2016-02-29,5100845474,2000.00,Manchester Disabled People'S Access,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-29,5100845526,2000.00,Turner & Townsend Cost,
Manchester City Council,Adult Social Care,Equipment,2016-02-29,5100840596,1999.50,WADSWORTH SECURITY PRODUCTS,
Manchester City Council,Chief Executives,Printing,2016-02-29,5100845553,1990.00,Browns CTP Ltd,
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-29,5100844985,1985.61,North West Community Services Ltd,
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2016-02-29,5100844791,1970.00,Haymarket Publishing Services Ltd,
Manchester City Council,Adult Social Care,Rents,2016-02-29,5100845419,1958.49,Commercial Real Estates Management,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-29,5100844200,1956.25,Sanctuary Social Care,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-29,5100844200,1936.90,Sanctuary Social Care,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-29,5100844200,1935.50,Sanctuary Social Care,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-29,5100844200,1912.07,Sanctuary Social Care,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-29,5100845253,1898.25,Willow Park Housing Trust,
Manchester City Council,Chief Executives,Infrastructure Fees,2016-02-29,5100844153,1890.00,Triad Resourcing,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-02-29,5100842053,1888.28,Wrekin Windows,
Manchester City Council,Adult Social Care,Personal Needs of Residents - Other Amenities,2016-02-29,1905003571,1877.80,Barnardos Manchester Leaving Care S,
Manchester City Council,Environment and Operations,Equipment,2016-02-29,5100844711,1875.00,Massey & Harris (Engrg) Ltd,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-29,5100844845,1874.78,Northern Marking Limited,
Manchester City Council,Regeneration Finance,I T Provision,2016-02-29,5100842599,1856.00,T.I.S. Limited,
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2016-02-29,5100845473,1836.86,Skills and Work Solutions Ltd,
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-29,5100843001,1825.00,Nelson Transport,
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2016-02-29,5100844444,1819.44,Landscape Supply Company,
Manchester City Council,Chief Executives,Printing,2016-02-29,5100845315,1818.00,Astra Signs,
Manchester City Council,Chief Executives,Agency staff provision,2016-02-29,5100844151,1815.98,Michael Page International,
Manchester City Council,Chief Executives,Agency staff provision,2016-02-29,5100844151,1810.80,Michael Page International,
Manchester City Council,Childrens Services,Building Works,2016-02-29,5100842961,1802.50,Capita IT Services (BSF) Limited,
Manchester City Council,Chief Executives,Infrastructure Fees,2016-02-29,5100844150,1764.70,Michael Page International,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-29,5100844194,1754.06,SRA Cover Staff Ltd,
Manchester City Council,Adult Social Care,I T Provision,2016-02-29,5100844168,1745.11,Computacenter (UK) Ltd
Manchester City Council,Environment and Operations,Equipment,2016-02-29,5100844201,1726.00,GB Sport & Leisure UK Ltd
Manchester City Council,Hospitality + Trading Services,Equipment,2016-02-29,5100845068,1724.64,Glasdon U.K. Limited
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-29,5100844145,1710.95,HR GO Recruitment Healthcare
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-29,5100845159,1708.00,William Smith Sons (Barnard Castle)
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-02-29,5100845437,1702.35,SIG Roofing Supplies
Manchester City Council,Chief Executives,Building Works,2016-02-29,5100843204,1692.00,Rivermeade Signs Ltd
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-29,5100845381,1687.50,Kenny Bros (Civil Eng) Ltd
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-29,5100844453,1670.98,Northwards Housing Limited
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-29,5100844852,1654.00,Manchester Carers Centre
Manchester City Council,Environment and Operations,Construction Works,2016-02-29,5100844843,1650.00,Utilities Design & Planning Ltd
Manchester City Council,Environment and Operations,Construction Works,2016-02-29,5100843445,1650.00,Wilde Consultants Ltd
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-29,5100844200,1645.18,Sanctuary Social Care
Manchester City Council,Manchester Leisure,Library Materials Acquisition,2016-02-29,1905003479,1609.16,BT Business Direct Ltd
Manchester City Council,Environment and Operations,Construction Works,2016-02-29,5100844228,1600.00,Utilities Design & Planning Ltd
Manchester City Council,Housing General Fund,Works and associated costs for Land and Buildings,2016-02-29,5100844659,1594.00,Allied Scaffolding Ltd
Manchester City Council,Hospitality + Trading Services,Cleaning Equipment and Materials,2016-02-29,5100844004,1577.40,Alliance Disposables Ltd
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,2016-02-29,5100841425,1573.33,The Big Life Company
Manchester City Council,Adult Social Care,Foster Payments,2016-02-29,1905012645,1564.84,Redacted Personal Information
Manchester City Council,Environment and Operations,Compensation Payments,2016-02-29,1905007757,1559.00,JMW Solicitors
Manchester City Council,Chief Executives,Hire of Equipment,2016-02-29,5100845297,1558.00,Universal Live
Manchester City Council,Environment and Operations,Furniture,2016-02-29,5100845485,1550.00,Eagle Containers Ltd
Manchester City Council,Environment and Operations,Building Materials for direct delivery,2016-02-29,5100844378,1550.00,C Saycell & Son Ltd
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2016-02-29,5100843984,1550.00,Groundwork Landscapes Ltd
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2016-02-29,5100844548,1541.55,Brentwood Moss Nurseries
Manchester City Council,Housing Revenue Account,Supporting People Payments,2016-02-29,5100844606,1538.46,Northwards Housing Limited
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-29,5100843295,1536.00,Mike Davies Transport
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-29,5100844227,1529.02,Rosgal Ltd
Manchester City Council,Hospitality + Trading Services,Purchase of stores for re-distribution,2016-02-29,5100844739,1528.08,Burwood Supply Ltd
Manchester City Council,Housing General Fund,Surplus property Fees,2016-02-29,1905010277,1524.00,Redacted Personal Information
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-29,5100844200,1519.00,Sanctuary Social Care
Manchester City Council,Regeneration Finance,Professional fees,2016-02-29,5100843865,1502.00,Smartwater Technology Ltd
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2016-02-29,5100845456,1501.00,Skills and Work Solutions Ltd
Manchester City Council,Adult Social Care,Training and Development,2016-02-29,5100845157,1500.00,Laurus Development Limited
Manchester City Council,Chief Executives,Printing,2016-02-29,5100840695,1500.00,Silk Group Ltd
Manchester City Council,Manchester Leisure,Library Materials Acquisition,2016-02-29,1905003487,1495.00,JD Financial Publishing Ltd
Manchester City Council,Adult Social Care,Contract Cleaning External,2016-02-29,5100845522,1488.00,Barnardo's North West
Manchester City Council,Adult Social Care,Contract Cleaning External,2016-02-29,5100843282,1488.00,Barnardo's North West
Manchester City Council,Chief Executives,Building Works,2016-02-29,5100843200,1477.00,Rivermeade Signs Ltd
Manchester City Council,Manchester Leisure,Library Materials Acquisition,2016-02-29,1905012556,1474.45,Cramer Music Ltd
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,2016-02-29,5100844188,1460.41,Ladybarn Community Centre
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,2016-02-29,5100844196,1460.41,Ladybarn Community Centre
Manchester City Council,Manchester Leisure,Library Materials Acquisition,2016-02-29,1905012600,1453.16,Ulverscroft Large Print Books Ltd
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,2016-02-29,5100841207,1452.95,Anson Cabin Project
Manchester City Council,Hospitality + Trading Services,Security,2016-02-29,5100841138,1440.00,Video Receiving Centre Ltd
Manchester City Council,Manchester Leisure,Equipment,2016-02-29,1905012615,1425.00,INSTIGATE ARTS CIC
Manchester City Council,Chief Executives,Hire of Equipment,2016-02-29,5100842084,1425.00,Jigsaw Systems Limited
Manchester City Council,Chief Executives,Advertising,2016-02-29,5100845238,1420.20,TES Global Ltd
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,2016-02-29,5100841070,1414.50,Barlow Moor Community Association
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,2016-02-29,5100842758,1408.85,Youth Project @ Apostles &
Manchester City Council,Environment and Operations,Construction Works,2016-02-29,5100844286,1401.63,Transport for Greater Manchester
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,2016-02-29,5100841153,1401.15,Barlow Moor Community Association
Manchester City Council,Manchester Leisure,Payments for services,2016-02-29,5100843950,1400.00,UK Dodgeball Association
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-29,5100845229,1392.05,Willow Park Housing Trust
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-29,5100842047,1376.99,The Lesbian & Gay Foundation
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,2016-02-29,5100841210,1364.33,Anson Cabin Project
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2016-02-29,5100845460,1361.86,Skills and Work Solutions Ltd
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2016-02-29,5100845445,1360.00,Turner & Townsend Project
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-02-29,5100845433,1356.72,SIG Roofing Supplies
Manchester City Council,Hospitality + Trading Services,Funeral and coroner related services,2016-02-29,5100844981,1350.07,Arco Group Ltd
Manchester City Council,Corporate Services,Training and Development,2016-02-29,5100845451,1350.00,Interactive Solutions
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-29,5100845273,1350.00,Northern Marking Limited
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-29,5100844715,1350.00,Northern Marking Limited
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-29,5100844859,1350.00,Northern Marking Limited
Manchester City Council,Chief Executives,Catering,2016-02-29,5100784017,1349.76,Manchester Central
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,2016-02-29,5100841575,1333.33,N-Gage Project
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,2016-02-29,5100841648,1321.25,Slade Lane Playscheme
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-29,5100844833,1280.83,Moodswings Network
Manchester City Council,Adult Social Care,Legal Fees,2016-02-29,5100844776,1275.00,Exchange Chambers
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-29,5100845237,1258.30,Burwood Supply Ltd
Manchester City Council,Environment and Operations,Building Materials for direct delivery,2016-02-29,5100845283,1250.00,Chorlton Traders Association
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-29,5100845184,1234.14,The Stroke Association
Manchester City Council,Childrens Services,Building Works,2016-02-29,5100845548,1216.81,Capita IT Services (BSF) Limited
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-29,5100845271,1216.80,Northern Marking Limited
Manchester City Council,Manchester Leisure,Library Materials Acquisition,2016-02-29,1905003477,1200.10,Azhar Enterrprises
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-29,5100845272,1200.00,Northern Marking Limited
Manchester City Council,Corporate Services,Landline Telephone Charges,2016-02-29,1905010326,1199.24,Vodafone (Ex C&W)
Manchester City Council,Regeneration Finance,Tree work,2016-02-29,5100842532,1190.24,Manchester Working Ltd
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,2016-02-29,5100845379,1190.00,Telecare Services Association
Manchester City Council,Chief Executives,Printing,2016-02-29,5100845319,1187.00,Astra Signs
Manchester City Council,Regeneration Finance,Payments to Sub-Contractors,2016-02-29,5100842382,1179.00,Wilde Consultants Ltd
Manchester City Council,Chief Executives,Rents,2016-02-29,5100841243,1177.83,Principal Agent Management Ltd
Manchester City Council,Chief Executives,Rents,2016-02-29,5100845486,1177.83,Principal Agent Management Ltd
Manchester City Council,Childrens Services,Goods Received Invoice Received,2016-02-29,5100841045,1170.74,Capita IT Services (BSF) Limited
Manchester City Council,Adult Social Care,Furniture,2016-02-29,5100843871,1163.62,The Furnishing Service Ltd
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-29,5100845160,1158.84,William Smith Sons (Barnard Castle)
Manchester City Council,Chief Executives,Printing,2016-02-29,5100840614,1147.06,Print On Solutions Ltd
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2016-02-29,5100845478,1143.32,Skills and Work Solutions Ltd
Manchester City Council,Insurance Fund,Insurance,2016-02-29,1905010273,1143.15,Napthens Solicitors
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,2016-02-29,5100844012,1140.00,Northern Rail Ltd
Manchester City Council,Manchester Leisure,Equipment,2016-02-29,5100842277,1125.00,Opening The Book Furniture Ltd
Manchester City Council,Manchester Leisure,Hire of Equipment,2016-02-29,5100845423,1120.90,Eve Trakway
Manchester City Council,Manchester Leisure,Professional fees,2016-02-29,5100844872,1120.00,Manchester Young Comm. Champions
Manchester City Council,Chief Executives,Funeral and coroner related services,2016-02-29,5100845266,1114.88,Central Manchester University Hosp
Manchester City Council,Chief Executives,Examination Fees,2016-02-29,5100845300,1114.88,Central Manchester University Hosp
Manchester City Council,Libraries and Theatres,Subsistence and Conference Expenses,2016-02-29,5100841268,1109.88,Cresta World Travel t/a Uniglobe
Manchester City Council,Libraries and Theatres,Payments to Sub-Contractors,2016-02-29,5100843846,1100.00,Willfab Ltd
Manchester City Council,Libraries and Theatres,Payments to Sub-Contractors,2016-02-29,5100843847,1100.00,Willfab Ltd
Manchester City Council,Hospitality + Trading Services,Furniture,2016-02-29,5100844871,1095.30,Sico Europe Ltd
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-29,5100845393,1080.00,Kenny Bros (Civil Eng) Ltd
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-29,5100845080,1079.87,The Stroke Association
Manchester City Council,Childrens Services,Building Works,2016-02-29,5100842870,1076.35,Capita IT Services (BSF) Limited
Manchester City Council,Chief Executives,Printing,2016-02-29,5100845479,1070.00,Browns CTP Ltd
Manchester City Council,Chief Executives,Building Works,2016-02-29,5100829487,1057.40,Insight Direct (Uk) Ltd
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,2016-02-29,5100844842,1055.45,Transport for Greater Manchester
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2016-02-29,5100843651,1038.50,R & M Developments Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2016-02-29,5100845418,1038.50,R & M Developments Ltd
Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,2016-02-29,5100845052,1038.46,LDS Motor Bodies Ltd
Manchester City Council,Childrens Services,Goods Received Invoice Received,2016-02-29,5100840495,1030.00,Capita IT Services (BSF) Limited
Manchester City Council,Chief Executives,Funeral and coroner related services,2016-02-29,5100845368,1026.00,Johnston Brothers Funeral Service
Manchester City Council,Adult Social Care,Payments for services,2016-02-29,5100844460,1012.00,Action For Children
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2016-02-29,5100845511,1000.00,Bury College
Manchester City Council,Hospitality + Trading Services,Toilet Requisites,2016-02-29,5100844510,995.78,Alliance Disposables Ltd
Manchester City Council,Chief Executives,I T Provision,2016-02-29,5100845250,991.53,Computacenter (UK) Ltd
Manchester City Council,Hospitality + Trading Services,Purchase of stores for re-distribution,2016-02-29,5100844740,990.00,Burwood Supply Ltd
Manchester City Council,Adult Social Care,Equipment,2016-02-29,5100843253,988.50,Safety Shop
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-29,5100841534,979.20,Cresta Car Hire
Manchester City Council,Hospitality + Trading Services,Removal and Storage of Furniture,2016-02-29,5100844072,975.50,Master Moves Ltd
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,2016-02-29,5100841332,975.00,Cocklestorm Fencing  Ltd
Manchester City Council,Environment and Operations,Training and Development,2016-02-29,5100844087,960.00,Symology Limited
Manchester City Council,Regeneration Finance,I T Provision,2016-02-29,5100845042,955.00,Keysoft Solutions Limited
Manchester City Council,Chief Executives,Funeral and coroner related services,2016-02-29,5100845295,950.34,Central Manchester University Hosp
Manchester City Council,Manchester Leisure,Library Materials Acquisition,2016-02-29,1905003527,945.42,Nelson Microfilm Ltd
Manchester City Council,Environment and Operations,Construction Works,2016-02-29,5100841612,944.59,Transport for Greater Manchester
Manchester City Council,Chief Executives,Funeral and coroner related services,2016-02-29,5100845300,942.44,Central Manchester University Hosp
Manchester City Council,Chief Executives,Funeral and coroner related services,2016-02-29,5100845266,942.44,Central Manchester University Hosp
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-29,1905010403,942.19,BRAMBLES FOODS LTD
Manchester City Council,Hospitality + Trading Services,Goods purchased for resale in Council outlets,2016-02-29,5100843106,940.65,Barcham Trees Plc
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-29,1905010588,938.91,Brake Bros Foodservice Ltd
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,2016-02-29,5100844012,937.80,Northern Rail Ltd
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,2016-02-29,5100844012,937.80,Northern Rail Ltd
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,2016-02-29,5100844012,937.80,Northern Rail Ltd
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,2016-02-29,5100844012,937.80,Northern Rail Ltd
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,2016-02-29,5100844012,937.80,Northern Rail Ltd
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,2016-02-29,5100844012,937.80,Northern Rail Ltd
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,2016-02-29,5100844012,937.80,Northern Rail Ltd
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,2016-02-29,5100844012,937.80,Northern Rail Ltd
Manchester City Council,Hospitality + Trading Services,Tipping Charges - Tonnage,2016-02-29,5100844666,931.52,J.Hopkins (Contractors) Ltd.
Manchester City Council,Housing Revenue Account,Construction Works,2016-02-29,5100843438,931.05,Wilde Consultants Ltd
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2016-02-29,5100842938,929.50,Burnt Tree Group Ltd
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-29,5100844835,925.00,Moodswings Network
Manchester City Council,Adult Social Care,Personal needs of client,2016-02-29,5100844825,914.40,Aidapt Bathrooms Ltd
Manchester City Council,Regeneration Finance,Payments to Sub-Contractors,2016-02-29,5100845417,900.00,Turner & Townsend Cost
Manchester City Council,Chief Executives,Printing,2016-02-29,5100845345,900.00,Tangent Print service
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-29,5100844308,900.00,Manchester Young Lives
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-29,5100844235,900.00,Manchester Young Lives
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-29,5100844311,900.00,Manchester Young Lives
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-29,5100844328,900.00,Manchester Young Lives
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-29,5100844331,900.00,Manchester Young Lives
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-29,5100845236,900.00,4CT Limited
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-29,5100844233,900.00,4CT Limited
Manchester City Council,Chief Executives,I T Provision,2016-02-29,5100844527,897.50,Stone Computers Ltd
Manchester City Council,Chief Executives,Building Works,2016-02-29,5100843202,894.00,Rivermeade Signs Ltd
Manchester City Council,Adult Social Care,Furniture,2016-02-29,5100844068,893.92,Zero Six
Manchester City Council,Chief Executives,Printing,2016-02-29,5100843271,884.00,Wallace Printers Ltd
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-29,5100845339,881.79,Arawak Walton Housing Association
Manchester City Council,Hospitality + Trading Services,Security,2016-02-29,5100842316,880.00,Sitewatch Fire & Surveillance Ltd
Manchester City Council,Environment and Operations,Building Materials for direct delivery,2016-02-29,5100844798,875.26,Arco Group Ltd
Manchester City Council,Chief Executives,Advertising,2016-02-29,5100845487,875.00,Centaur Communications Limited
Manchester City Council,Manchester Leisure,Bed and Breakfast Accommodation Expenditure,2016-02-29,5100841275,863.56,Cresta World Travel t/a Uniglobe
Manchester City Council,Chief Executives,Catering,2016-02-29,5100844965,855.60,Manchester Central
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-29,5100843997,854.30,Search Consultancy Ltd
Manchester City Council,Hospitality + Trading Services,Cleaning Equipment and Materials,2016-02-29,5100842366,849.50,Alliance Disposables Ltd
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-29,5100844574,849.00,Anson Cabin Project
Manchester City Council,Adult Social Care,Personal needs of client,2016-02-29,5100844679,844.00,Dcs Joncare Ltd
