Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Insurance Fund,Insurance,2015-07-01,1904691921,35000.00,Fentons Solicitors Part of
Manchester City Council,Corporate Services,Fees,2015-07-01,1904691992,15389.10,Equita Ltd
Manchester City Council,Corporate Services,Rents,2015-07-01,1904680044,13706.02,Asda Stores Ltd (Leeds)
Manchester City Council,Corporate Services,Legal Fees,2015-07-01,1904697746,10110.00,HMCTS (Manchester)
Manchester City Council,Housing General Fund,Building Works,2015-07-01,1904697559,10027.10,Pollock Lifts Ltd
Manchester City Council,Chief Executives,Compensation Payments,2015-07-01,1904698351,8830.00,HMCTS (Manchester County Court)
Manchester City Council,Corporate Services,Rents,2015-07-01,1904683980,8226.58,Aprirose Ltd
Manchester City Council,GMIST (Greater Mcr Integrated),Professional fees,2015-07-01,5100801321,8032.50,Buro Happold Limited
Manchester City Council,Insurance Fund,Insurance,2015-07-01,1904691933,7084.45,Department For Work & Pensions
Manchester City Council,Adult Social Care,Legal Fees,2015-07-01,1904698349,6165.00,HMCTS (Manchester County Court)
Manchester City Council,Adult Social Care,Legal Fees,2015-07-01,1904698349,6165.00,HMCTS (Manchester County Court)
Manchester City Council,Housing General Fund,Building Works,2015-07-01,1904697563,5586.00,Astor-Bannerman (Medical) Ltd
Manchester City Council,Housing General Fund,Building Works,2015-07-01,1904697564,5417.00,Stannah Lift Services Ltd
Manchester City Council,Corporate Services,Non Housing Rent Receipts,2015-07-01,1904673202,5213.36,Manchester Working Ltd
Manchester City Council,Corporate Services,Fees,2015-07-01,1904691990,4799.95,Equita Ltd
Manchester City Council,Adult Social Care,PNOR-Holidays,2015-07-30,1904735547,664.00,HAVEN HOLIDAYS,
Manchester City Council,Adult Social Care,PNOR-Holidays,2015-07-30,1904735548,664.00,HAVEN HOLIDAYS,
Manchester City Council,Adult Social Care,Electricity,2015-07-30,1904735914,662.22,Scottish & Southern Energy Plc,
Manchester City Council,Adult Social Care,Gas,2015-07-30,1904735984,657.77,Npower,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2015-07-30,5100806047,648.38,Lafarge Tarmac Trading Ltd,
Manchester City Council,Chief Executives,Catering,2015-07-30,5100805729,618.00,Manchester Central,
Manchester City Council,Chief Executives,Payments to Sub-Contractors,2015-07-30,5100805513,617.00,UKfast.net Ltd,
Manchester City Council,Chief Executives,Catering,2015-07-30,5100805726,614.25,Manchester Central,
Manchester City Council,Regeneration Finance,Electricity,2015-07-30,1904735899,610.93,Scottish & Southern Energy Plc,
Manchester City Council,Chief Executives,Funeral and coroner related services,2015-07-30,5100806703,608.00,Johnston Brothers Funeral Service,
Manchester City Council,Adult Social Care,Electricity,2015-07-30,1904735788,604.11,Scottish & Southern Energy Plc,
Manchester City Council,Adult Social Care,Furniture,2015-07-30,5100806604,603.46,The Furnishing Service Ltd,
Manchester City Council,Chief Executives,Agency staff provision,2015-07-30,5100806855,601.19,Hays Personnel,
Manchester City Council,Regeneration Finance,Professional fees,2015-07-30,5100806428,600.00,Arboricultural Services Treework,
Manchester City Council,Adult Social Care,Legal Fees,2015-07-30,1904736575,600.00,HMCTS (Manchester County Court),
Manchester City Council,Adult Social Care,Training and Development,2015-07-30,5100806460,598.00,Council For Awards In Children'S Ca,
Manchester City Council,Regeneration Finance,Electricity,2015-07-30,1904735972,589.56,Scottish & Southern Energy Plc,
Manchester City Council,Housing Revenue Account,Gas,2015-07-30,1904735567,587.81,Scottish & Southern Energy Plc,
Manchester City Council,Housing Revenue Account,Gas,2015-07-30,1904735608,587.81,Scottish & Southern Energy Plc,
Manchester City Council,Housing Revenue Account,Gas,2015-07-30,1904735650,587.81,Scottish & Southern Energy Plc,
Manchester City Council,Adult Social Care,Electricity,2015-07-30,1904735893,581.53,Scottish & Southern Energy Plc,
Manchester City Council,Hospitality + Trading Services,Purchase of stores for re-distribution,2015-07-30,5100804881,580.50,Wolseley Util Ltd T/A Burdens,
Manchester City Council,Regeneration Finance,Electricity,2015-07-30,1904735903,580.31,Scottish & Southern Energy Plc,
Manchester City Council,Corporate Services,Electricity,2015-07-30,1904735920,579.86,Scottish & Southern Energy Plc,
Manchester City Council,Adult Social Care,Furniture,2015-07-30,5100806601,579.34,The Furnishing Service Ltd,
Manchester City Council,Corporate Services,Electricity,2015-07-30,1904735683,576.83,Scottish & Southern Energy Plc,
Manchester City Council,Adult Social Care,Furniture,2015-07-30,5100806598,572.89,The Furnishing Service Ltd,
Manchester City Council,Adult Social Care,Furniture,2015-07-30,5100806655,572.89,The Furnishing Service Ltd,
Manchester City Council,Regeneration Finance,Agency staff provision,2015-07-30,5100806856,570.57,Hays Personnel,
Manchester City Council,Adult Social Care,Electricity,2015-07-30,1904735927,567.10,Scottish & Southern Energy Plc,
Manchester City Council,Corporate Services,Electricity,2015-07-30,1904735688,563.02,Scottish & Southern Energy Plc,
Manchester City Council,Housing Revenue Account,Gas,2015-07-30,1904735605,561.87,Scottish & Southern Energy Plc,
Manchester City Council,Housing Revenue Account,Gas,2015-07-30,1904735632,561.87,Scottish & Southern Energy Plc,
Manchester City Council,Housing Revenue Account,Gas,2015-07-30,1904735635,561.87,Scottish & Southern Energy Plc,
Manchester City Council,Adult Social Care,Furniture,2015-07-30,5100806607,560.03,The Furnishing Service Ltd,
Manchester City Council,Adult Social Care,Furniture,2015-07-30,5100806650,560.03,The Furnishing Service Ltd,
Manchester City Council,Regeneration Finance,Electricity,2015-07-30,1904735944,553.10,Scottish & Southern Energy Plc,
Manchester City Council,Corporate Services,Electricity,2015-07-30,1904735705,552.42,Scottish & Southern Energy Plc,
Manchester City Council,Corporate Services,Public Transport,2015-07-30,5100806347,550.00,Stagecoach Manchester,
Manchester City Council,Corporate Services,Travel Season TLS,2015-07-30,5100806347,550.00,Stagecoach Manchester,
Manchester City Council,Adult Social Care,Furniture,2015-07-30,5100806599,549.04,The Furnishing Service Ltd,
Manchester City Council,Housing Revenue Account,Gas,2015-07-30,1904735592,544.38,Scottish & Southern Energy Plc,
Manchester City Council,Housing Revenue Account,Gas,2015-07-30,1904735623,544.38,Scottish & Southern Energy Plc,
Manchester City Council,Housing Revenue Account,Gas,2015-07-30,1904735641,544.38,Scottish & Southern Energy Plc,
Manchester City Council,Adult Social Care,Transport Coach Hire,2015-07-30,5100804892,540.00,Connect Cars Ltd,
Manchester City Council,Chief Executives,Advertising,2015-07-30,5100806651,540.00,Kingfisher Media Ltd,
Manchester City Council,Hospitality + Trading Services,ClothsUniformLaundry,2015-07-30,5100806330,533.10,Arco Group Ltd,
Manchester City Council,Adult Social Care,Furniture,2015-07-30,5100806641,532.13,The Furnishing Service Ltd,
Manchester City Council,Regeneration Finance,Electricity,2015-07-30,1904735668,528.46,Scottish & Southern Energy Plc,
Manchester City Council,Environment and Operations,Electricity,2015-07-30,1904735698,528.44,Scottish & Southern Energy Plc,
Manchester City Council,Manchester Leisure,Electricity,2015-07-30,1904735684,515.40,Scottish & Southern Energy Plc,
Manchester City Council,Housing Revenue Account,Gas,2015-07-30,1904735574,509.40,Scottish & Southern Energy Plc,
Manchester City Council,Corporate Services,Electricity,2015-07-30,1904735808,508.54,Scottish & Southern Energy Plc,
Manchester City Council,Regeneration Finance,Electricity,2015-07-30,1904735681,507.78,Scottish & Southern Energy Plc,
Manchester City Council,Adult Social Care,Training and Development,2015-07-30,5100805397,500.00,Council For Awards In Children'S Ca,
Manchester City Council,Regeneration Finance,Professional fees,2015-07-30,5100806712,975.00,Lloyd Evans Prichard Ltd,
Manchester City Council,Regeneration Finance,Professional fees,2015-07-30,5100806709,1393.80,Lloyd Evans Prichard Ltd,
Manchester City Council,Regeneration Finance,Professional fees,2015-07-30,5100806472,1750.00,Lloyd Evans Prichard Ltd,
Manchester City Council,Regeneration Finance,Professional fees,2015-07-30,5100806699,4000.00,Buttress,
Manchester City Council,Regeneration Finance,Professional fees,2015-07-30,5100806702,10000.00,Buttress,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2015-07-30,5100806299,19474.47,BT PLC,
Manchester City Council,Housing Revenue Account,Private Finance and Public Private partnership initiatives,2015-07-31,1904737589,1700000.00,Renaissance Miles Platting Ltd,
Manchester City Council,Housing General Fund,Usable Capital Rec,2015-07-31,1904736737,509590.00,DCLG,
Manchester City Council,GMIST (Greater Mcr Integrated),Third party payments to other Local Authorities,2015-07-31,5100806828,339129.00,Trafford M.B.C.,
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2015-07-31,5100806489,294094.00,Laing O'Rourke Construction Ltd,
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2015-07-31,5100805390,257019.71,Bramall Construction Ltd,
Manchester City Council,Manchester Leisure,Works and associated costs for Land and Buildings,2015-07-31,5100806751,201179.76,Balfour Beatty Regional,
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2015-07-31,5100805413,180885.78,Bramall Construction Ltd,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,2015-07-31,5100801649,154166.66,National Football Museum,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,2015-07-31,5100805702,90219.00,Cruden Group Ltd,
Manchester City Council,Regeneration Finance,Professional fees,2015-07-31,5100806452,77446.25,AECOM Limited,
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2015-07-31,5100795810,62500.00,Salford City Council,
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2015-07-31,5100801610,62500.00,Salford City Council,
Manchester City Council,Chief Executives,Vehicle Plant Furniture and Equipment,2015-07-31,5100804273,60000.00,FTS Facilities,
Manchester City Council,Regeneration Finance,Preventative Maintenance Work,2015-07-31,5100806955,59368.46,Manchester Working Ltd,
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2015-07-31,5100806753,53500.00,Greater Manchester Chamber of,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2015-07-31,5100805672,51684.63,Manchester Working Ltd,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2015-07-31,5100804786,48329.37,The Pennine Acute Hospital Nhs Trus,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,2015-07-31,5100805518,45374.00,Conlon Construction Ltd,
Manchester City Council,Chief Executives,Vehicle Plant Furniture and Equipment,2015-07-31,5100802074,44057.15,Computacenter (UK) Ltd,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2015-07-31,5100806770,43200.00,Rosgal Ltd,
Manchester City Council,Manchester Leisure,Professional fees,2015-07-31,5100806834,43200.00,World Dodgeball Association,
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2015-07-31,5100806478,42500.00,Pathways CIC,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2015-07-31,5100804786,40377.98,The Pennine Acute Hospital Nhs Trus,
Manchester City Council,Adult Social Care,Rents,2015-07-31,5100806358,38957.86,Accommodation Links Ltd,
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2015-07-31,5100806270,35371.12,Commission for the New Economy,
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2015-07-31,5100801946,34163.00,Skilled and Ready,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2015-07-31,5100806466,33396.00,Gibsons Garden Machinery Limited,
Manchester City Council,Manchester Leisure,Transport Coach Hire,2015-07-31,5100807039,32160.00,Belle Vue Manchester,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2015-07-31,5100806165,31763.97,Kenny Bros (Civil Eng) Ltd,
Manchester City Council,GMIST (Greater Mcr Integrated),Agency staff provision,2015-07-31,5100803226,31230.22,Trafford M.B.C.,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2015-07-31,5100804786,31056.67,The Pennine Acute Hospital Nhs Trus,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,2015-07-31,5100805362,29695.00,Cruden Group Ltd,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2015-07-31,5100807101,28963.00,Cruden Group Ltd,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2015-07-31,5100806854,28963.00,Cruden Group Ltd,
Manchester City Council,Adult Social Care,Supporting People Payments,2015-07-31,5100807043,27734.63,Manchester Womens Aid,
Manchester City Council,Adult Social Care,Home Care,2015-07-31,5100806469,27657.00,One Education Ltd,
Manchester City Council,Environment and Operations,Refuse Collection,2015-07-31,5100802789,27500.00,Clean-Up UK Limited,
Manchester City Council,Environment and Operations,Construction Works,2015-07-31,5100802406,24832.50,Wilde Consultants Ltd,
Manchester City Council,Adult Social Care,Transport Coach Hire,2015-07-31,5100806387,24236.50,Westfield Minibuses,
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2015-07-31,5100806034,24200.00,Positive Steps Oldham,
Manchester City Council,Adult Social Care,Extra Care Sheltd HP,2015-07-31,5100806817,23966.81,Carewatch Care Service,
Manchester City Council,Regeneration Finance,Professional fees,2015-07-31,5100807071,23832.00,Blue Orchid Management,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2015-07-31,5100805149,23021.42,Utilities Design & Planning Ltd,
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2015-07-31,5100806827,22662.57,Capita IT Services (BSF) Limited,
Manchester City Council,Chief Executives,Agency staff provision,2015-07-31,5100806922,21741.93,Medicare First,
Manchester City Council,Chief Executives,Vehicle Plant Furniture and Equipment,2015-07-31,5100802079,21438.27,Computacenter (UK) Ltd,
Manchester City Council,Environment and Operations,Grant and subscriptions awarded,2015-07-31,5100806296,21412.66,Greater Manchester Police,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2015-07-31,5100805040,20997.00,Kenny Bros (Civil Eng) Ltd,
Manchester City Council,Adult Social Care,Supporting People Payments,2015-07-31,5100802279,20905.38,City Care Partnership Ltd,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2015-07-31,5100806718,19194.73,Rosgal Ltd,
Manchester City Council,Chief Executives,Vehicle Plant Furniture and Equipment,2015-07-31,5100802086,18696.00,Computacenter (UK) Ltd,
Manchester City Council,GMIST (Greater Mcr Integrated),Agency staff provision,2015-07-31,5100806417,18425.32,Salford City Council,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2015-07-31,5100803856,18353.50,Kenny Bros (Civil Eng) Ltd,
Manchester City Council,Chief Executives,Agency staff provision,2015-07-31,5100807005,18195.99,Liquid Personnel Ltd,
Manchester City Council,Adult Social Care,Payments for services,2015-07-31,5100806949,17329.00,The Youth Justice Board,
Manchester City Council,Leasing,Equipment Operating Lease,2015-07-31,5100802118,17241.08,CHG-Meridian Computer Leasing UK,
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2015-07-31,5100806789,17150.00,CEL Leadership and Change Ltd,
Manchester City Council,Chief Executives,Vehicle Plant Furniture and Equipment,2015-07-31,5100802081,16786.00,Computacenter (UK) Ltd,
Manchester City Council,Chief Executives,Agency staff provision,2015-07-31,5100807017,16549.46,Search Consultancy Ltd,
Manchester City Council,Chief Executives,Agency staff provision,2015-07-31,5100806957,16461.04,P S Recruitment Specialists Ltd,
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,2015-07-31,5100805666,16357.53,Carlton Fuels Ltd,
Manchester City Council,Adult Social Care,Transport Coach Hire,2015-07-31,5100806389,16353.00,Redacted Personal Information,
Manchester City Council,Regeneration Finance,Professional fees,2015-07-31,5100804840,16335.00,Airborne Environmental Consultants,
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,2015-07-31,5100801684,16280.51,Carlton Fuels Ltd,
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,2015-07-31,5100806281,16249.51,Carlton Fuels Ltd,
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,2015-07-31,5100806283,16249.51,Carlton Fuels Ltd,
Manchester City Council,Environment and Operations,Construction Works,2015-07-31,5100806419,16000.00,JMP Consultants Ltd,
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,2015-07-31,5100806464,15879.35,Carlton Fuels Ltd,
Manchester City Council,Adult Social Care,Extra Care Sheltd HP,2015-07-31,5100805825,15751.39,Creative Support Ltd,
Manchester City Council,Regeneration Finance,Professional fees,2015-07-31,5100806440,15676.38,Turner & Townsend Cost,
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,2015-07-31,5100803728,15518.34,Carlton Fuels Ltd,
Manchester City Council,Chief Executives,Agency staff provision,2015-07-31,5100807034,15130.14,Synergy Recruitment Consultancy Ltd,
Manchester City Council,Regeneration Finance,Grant Payments,2015-07-31,5100806664,15000.00,Bury College,
Manchester City Council,Chief Executives,Agency staff provision,2015-07-31,5100806934,14780.69,Synergy Recruitment Consultancy Ltd,
Manchester City Council,Adult Social Care,Carer Support Payments,2015-07-31,5100806898,14768.32,Independent Living Alliance,
Manchester City Council,Adult Social Care,Extra Care Sheltd HP,2015-07-31,5100805819,14757.06,Creative Support Ltd,
Manchester City Council,Regeneration Finance,Professional fees,2015-07-31,5100804928,14632.50,Commission for the New Economy,
Manchester City Council,Regeneration Finance,Professional fees,2015-07-31,5100806952,14625.00,Mace Ltd,
Manchester City Council,Regeneration Finance,Legal Fees,2015-07-31,5100807113,14441.60,Slater & Gordon (UK) LLP,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-31,5100806780,14211.00,Back On Track,
Manchester City Council,Environment and Operations,Construction Works,2015-07-31,5100804815,14037.88,GMCA,
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,2015-07-31,5100806287,14004.33,Carlton Fuels Ltd,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2015-07-31,5100806757,13880.29,Rosgal Ltd,
Manchester City Council,Hospitality + Trading Services,Hire of Equipment,2015-07-31,5100804067,13660.35,Parkeon Ltd,
Manchester City Council,Regeneration Finance,Professional fees,2015-07-31,5100806265,13431.17,Atkins Limited,
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,2015-07-31,5100807108,13300.00,Business In The Community North,
Manchester City Council,Adult Social Care,Supporting People Payments,2015-07-31,5100807043,12800.44,Manchester Womens Aid,
Manchester City Council,Adult Social Care,Gas,2015-07-31,5100806882,12757.08,Manchester School Services Limited,
Manchester City Council,Regeneration Finance,Professional fees,2015-07-31,5100806438,12729.60,Turner & Townsend Project,
Manchester City Council,Regeneration Finance,Payments to Sub-Contractors,2015-07-31,5100805209,12650.00,Wilde Consultants Ltd,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2015-07-31,5100805960,12575.31,Fast Hire UK,
Manchester City Council,Adult Social Care,Agency staff provision,2015-07-31,5100807011,11819.41,Barker Ross Health & Social Care,
Manchester City Council,Regeneration Finance,Professional fees,2015-07-31,5100803135,11696.83,Wilkinson Cowan Partnership Ltd,
Manchester City Council,Adult Social Care,Professional Services Provision,2015-07-31,5100807102,11609.74,Percy Westhead & Company,
Manchester City Council,Environment and Operations,Construction Works,2015-07-31,5100803720,11362.00,Transport for Greater Manchester,
Manchester City Council,Chief Executives,Construction Works,2015-07-31,5100804834,11053.61,GMCA,
Manchester City Council,Adult Social Care,Transport Coach Hire,2015-07-31,5100804645,11022.24,T/A Schools Direct,
Manchester City Council,Adult Social Care,Transport Coach Hire,2015-07-31,5100804659,10719.20,T/A Schools Direct,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2015-07-31,5100806304,10507.10,Kenny Bros (Civil Eng) Ltd,
Manchester City Council,Manchester Leisure,Payments for services,2015-07-31,5100805956,10500.00,The Fitness Training Academy Ltd,
Manchester City Council,Regeneration Finance,Professional fees,2015-07-31,5100805364,10400.00,Turner & Townsend Cost,
Manchester City Council,Adult Social Care,Transport Coach Hire,2015-07-31,5100803323,10098.60,Cresta Car Hire,
Manchester City Council,Regeneration Finance,Professional fees,2015-07-31,5100807076,10000.00,Blue Orchid Management,
Manchester City Council,Manchester Leisure,Special Event,2015-07-31,5100806690,10000.00,Manchester Literature Festival,
Manchester City Council,Adult Social Care,Payments for services,2015-07-31,5100806575,9953.42,Cheshire & Greater Manchester,
Manchester City Council,Corporate Services,Construction Works,2015-07-31,5100805692,9943.00,Amey Highways Lighting (Manchester),
Manchester City Council,Manchester Leisure,Agency staff provision,2015-07-31,5100805560,9867.09,Wythenshawe Forum Trust Ltd,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2015-07-31,5100806743,9827.53,Gibsons Garden Machinery Limited,
Manchester City Council,Chief Executives,Agency staff provision,2015-07-31,5100807078,9550.16,Ashberry Recruitment Ltd,
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,2015-07-31,5100806458,9421.77,Carlton Fuels Ltd,
Manchester City Council,Adult Social Care,Payments for services,2015-07-31,5100805263,9348.67,Ramillies Hall School Ltd,
Manchester City Council,Adult Social Care,Transport Coach Hire,2015-07-31,5100804658,9185.20,T/A Schools Direct,
Manchester City Council,Regeneration Finance,Grant Payments,2015-07-31,5100805771,9167.33,Harpurhey Neighbourhood Project,
Manchester City Council,Regeneration Finance,Professional fees,2015-07-31,5100805454,9071.00,Turner & Townsend Cost,
Manchester City Council,Environment and Operations,Construction Works,2015-07-31,5100805690,8800.23,Amey Highways Lighting (Manchester),
Manchester City Council,GMIST (Greater Mcr Integrated),Agency staff provision,2015-07-31,5100806773,8800.00,Ernst & Young Llp,
Manchester City Council,Environment and Operations,Grant and subscriptions awarded,2015-07-31,5100805874,8686.40,Coaching Inside and Out,
Manchester City Council,Regeneration Finance,Professional fees,2015-07-31,5100807111,8500.00,DWF LLP,
Manchester City Council,Regeneration Finance,Professional fees,2015-07-31,5100806433,8154.90,Turner & Townsend Cost,
Manchester City Council,Regeneration Finance,Professional fees,2015-07-31,5100803128,8048.09,Wilkinson Cowan Partnership Ltd,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2015-07-31,5100804786,8005.98,The Pennine Acute Hospital Nhs Trus,
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2015-07-31,5100806779,7916.35,Capita IT Services (BSF) Limited,
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2015-07-31,5100806480,7856.50,Pathways CIC,
Manchester City Council,Childrens Services,Building Works,2015-07-31,5100806823,7782.37,Capita IT Services (BSF) Limited,
Manchester City Council,Manchester Leisure,Payments for services,2015-07-31,5100805954,7680.00,The Fitness Training Academy Ltd,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,2015-07-31,5100805676,7650.00,Pierre Angulaire Limited,
Manchester City Council,Adult Social Care,Equipment,2015-07-31,5100806138,7552.08,WADSWORTH SECURITY PRODUCTS,
Manchester City Council,Manchester Leisure,Grant Payments,2015-07-31,5100805192,7500.00,Contact Theatre Company,
Manchester City Council,Adult Social Care,Payments for services,2015-07-31,5100806026,7500.00,Relate Manchester,
Manchester City Council,Chief Executives,Advertising,2015-07-31,5100806238,7468.40,Trinity Mirror NW2 Ltd,
Manchester City Council,Manchester Leisure,External repairs and maintenance for buildings,2015-07-31,5100805116,7449.60,Colas Limited,
Manchester City Council,GMIST (Greater Mcr Integrated),Agency staff provision,2015-07-31,5100806764,7398.58,NHS Tameside & Glossop CCG,
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2015-07-31,5100804502,7264.00,GMCVO,
Manchester City Council,GMIST (Greater Mcr Integrated),Agency staff provision,2015-07-31,5100806763,7251.99,NHS Tameside & Glossop CCG,
Manchester City Council,Childrens Services,Building Works,2015-07-31,5100806798,7244.65,Capita IT Services (BSF) Limited,
Manchester City Council,Adult Social Care,Transport Coach Hire,2015-07-31,5100806390,7112.90,Parkway Cabs & Cars,
Manchester City Council,GMIST (Greater Mcr Integrated),Agency staff provision,2015-07-31,5100806505,7032.23,NHS Tameside & Glossop CCG,
Manchester City Council,GMIST (Greater Mcr Integrated),Agency staff provision,2015-07-31,5100806506,7032.23,NHS Tameside & Glossop CCG,
Manchester City Council,GMIST (Greater Mcr Integrated),Agency staff provision,2015-07-31,5100806508,7032.23,NHS Tameside & Glossop CCG,
Manchester City Council,GMIST (Greater Mcr Integrated),Agency staff provision,2015-07-31,5100806509,7032.23,NHS Tameside & Glossop CCG,
Manchester City Council,GMIST (Greater Mcr Integrated),Agency staff provision,2015-07-31,5100806510,7032.23,NHS Tameside & Glossop CCG,
Manchester City Council,GMIST (Greater Mcr Integrated),Agency staff provision,2015-07-31,5100806511,7032.23,NHS Tameside & Glossop CCG,
Manchester City Council,GMIST (Greater Mcr Integrated),Agency staff provision,2015-07-31,5100806512,7032.23,NHS Tameside & Glossop CCG,
Manchester City Council,GMIST (Greater Mcr Integrated),Agency staff provision,2015-07-31,5100806513,7032.23,NHS Tameside & Glossop CCG,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2015-07-31,5100803717,6796.00,Grantfen Fire & Security Ltd,
Manchester City Council,Childrens Services,Building Works,2015-07-31,5100806819,6772.46,Capita IT Services (BSF) Limited,
Manchester City Council,Chief Executives,Agency staff provision,2015-07-31,5100806958,6588.24,Michael Page International,
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,2015-07-31,5100806930,6539.90,Manchester Working Ltd,
Manchester City Council,GMIST (Greater Mcr Integrated),Professional fees,2015-07-31,5100806724,6510.93,Ove Arup & Partners Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-31,5100803203,6498.60,Wai Yin Society,
Manchester City Council,Environment and Operations,Construction Works,2015-07-31,5100806368,6488.12,Bt Repayments And Claims Group,
Manchester City Council,Chief Executives,Agency staff provision,2015-07-31,5100807024,6436.13,Ashberry Recruitment Ltd,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2015-07-31,5100806729,6411.30,Manchester Working Ltd,
Manchester City Council,Chief Executives,ICT Sup & Maintnance,2015-07-31,5100806995,6362.00,EMC Computer Systems UK Ltd,
Manchester City Council,Adult Social Care,Transport Coach Hire,2015-07-31,5100804644,6269.80,T/A Schools Direct,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,2015-07-31,5100805675,6210.00,Pierre Angulaire Limited,
Manchester City Council,Chief Executives,Agency staff provision,2015-07-31,5100806958,6176.40,Michael Page International,
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2015-07-31,5100806824,6144.84,Capita IT Services (BSF) Limited,
Manchester City Council,Chief Executives,Agency staff provision,2015-07-31,5100805997,6029.41,Capita  Resourcing Ltd,
Manchester City Council,Chief Executives,Vehicle Plant Furniture and Equipment,2015-07-31,5100802076,6026.17,Computacenter (UK) Ltd,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2015-07-31,5100805968,6000.00,Go Plant Ltd,
Manchester City Council,Regeneration Finance,Professional fees,2015-07-31,5100805857,5915.00,Airborne Environmental Consultants,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2015-07-31,5100807044,5830.88,Water Adventure Centre,
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,2015-07-31,5100805902,5732.00,Water Adventure Centre,
Manchester City Council,Regeneration Finance,Grant Payments,2015-07-31,5100805774,5725.00,Turkey Lane & Monsall Neighbourhood,
Manchester City Council,Adult Social Care,Professional fees,2015-07-31,5100806367,5669.50,J2 Profit Limited,
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2015-07-31,5100803573,5600.00,Babington Business College Ltd,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2015-07-31,5100806708,5577.96,Gibsons Garden Machinery Limited,
Manchester City Council,Hospitality + Trading Services,Hire of Equipment,2015-07-31,5100806437,5525.00,Tents & Events Ltd,
Manchester City Council,Adult Social Care,Payments for services,2015-07-31,5100806400,5508.83,The Work Company,
