ï»¿Directorate Name,Process Used,Purchasing Body,Contract Reference,Contract Title,Contract Description,Supplier Company Name,Supplier Postcode,Annual Value,Total Contract Value (including extensions),OJEU/FTS?,Start Date,End Date,Contract Duration (months),Option to extend (months),How many extensions,Extension 1 Taken?,Extension 2 Taken?,Current Expiry Date,SME Supplier?,ProClass Classification,ProClass Description,Company Number,Visibility
Service Reform,Mini-Comp,Salford City Council,S1253,"Supply, Installation and Maintenance of Multi-Functional Printers and Print Centre Equipment","Supply, Installation and Maintenance of Multi-Functional Printers and Print Centre Equipment",Ricoh UK Limited,NN4 7YL,180000.00,900000.00,Yes,2020-09-01,2025-08-31,60,0,0,N/A,N/A,2025-08-31,No,270000,Information Communication Technology,1271033,Public
Place,Other,Salford City Council,S1235,"Supply, Repair and Maintenance of Catering Equipment","Supply, Repair and Maintenance of Catering Equipment",A Venning Ltd,M41 5AN,140000.00,180000.00,No,2019-02-01,2022-01-31,24,12,2,Yes,Yes,2023-01-31,Yes,110000,Catering,1623994,Public
People,CSO Exception,Manchester City Council,S1123,Support and Maintenance for Child View Youth Justice System (CVYJ),Support and Maintenance for Child View Youth Justice System (CVYJ),CACI,W14 8TS,8779.00,8779.00,No,2021-05-01,2023-04-30,12,,0,N/A,N/A,2023-04-30,No,270000,Information Communication Technology,1649776,Public
Service Reform,Direct Call-Off,Salford City Council,S1138,Support and Maintenance for Generic Appointments and Events Booking System,Support and Maintenance for Generic Appointments and Events Booking System,Zipporah,CF3 2PX,20000.00,40000.00,No,2021-10-31,2023-10-31,24,24,2,,,2023-10-31,Yes,270000,Information Communication Technology,4826999,Public
Place,Mini-Comp,Salford City Council,S1071-06,Swinton Greenway,Swinton Greenway,The Casey Group,OL12 9PS,4088750.10,4088750.19,Yes,2021-01-04,2022-03-15,14,0,0,N/A,N/A,2022-03-15,Yes,390000,"Works - Construction, Repair & Maintenance",1122137,Public
Place,RFQ,Salford City Council,S1469,Swinton Greenway Event Costs,Swinton Greenway Event Costs,"Nick Harrison, Fools' Paradise, SNS Marquees",Various,9999.00,9999.00,No,2022-05-03,2022-06-30,2,0,0,N/A,N/A,2022-06-30,No,390000,"Works - Construction, Repair & Maintenance",,Public
People,CSO Exception,Salford City Council,S1449,Talk English Salford,Talk English Salford,Train-to-TEFL Ltd,IV1 1EA,90506.00,90506.00,No,2021-08-02,2022-05-31,10,3,1,,,2021-05-31,No,401503,Translation,,Public
People,CSO Exception,Salford City Council,S1463,Targeted CAMHS Contracts for Children (16-17) Youth Justice Service,Targeted CAMHS Contracts for Children (16-17) Youth Justice Service,Manchester University NHS Foundation Trust (MFT),M23 9LT,308871.00,308871.00,No,2022-04-01,2023-03-31,12,0,0,N/A,N/A,2023-03-31,No,321110,Adolescent Mental Health Needs,-,Public
People,CSO Exception,Salford City Council,S1464,Targeted CAMHS Contracts Route 29,Targeted CAMHS Contracts Route 29,Manchester University NHS Foundation Trust (MFT),M23 9LT,70000.00,70000.00,No,2022-04-01,2023-03-31,12,0,0,N/A,N/A,2023-03-31,No,321110,Adolescent Mental Health Needs,-,Public
People,CSO Exception,Salford City Council,S1065,Targeted Information Advice & Guidance for the Jewish Community,"Project to provide access to effective and impartial  information, advice and guidance support to 18-64yr old residents living in Salfords Jewish community who are at the greatest risk of worklessness/poverty.",The Jewel Foundation,M25 9JY,20000.00,60000.00,No,2017-04-01,2022-03-31,24,12,2,Yes,Yes,2023-03-31,Yes,321000,Social Community Care Supplies & Services - Adult,10677798,Public
People,CSO Exception,Salford City Council,S1151,"Targeted Support to Help Salford Young People Engage in Appropriate and Compliant Education, Employment and Training Provision - Connexions","Targeted Support to Help Salford Young People Engage in Appropriate and Compliant Education, Employment and Training Provision",Career Connect,L1 8LT,553175.00,2212700.00,Yes,2017-04-01,2022-03-31,36,24,2,Yes,Yes,2023-03-31,No,321100,Social Community Care Supplies & Services - Children,4233289,Public
Place,ITT,ESPO 150 - 21,S1005,"TC607: Pest Control Chemicals, Associated Equipment and Training","TC607: Pest Control Chemicals, Associated Equipment and Training",Killgerm Chemicals Ltd,WF5 9AJ,10000.00,40000.00,No,2021-12-01,2025-11-30,48,0,0,N/A,N/A,2025-11-30,Yes,180000,Environmental Services,2794829,Public
Public Health,Mini-Comp,Salford City Council,S1070,Tech and Tea Programme,Tech and Tea Programme,Salford Third Sector Consortium,M30 0FN,145000.00,205416.67,Yes,2017-10-26,2022-09-30,60,12,1,Yes,,2022-09-30,Yes,321100,Social Community Care Supplies & Services - Children,8328565,Public
Place,ITT,Salford City Council,S1232,Technical and Highway Works Framework - Lot Five,Lot 5 - Coring,Various,Various,90000.00,360000.00,Yes,2022-02-03,2026-02-02,48,0,0,N/A,N/A,2026-02-02,Various,390000,"Works Construction, Repair and Maintenance",,Public
Place,ITT,Salford City Council,S1232,Technical and Highway Works Framework - Lot Four,Lot 4 - Structures and Bridges,Various,Various,800000.00,3200000.00,Yes,2022-02-03,2026-02-02,48,0,0,N/A,N/A,2026-02-02,Various,390000,"Works Construction, Repair and Maintenance",,Public
Place,ITT,Salford City Council,S1232,Technical and Highway Works Framework - Lot One:,Lot 1 - Minor Civils,Various,Various,3000000.00,12000000.00,Yes,2022-02-03,2026-02-02,48,0,0,N/A,N/A,2026-02-02,Various,390000,"Works Construction, Repair and Maintenance",,Public
Place,ITT,Salford City Council,S1232,Technical and Highway Works Framework - Lot Six,Lot 6 - Landscaping,Various,Various,4000000.00,16000000.00,Yes,2022-02-03,2026-02-02,48,0,0,N/A,N/A,2026-02-02,Various,390000,"Works Construction, Repair and Maintenance",,Public
Place,ITT,Salford City Council,S1232,Technical and Highway Works Framework - Lot Three,Lot 3 - Drainage,Various,Various,350000.00,1400000.00,Yes,2022-02-03,2026-02-02,48,0,0,N/A,N/A,2026-02-02,Various,390000,"Works Construction, Repair and Maintenance",,Public
Place,ITT,Salford City Council,S1232,Technical and Highway Works Framework - Lot Two,Lot 2 - VRS,Various,Various,95000.00,380000.00,Yes,2022-02-03,2026-02-02,48,0,0,N/A,N/A,2026-02-02,Yes,390000,"Works Construction, Repair and Maintenance",,Public
Place,Direct Call-Off,Salford City Council,S1421,Technical Arboricultural Professional Services Support and Advice,Technical Arboricultural Professional Services Support and Advice,Ecus Limited via Bloom Procurement Services Ltd,S61 2DW,42052.50,42052.50,No,2022-02-01,2023-01-31,12,12,1,,,2023-01-31,No,150000,Consultancy,8045123,Public
People,Direct Call-Off,Salford City Council,S1073,Telephone Interpreting,Telephone Interpreting,Interpreting Translation Line Ltd,NE10 0JP,2072.00,7255.00,No,2021-06-01,2023-04-30,24,0,0,N/A,N/A,2023-04-30,Yes,260000,Human Resources,4844668,Public
People,ITT,Salford City Council,S1161,Term Time and Holiday Provision for Jewish Heritage Children with a Disability aged 12 - 18,Term Time and Holiday Provision for Jewish Heritage Children with a Disability aged 12 - 18,Special Spirits,M7 4DJ,15000.00,75000.00,No,2017-04-01,2023-03-31,60,12,1,,,2023-03-31,Yes,321100,Social Community Care Supplies & Services - Children,CHA1165823,Public
People,CSO Exception,Salford City Council,S1161,Term Time and Holiday Provision for Jewish Heritage Children with a Disability aged 5 to 11,"A range of out of school activities for disabled children from the Jewish Community, including those with complex autism",The Federation of Jewish Services,M25 9SB,15000.00,75000.00,No,2017-04-01,2023-03-31,60,12,1,,,2023-03-31,No,321100,Social Community Care Supplies & Services - Children,5858766,Public
Place,Mini-Comp,Salford City Council,S1181,"The Development of Digital Six Sheet Advertising Units (FSU) within the City of Salford, to be located on Council owned land","The Development of Digital Six Sheet Advertising Units (FSU) within the City of Salford, to be located on Council owned land",Clear Channel UK Limited,W1F 9JT,-,-,No,2019-09-01,2029-09-01,84,0,0,N/A,N/A,2029-09-01,No,350000,Street & Traffic Management,950526,Public
Place,CSO Exception,Salford City Council,S1034,The Servicing and Maintenance of Air Conditioning and Air Handling Units,The Servicing and Maintenance of Air Conditioning and Air Handling Units,ECG Facilities Services Ltd,G72 0ND,16433.94,16433.94,No,2021-04-01,2022-03-31,12,0,0,N/A,N/A,2022-03-31,Yes,101700,Heating and Air Conditioning,SC298533,Public
Place,ITT,Bolton Council,S1247,The Supply and Delivery of Cleaning and Janitoral Products,The Supply and Delivery of Cleaning and Janitoral Products,Arrow County Supplies Limited,SY3 9AE,116988.96,467955.84,Yes,2019-02-01,2022-01-31,36,12,1,1,Yes,2023-01-31,No,130000,Cleaning & Janitorial,6355141,Public
Place,Other,Salford City Council,S1173,Tools & Equipment,Tools & Equipment,P F Cusack (Tool Supplies) Ltd,N7 6NJ,50000.00,50000.00,No,2020-02-01,2022-01-31,12,0,0,N/A,N/A,2022-05-15,Yes,230000,Highway Equipment & Materials,2404505,Public
Place,RFQ,Salford Council,S1251,"Traffic Engineer, pendleton leisure centre","Traffic Engineer, pendleton leisure centre",Civil Engineers Ltd,L5 9YJ,13500.00,13500.00,No,,2021-11-30,,0,0,N/A,N/A,2021-11-30,Yes,,,,Public
Place,Direct Call-Off,AGMA/STAR,S1002,Trafford Road Improvement Scheme - Design Support,Under the AGMA Civil & Structural Engineering Professional Services Framework Agreement,AECOM,M1 4HD,82069.86,144320.00,No,2021-11-01,2022-10-31,18,4,1,1,,2022-10-31,No,150000,Consultancy,1846493,Public
Place,Direct Call-Off,Salford City Council,S1395,Trafford Road Improvement Scheme Design Support,Trafford Road Improvement Scheme Design Support,AECOM,M1 4HD,31280.00,46920.00,No,2022-02-12,2022-06-10,18,4,0,,N/A,2022-06-10,No,391400,Roads,OC306911,Public
Service Reform,Mini-Comp,Salford City Council,S1287,Trafford Road Site Supervision Consultant,Trafford Road Site Supervision Consultant,AECOM,M1 4HD,152455.96,339788.83,,2020-11-01,2022-12-31,26,12,1,,,2022-12-31,No,150000,Consultancy,1846493,Public
People,CSO Exception,Salford City Council,S1430,Transition Mentor,Transition Mentor,Salford City College,M6 6AP,23798.58,31731.44,No,2021-09-01,2022-12-31,16,0,0,N/A,N/A,2022-12-31,No,321100,"Social Community Care, Supplies and Services - Children",8115121,Public
Service Reform,Direct Call-Off,Oldham MBC,S1106,Treasury Management Advisory Services,Treasury Management Advisory Services,Link Asset Services,LS11 0PA,15000.00,45000.00,No,2019-04-01,2023-03-31,36,12,1,,,2023-03-31,No,200000,Financial Services,3376447,Public
Place,Mini-Comp,Salford City Council,S1269,Tree Survey Works,Tree Survey Works,Chrisitans Environmental Ltd,M50 1RE,10000.00,30000.00,No,2022-05-01,2022-08-31,6,0,0,N/A,N/A,2022-08-31,Yes,240000,Horticultural,7514654,Public
Place,RFQ,Salford City Council,,Trinity Way/Springfield Lane - Colt C4 Estimate for diversion works,Trinity Way/Springfield Lane - Colt C4 Estimate for diversion works,CA Telecom UK Ltd,CT5 3BJ,39241.67,39241.67,No,2022-01-04,2022-03-31,0.4,0,0,N/A,N/A,2022-03-31,Yes,,,,Public
Place,RFQ,Salford City Council,,Trinity Way/Springfield Lane - Openreach C4 detailed estimate for diversion works,Trinity Way/Springfield Lane - Openreach C4 detailed estimate for diversion works,Openreach,WC1H 9NP,8806.11,8806.11,No,2022-01-04,2022-03-31,2,0,0,N/A,N/A,2022-03-31,No,,,,Public
Place,Mini-Comp,Salford City Council,S1053,Trinity Way/Springfield Lane NEC4 PM,Trinity Way/Springfield Lane NEC4 PM,Wilde Consulting Engineers,SK1 3HS,23272.50,23272.50,No,2022-05-02,2022-12-09,8,0,0,N/A,N/A,2022-12-09,No,150000,Consultancy,2603960,Public
Service Reform,Mini-Comp,Salford City Council,S1268,Unified Communications Software and Support,Unified Communications Software and Support,XMA Limited,NG11 7EP,535037.22,535037.22,Yes,2020-06-01,2023-05-31,36,0,0,N/A,N/A,2023-05-31,No,270000,Information Communication Technology,2051703,Public
Place,RFQ,Salford City Council,,Unity House  - Roof Works,Unity House  - Roof Works,Schofield and Sons Ltd,M30 9PS,28000.00,28000.00,No,2022-01-31,2022-02-18,0.5,0,0,N/A,N/A,2022-02-18,Yes,,,,Public
Place,ITT,Salford City Council,S1051,Unmetered Street Lighting Supply,Unmetered Street Lighting Supply,SSE Energy Supply Ltd,RG1 3JH,980000.00,1960000.00,Yes,2019-04-01,2023-03-31,48,0,0,N/A,N/A,2023-03-31,Yes,350000,Street & Traffic Management,2228297,Public
Place,RFQ,Salford City Council,S1453,Utility SMART meters,Utility SMART meters,Energy Controls,CV37 1XN,6390.00,6390.00,No,2022-04-04,2022-06-30,3,0,0,N/A,N/A,2022-06-30,No,191300,Energy Efficeiency,3956818,Public
Place,Direct Call-Off,Salford City Council,S1211,Vehicle Hire,Vehicle Hire,Enterprise Rent-A-Car,M50 3UQ,30000.00,90000.00,No,2021-01-13,2023-01-12,24,12,1,,,2023-01-12,No,380000,Vehicle Management,2946689,Public
Place,RFQ,Salford City Council,S1362,Vehicle Repairs & Maintenance,Vehicle Repairs & Maintenance,Lightoaks Garage,M6 8AP,60000.00,145000.00,No,2019-02-18,2023-02-17,24,24,2,Yes,Yes,2023-02-17,No,380000,Vehicle Management,6162779,Public
Place,RFQ,Salford City Council,S1423,Vine Street Geotechnical Additional Investigation,Vine Street Geotechnical Additional Investigation,Socotec - Aecom,M1 4HD,8232.00,8232.00,No,2022-02-21,2022-02-23,0.1,0,0,N/A,N/A,2022-02-23,No,150000,Consultancy,2880501,Public
Service Reform,CSO Exception,Salford City Council,S1086,VMware Enterprise License Agreement,VMware Enterprise License Agreement,Softcat PLC,SL7 1LW,67000.00,67000.00,No,2022-03-30,2022-03-29,12,0,0,N/A,N/A,2022-03-29,No,271440,Software,2174990,Public
Place,RFQ,Salford City Council,,Walkden Park & Ride - Party Wall Act stage 2 & 3,Walkden Park & Ride - Party Wall Act stage 2 & 3,Capita,WC1V 6DW,8000.00,8000.00,No,2022-02-07,2022-05-31,3,0,0,N/A,N/A,2022-05-31,No,,,,Public
Place,Mini-Comp,Salford City Council,S1139,Washroom Services,Washroom Services,Personnel Hygiene Services Limited,CF83 1XH,41064.70,41064.70,No,2021-04-01,2023-03-31,24,12,,,N/A,2023-03-31,No,190000,Facilities & Management Services,770813,Public
Place,Direct Call-Off,ESPO,S1015,Water Coolers,Water Coolers,Angel Springs Ltd T/A Waterlogic UK,WV10 9LE,8000.00,16000.00,No,2019-05-01,2022-04-15,36,0,0,N/A,N/A,2022-04-15,Yes,110000,Catering,3787032,Public
Place,CSO Exception,Salford City Council,S1156,Water Quality and Ecology Management at Salford Quays,Water Quality and Ecology Management at Salford Quays,APEM,SK4 3GN,72000.00,144000.00,No,2021-04-01,2024-03-31,24,0,0,N/A,N/A,2024-03-31,Yes,180000,Environmental Services,2530851,Public
Place,Mini-Comp,Salford City Council,S1255,Water System Risk Assessments and Water Hygiene Monitoring Services,Water System Risk Assessments and Water Hygiene Monitoring Services,HSL Compliance,HR9 5BP,51969.90,155090.70,Yes,2020-04-01,2023-03-31,36,12,2,,,2023-03-31,Yes,190000,Facilities & Management Services,2425951,Public
Service Reform,ITT,Salford City Council,S1383,Welcome Back Fund Events Management,Welcome Back Fund Events Management,Sounds from the Other City,M3 5HW,54000.00,54000.00,No,2021-12-22,2022-03-31,3,0,0,N/A,N/A,2022-03-31,Yes,291000,Events,7589894,Public
Place,ITT,Salford City Council,S1054,Window Cleaning,The contract covers window cleaning for the operational estate.,Champion Cleaning Services,BL1 3BD,22899.50,91598.00,No,2021-10-01,2024-09-30,36,12,1,,N/A,2024-09-30,Yes,130000,Cleaning & Janitorial,9108276,Public
People,CSO Exception,Salford City Council,S1161,"Youth Club, Sports and Trips for Young People with a Disability aged 11-18","A range of out of school activities for disabled children, including those with complex autism",You Can Community Club,N8 0JB,50000.00,250000.00,No,2017-04-01,2023-03-31,36,24,1,Yes,,2023-03-31,No,321100,Social Community Care Supplies & Services - Children,10320017,Public
Place,ITT,Salford City Council,S1006,"YPO 1074: Office Desking, Seating & Storage","YPO 1074: Office Desking, Seating & Storage",H.Jenkinson & Company Ltd,L34 9JR,10000.00,10000.00,Yes,2021-06-22,2023-06-21,48,24,2,,,2023-06-21,Yes,210000,Furniture & Soft Furnishings,169844,Public
Place,Direct Call-Off,Salford City Council,S1050,Contract for the supply of natural gas,Contract for the supply of natural gas,Corona Energy,WD18 8YA,4070974.00,4070974.00,No,2022-07-01,2023-06-30,12,0,0,N/A,N/A,2023-06-30,No,371100,Gas,3241012,Public
Place,Mini-Comp,Salford City Council,S1144-44,"Hilton Lane Primary School, roof works and external repairs","Hilton Lane Primary School, roof works and external repairs",Schofield & Sons Ltd,M30 9PS,279326.00,279326.00,No,2022-07-25,2022-09-02,1.2,0,0,N/A,N/A,2022-09-02,Yes,390000,"Works Construction, Repair and Maintenance",25459259,Public
Place,Mini-Comp,Salford City Council,S1144-46,"St Pauls CE Primary, Nevile Road for the asbestos removal and roof works","St Pauls CE Primary, Nevile Road for the asbestos removal and roof works",Schofield & Sons Ltd,M30 9PS,165994.00,165994.00,No,2022-07-23,2022-09-02,1.2,0,0,N/A,N/A,2022-09-02,Yes,390000,"Works Construction, Repair and Maintenance",25459259,Public
Place,Mini-Comp,Salford City Council,S1144-45,"Wharton Primary School, roofing and cladding works","Wharton Primary School, roofing and cladding works",Schofield & Sons Ltd,M30 9PS,174177.00,174177.00,No,2022-07-25,2022-09-02,1.2,0,0,N/A,N/A,2022-09-02,Yes,390000,"Works Construction, Repair and Maintenance",25459259,Public
Place,ITT,Salford City Council,S1172,Road Lining Services,Road Lining Services,KJ Lines,ST5 2BE,200000.00,400000.00,Yes,2022-07-11,2024-07-10,24,12,0,,,2024-07-10,Yes,391400,Roads,3900183,Public
Place,CSO Exception,Salford City Council,,Wallness Bridge Painting Scheme,Wallness Bridge Painting Scheme,Coating Services Limited,SK14 1HF,242600.00,242600.00,No,2022-07-18,2022-09-16,1.2,0,0,N/A,N/A,2022-09-16,Yes,390000,"Works Construction, Repair and Maintenance",3852483,Public
Place,Mini-Comp,Salford City Council,S1407,Trinity Way / Springfield Lane junction improvement,Trinity Way / Springfield Lane junction improvement,Eric Wright Civil Engineering Ltd,PR5 6AW,710507.51,710507.51,Yes,2022-05-09,2022-08-26,4,0,0,N/A,N/A,2022-08-26,Yes,390000,"Works Construction, Repair and Maintenance",2565379,Public
Place,CSO Exception,Salford City Council,,Design and build of up to 7 battery storage systems,Design and build of up to 7 battery storage systems,PolySolar Ltd,CB3 9AD,924234.00,924234.00,Yes,2022-05-16,2022-07-29,2,0,0,N/A,N/A,2022-07-29,,191300,Energy Efficiency,6130240,Public
Place,Mini-Comp,Salford City Council,S1144-42,"St Andrews CE Primary  Roofing, Brickwork and Internal Repairs, Phase 2","St Andrews CE Primary  Roofing, Brickwork and Internal Repairs, Phase 2",Schofield & Sons Ltd,M30 9PS,158551.00,158551.00,No,2022-05-28,2022-09-02,3,0,0,N/A,N/A,2022-09-02,Yes,390000,"Works Construction, Repair and Maintenance",25459259,Public
Place,Mini-Comp,Salford City Council,S1144-43,"Lewis Street Primary School  Roof repairs and window replacements, phase 1","Lewis Street Primary School  Roof repairs and window replacements, phase 1",Wright Build Ltd,PR2 5SD,289426.00,289426.00,No,2022-05-28,2022-09-02,3.2,0,0,N/A,N/A,2022-09-02,Yes,390000,"Works Construction, Repair and Maintenance",1401191,Public
People,ITT,Salford City Council,,Age Well  Population Health,Age Well  Population Health,Inspiring Communities Together,ST2 0EF,1729984.82,1729984.82,Yes,2023-01-01,2027-12-31,48,0,0,N/A,N/A,2027-12-31,Yes,321000,Social Community Care Supplies & Services - Adult,,Public
People,ITT,Salford City Council,,Age Well  Early Intervention,Age Well  Early Intervention,Age UK Salford,M30 0LH,2834892.54,2834892.54,Yes,2022-10-01,2027-09-30,48,0,0,N/A,N/A,2027-09-30,Yes,321000,Social Community Care Supplies & Services - Adult,,Public
Place,Mini-Comp,Salford City Council,S1144-50,"Beech Street Primary School, roofing, brickwork and internal repairs","Beech Street Primary School, roofing, brickwork and internal repairs",Schofield & Sons Ltd,M30 9PS,161745.00,161745.00,No,2022-07-25,2022-09-02,1.2,0,0,N/A,N/A,2022-09-02,No,390000,"Works Construction, Repair and Maintenance",25459259,Public
Place,Mini-Comp,Salford City Council,S1144-41,"St Georges Resource Centre, roofing works","St Georges Resource Centre, roofing works",Schofield & Sons Ltd,M30 9PS,329992.00,329992.00,No,2022-06-06,2022-08-05,2.2,0,0,N/A,N/A,2022-08-05,No,390000,"Works Construction, Repair and Maintenance",25459259,Public
Place,CSO Exception,Salford City Council,,Housing Management Agreement,Housing Management Agreement,Salix Homes Ltd,M5 4DT,200000.00,200000.00,No,2022-09-01,2023-08-31,12,0,0,N/A,N/A,2023-08-31,No,250000,Housing Management,6005412,Public
Place,Mini-Comp,Salford City Council,S1144-50,"Replacement window, doors and new PVC cladding at Boothstown Methodist Primary School","Replacement window, doors and new PVC cladding at Boothstown Methodist Primary School",Wright Build,PR2 5SD,99634.00,99634.00,No,2022-07-25,2022-09-02,1.2,0,0,N/A,N/A,2022-09-02,Yes,390000,"Works Construction, Repair and Maintenance",1401191,Public
Place,RFQ,Salford City Council,S1480,Purchase of LUMA Gen 2 Medium LED Lanterns,Purchase of LUMA Gen 2 Medium LED Lanterns,Signify Commercial UK Ltd,GU2 8XG,8204.30,8204.30,No,2022-06-01,2022-06-30,1,0,0,N/A,N/A,2022-06-30,,390000,"Works Construction, Repair and Maintenance",,Public
People,RFQ,Salford City Council,S1481,Client Caseload Information System,Client Caseload Information System,Career Connect,L2 3YL,7645.64,7645.64,No,2022-04-01,2023-03-31,12,0,0,N/A,N/A,2023-03-31,No,321100,Social Community Care Supplies and Services - Children,4233289,Public
People,RFQ,Salford City Council,S1482,Build Salford Traineeship  Traineeship Development Fund,Build Salford Traineeship  Traineeship Development Fund,Salford City College,M6 7FR,6800.00,6800.00,No,2022-05-23,2022-07-22,0.2,0,0,N/A,N/A,2022-07-22,No,321100,Social Community Care Supplies and Services - Children,,Public
Service Reform,CSO Exception,Salford City Council,S1484,Cost Recovery Audit,Cost Recovery Audit,Meridian Cost Benefit Ltd,AL4 0PG,-,-,No,2022-06-06,2022-12-02,6,6,1,,,2022-12-02,No,201100,Audit,4775740,Public
People,CSO Exception,Salford City Council,S1485,Painting of the School Kitchens,Painting of the School Kitchens,Seddon Construction Limited,BL4 0NN,37900.00,37900.00,No,2022-07-25,2022-09-02,3,0,0,N/A,N/A,2022-09-02,Yes,390000,"Works Construction, Repair and Maintenance",3045309,Public
People,Direct Call-Off,Salford City Council,S1144-52,"W/C electrical alterations, (lighting) at Summerville Primary School","W/C electrical alterations, (lighting) at Summerville Primary School",Schofield & Sons Ltd,M30 9PS,27160.85,27160.85,No,2022-07-25,2022-09-02,1.2,0,0,N/A,N/A,2022-09-02,Yes,390000,"Works Construction, Repair and Maintenance",25459259,Public
Service Reform,Mini-Comp,Salford City Council,S1486,Licences to support the ongoing productions of robotic software,Licences to support the ongoing productions of robotic software,Uipath UK Ltd,SE1 7ND,6720.00,6720.00,No,2022-04-08,2022-04-07,12,0,0,N/A,N/A,2022-04-07,Yes,271440,Software,RO 34737997,Public
People,Mini-Comp,Salford City Council,S1459,Replacement of main boiler plant,St Pauls Peel CE Primary School Little Hulton  Main Boiler Plant Renewal,Seddon Construction Limited,BL4 0NN,79981.56,79981.56,No,2022-07-22,2022-09-09,1.2,0,0,N/A,N/A,2022-09-09,Yes,390000,"Works Construction, Repair and Maintenance",3578140,Public
People,Mini-Comp,Salford City Council,S1457,Replacement of main boiler plant,Springwood CP School Irlam  Main Boiler Plant Renewal Project,Seddon Construction Limited,BL4 0NN,75999.30,75999.30,No,2022-07-22,2022-09-02,1.1,0,0,N/A,N/A,2022-09-02,Yes,390000,"Works Construction, Repair and Maintenance",3578140,Public
