Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date,Directorate,Service Expenditure Analysis
10027904,TISSKI LTD,542100,IT CONSULTANCY,5109091511,817.8,2017-07-05,Corporate Management,Corporate and democratic core,Corporate and democratic core
10027904,TISSKI LTD,542100,IT CONSULTANCY,5109096432,817.8,2017-07-12,Corporate Management,Corporate and democratic core,Corporate and democratic core
10009148,TMP (UK) LTD,504000,RECRUITMENT ADVERTISING,5109096445,490.8,2017-07-12,Resources,Support Costs,Z_SUPPORT COSTS
10009148,TMP (UK) LTD,504000,RECRUITMENT ADVERTISING,5109096429,560.33,2017-07-12,Resources,Support Costs,Z_SUPPORT COSTS
10009148,TMP (UK) LTD,504000,RECRUITMENT ADVERTISING,5109096431,618.61,2017-07-12,Resources,Support Costs,Z_SUPPORT COSTS
10009148,TMP (UK) LTD,504000,RECRUITMENT ADVERTISING,5109091979,879.35,2017-07-05,Resources,Support Costs,Z_SUPPORT COSTS
10009148,TMP (UK) LTD,504000,RECRUITMENT ADVERTISING,5109096442,879.35,2017-07-12,Resources,Support Costs,Z_SUPPORT COSTS
10009148,TMP (UK) LTD,504000,RECRUITMENT ADVERTISING,5109100215,897.76,2017-07-19,Resources,Support Costs,Z_SUPPORT COSTS
10009148,TMP (UK) LTD,504000,RECRUITMENT ADVERTISING,5109083281,945.81,2017-06-27,Resources,Support Costs,Z_SUPPORT COSTS
10009148,TMP (UK) LTD,504000,RECRUITMENT ADVERTISING,5109091975,1017.39,2017-07-05,Resources,Support Costs,Z_SUPPORT COSTS
10009148,TMP (UK) LTD,504000,RECRUITMENT ADVERTISING,5109091978,1078.74,2017-07-05,Resources,Support Costs,Z_SUPPORT COSTS
10009148,TMP (UK) LTD,504000,RECRUITMENT ADVERTISING,5109096443,1276.08,2017-07-12,Resources,Support Costs,Z_SUPPORT COSTS
10009148,TMP (UK) LTD,504000,RECRUITMENT ADVERTISING,5109083234,1777.10,2017-06-27,Resources,Support Costs,Z_SUPPORT COSTS
10009148,TMP (UK) LTD,504000,RECRUITMENT ADVERTISING,5109096430,4353.81,2017-07-12,Resources,Support Costs,Z_SUPPORT COSTS
10009148,TMP (UK) LTD,504000,RECRUITMENT ADVERTISING,5109081894,55335.66,2017-06-26,Resources,Support Costs,Z_SUPPORT COSTS
10027736,TOGETHER,540015,PRODUCTION ARTWORK AND DESIGN FOR MARKETING,5109100788,4925.00,2017-07-07,Communities and Intelligence,Public Health,Public Health
10008837,TRANSPORT AND TRAVEL RESEARCH LTD,540015,PRODUCTION ARTWORK AND DESIGN FOR MARKETING,5109031121,8690.00,2017-07-18,"Development, Enterprise & Environment",Environmental Initiatives,Planning services
10016524,TRANSPORT FOR LONDON,502010,SECONDED STAFF,5109100238,13817.00,2017-07-19,Housing,Housing services,Housing services
10010799,TREES FOR CITIES,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109100601,5000.00,2017-06-30,"Development, Enterprise & Environment",Environmental Initiatives,Planning services
10027913,TREVOR BRAGG,540015,PRODUCTION ARTWORK AND DESIGN FOR MARKETING,5109112615,1000.00,2017-07-17,Communities and Intelligence,Childrens and education services,Childrens and education services
10001984,TURNER & TOWNSEND PROJECT MAGAG,542000,MANAGEMENT & SUPPORT CONSULTANCY,5109095110,71341.92,2017-06-28,"Development, Enterprise & Environment",Environmental Initiatives,ENVIRONMENTAL INITIATIVES
10001984,TURNER & TOWNSEND PROJECT MAGAG,542000,MANAGEMENT & SUPPORT CONSULTANCY,5109095112,72681.88,2017-06-28,"Development, Enterprise & Environment",Environmental Initiatives,ENVIRONMENTAL INITIATIVES
10020189,URBAN BEINGS LIMITED,540015,PRODUCTION ARTWORK AND DESIGN FOR MARKETING,5109103112,1665.00,2017-07-07,"Development, Enterprise & Environment",Development Control,Planning services
12002122,VAN WONDEREN FLOWERS,540019,EXTERNAL EVENTS ROADS SHOWS AND FACE TO FACE,5109111046,1500.00,2017-07-12,External Affairs,Cultural & related services,Cultural & related services
13000367,VEOLIA ES (UK) PLC,510010,PROPERTY MANAGEMENT FEES,5109088924,32386.85,2017-06-28,Resources,Cultural & related services,Cultural & related services
10027601,VIEW CREATIVE LTD,540015,PRODUCTION ARTWORK AND DESIGN FOR MARKETING,5109082430,990,2017-06-27,Communities and Intelligence,Cultural & related services,Cultural & related services
18000051,VIRIDIAN HOUSING,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040405,48000.00,2017-07-04,Housing,Capital,Y_CAPITAL
18000051,VIRIDIAN HOUSING,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040403,157500.00,2017-07-04,Housing,Capital,Y_CAPITAL
18000051,VIRIDIAN HOUSING,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040414,252000.00,2017-07-05,Housing,Capital,Y_CAPITAL
18000051,VIRIDIAN HOUSING,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040404,586604.00,2017-07-04,Housing,Capital,Y_CAPITAL
18000261,WALTERTON & ELGIN COMMUNITY,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040395,1290000.00,2017-07-07,Housing,Capital,Y_CAPITAL
10016397,WALTHAM FOREST COLLEGE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109110343,1316619.65,2017-07-12,"Development, Enterprise & Environment",Capital,Y_CAPITAL
15050001,WIT CREATIVE,542001,CONSULTANCY  EVALUATION ASSESSMENT,1900040396,1050.00,2017-07-05,Housing,Housing services,Housing services
10004044,WORDWAVE INTERNATIONAL LTD T/A DTI,542322,TRANSCRIPTION,5109042105,331,2017-07-07,"Development, Enterprise & Environment",Development Control,Planning services
10004044,WORDWAVE INTERNATIONAL LTD T/A DTI,542322,TRANSCRIPTION,5109112621,3051.00,2017-07-17,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
10002117,YOUGOV LTD,542050,RESEARCH & STUDY FEES,5109111840,56250.00,2017-07-13,Communities and Intelligence,Corporate and democratic core,Corporate and democratic core
10013441,LAMBERT SMITH HAMPTON,542071,PROPERTY CONSULTANCY  ECONOMIC APPRAISALS,5109092020,11000.00,2017-07-05,Housing & Land,Housing & Land Services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109095751,407.12,2017-07-12,Housing & Land,Housing & Land Services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109101824,407.12,2017-07-19,Housing & Land,Housing & Land Services
13000063,EDF ENERGY,510100,ELECTRICITY,1900001953,416.87,2017-07-20,Housing & Land,Housing & Land Services
10003560,EVERSHEDS SUTHERLAND (INT) LLP,542300,LEGAL FEES,5109107541,421.6,2017-07-18,Housing & Land,Housing & Land Services
11000019,BRITISH GAS BUSINESS,510100,ELECTRICITY,1900001945,484.56,2017-07-03,Housing & Land,Housing & Land Services
10003560,EVERSHEDS SUTHERLAND (INT) LLP,542300,LEGAL FEES,5109097617,633,2017-07-12,Housing & Land,Housing & Land Services
13002562,C-ELECT ASSOCIATES LTD,510000,BUILDING MAINTENANCE & REPAIRS,5109101878,750,2017-07-05,Housing & Land,Housing & Land Services
15050016,HARDWICKE BUILDING CHAMBERS ACCOUNT,542300,LEGAL FEES,1900001961,750,2017-07-21,Housing & Land,Housing & Land Services
14000000,HAYS SPECIALIST RECRUITMENT LTD,502000,AGENCY STAFF,5109086860,814.24,2017-06-28,Housing & Land,Housing & Land Services
14000000,HAYS SPECIALIST RECRUITMENT LTD,542355,OTHER PROFESSIONAL FEES,5109090239,814.24,2017-07-05,Housing & Land,Housing & Land Services
10021584,AIR MONITORS LTD,542355,OTHER PROFESSIONAL FEES,5109103103,1000.00,2017-07-07,Housing & Land,Housing & Land Services
10000772,DENTONS UKMEA LLP,587015,DISPOSAL FEES - LEGAL,5109097616,1250.00,2017-07-06,Housing & Land,Housing & Land Services
10001983,TEMPLE GROUP LTD,542002,CONSULTANCY-PROJECT MANAGEMENT,5109103109,1273.88,2017-07-04,Housing & Land,Housing & Land Services
10021973,CURRIE & BROWN UK LIMITED,542355,OTHER PROFESSIONAL FEES,5109095095,1425.00,2017-07-12,Housing & Land,Housing & Land Services
10003560,EVERSHEDS SUTHERLAND (INT) LLP,542300,LEGAL FEES,5109101974,1512.80,2017-07-12,Housing & Land,Housing & Land Services
10003560,EVERSHEDS SUTHERLAND (INT) LLP,542300,LEGAL FEES,5109102563,1612.20,2017-07-04,Housing & Land,Housing & Land Services
10002789,GVA GRIMLEY LTD,542355,OTHER PROFESSIONAL FEES,5109097026,1700.00,2017-07-10,Housing & Land,Housing & Land Services
10027586,CASTLE WATER LIMITED,510300,WATER,1900001944,1817.45,2017-06-28,Housing & Land,Housing & Land Services
10004830,DTZ DEBENHAM TIE LEUNG LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5109086505,2393.75,2017-06-28,Housing & Land,Housing & Land Services
10001984,TURNER & TOWNSEND PROJECT MAGAG,542002,CONSULTANCY-PROJECT MANAGEMENT,5109086546,2440.92,2017-06-27,Housing & Land,Housing & Land Services
10021758,THE ENVIRONMENT P/SHIP (TEP) LTD,542355,OTHER PROFESSIONAL FEES,5109110791,2536.35,2017-07-14,Housing & Land,Housing & Land Services
10004230,GL HEARN LTD,510012,VALUATION FEES,5109099888,3000.00,2017-07-17,Housing & Land,Housing & Land Services
15050016,PROPERTY MEDIATION LIMITED,542300,LEGAL FEES,1900001952,3000.00,2017-07-19,Housing & Land,Housing & Land Services
10004230,GL HEARN LTD,542002,CONSULTANCY-PROJECT MANAGEMENT,5109107404,3500.00,2017-07-13,Housing & Land,Housing & Land Services
10016707,BURGES SALMON LLP,542300,LEGAL FEES,5109097620,3582.50,2017-06-26,Housing & Land,Housing & Land Services
10021584,AIR MONITORS LTD,510010,PROPERTY MANAGEMENT FEES,5109102536,3995.00,2017-07-04,Housing & Land,Housing & Land Services
13002540,VITAL ENERGI UTILITES LTD,542355,OTHER PROFESSIONAL FEES,5109110318,8500.99,2017-07-11,Housing & Land,Housing & Land Services
10003560,EVERSHEDS SUTHERLAND (INT) LLP,542300,LEGAL FEES,5109101973,8853.60,2017-07-12,Housing & Land,Housing & Land Services
10004230,GL HEARN LTD,542001,CONSULTANCY  EVALUATION ASSESSMENT,5109105322,10625.00,2017-07-11,Housing & Land,Housing & Land Services
10000772,DENTONS UKMEA LLP,542300,LEGAL FEES,5109107564,10647.00,2017-07-17,Housing & Land,Housing & Land Services
10014115,DELOITTE LLP,542002,CONSULTANCY-PROJECT MANAGEMENT,5109090220,12187.50,2017-06-28,Housing & Land,Housing & Land Services
10021880,RODMA,540029,STORAGE AND DISTRIBUTION OF PUBLICITY MATERIALS,5109096315,12500.00,2017-07-10,Housing & Land,Housing & Land Services
13002319,MCGRATH BROS (WASTE CONTROL) LTD,542355,OTHER PROFESSIONAL FEES,5109108960,16333.78,2017-07-11,Housing & Land,Housing & Land Services
13002319,MCGRATH BROS (WASTE CONTROL) LTD,542355,OTHER PROFESSIONAL FEES,5109116420,17688.40,2017-07-20,Housing & Land,Housing & Land Services
10002789,GVA GRIMLEY LTD,510010,PROPERTY MANAGEMENT FEES,5109097030,19186.67,2017-07-05,Housing & Land,Housing & Land Services
13002319,MCGRATH BROS (WASTE CONTROL) LTD,542355,OTHER PROFESSIONAL FEES,5109111791,35838.18,2017-07-13,Housing & Land,Housing & Land Services
10016707,BURGES SALMON LLP,542300,LEGAL FEES,5109090951,36852.25,2017-06-28,Housing & Land,Housing & Land Services
10013441,LAMBERT SMITH HAMPTON,542071,PROPERTY CONSULTANCY  ECONOMIC APPRAISALS,5109092020,40000.00,2017-07-05,Housing & Land,Housing & Land Services
10016904,GREENWICH LEISURE LTD,542355,OTHER PROFESSIONAL FEES,5109087456,40000.00,2017-07-04,Housing & Land,Housing & Land Services
13002540,VITAL ENERGI UTILITES LTD,542355,OTHER PROFESSIONAL FEES,5109105366,74588.00,2017-07-05,Housing & Land,Housing & Land Services
10021880,RODMA,542355,OTHER PROFESSIONAL FEES,5109107419,104263.17,2017-07-10,Housing & Land,Housing & Land Services
10022339,TFL GROUP PROPERTY,542355,OTHER PROFESSIONAL FEES,5109106753,344729.00,2017-07-07,Housing & Land,Housing & Land Services
Corp Card,NATWEST CORPORATE CREDIT CARD,537000,Hotel Accommodation,100062830,298.45,2017-07-12,Resources,Support Costs
Corp Card,NATWEST CORPORATE CREDIT CARD,562000,Plant & Equipment Purchases,100062829,300,2017-07-12,Resources,Cultural & related services
Corp Card,NATWEST CORPORATE CREDIT CARD,533101,Data Purchase,100062826,331.96,2017-07-12,Resources,Support Costs
Corp Card,NATWEST CORPORATE CREDIT CARD,537100,External Meeting Room Hire & Expenses,100062829,763.17,2017-07-12,Hsg Programmes staff,Housing services
10026307,London 2017 Limited,544075,Grants to External Organisations,CHAPS227,500000.00,2017-06-30,Communities and Intelligence,Planning services
99999999,London Championships Ltd,542500,Miscellaneous Costs,CHAPS228,1286000.00,2017-06-30,Communities and Intelligence,Cultural & related services
10017217,Museum of London,544075,Grants to External Organisations,CHAPS244,316000.00,2017-07-10,Communities and Intelligence,Cultural & related services
10011455,London Travel Watch,542500,Miscellaneous Costs,CHAPS245,43000.00,2017-07-10,Assembly & Secretariat,Highways and transport services
99999999,London Championships Ltd,542500,Miscellaneous Costs,CHAPS250,2709000.00,2017-07-12,Communities and Intelligence,Cultural & related services
10020937,London & Partners Limited,544075,Grants to External Organisations,CHAPS258,2544000.00,2017-07-17,"Development, Enterprise & Environment",Planning services
