Authority Name,Date of Payment,SAP Document Number,Amount,,,Supplier Name,Directorate,G/L description.
Salford City Council,2018-11-22,1600617139,2982.26,497.04,2485.22,Schofield & Sons,Place Directorate,Gen Contractor Work
Salford City Council,2018-11-22,1600618001,34839.46,5806.58,29032.88,Schofield & Sons Ltd,Capital Expenditure,Works & Building
Salford City Council,2018-11-22,1600618000,2450,0,2450,St Johns Ce Primary School,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2018-11-22,601230545,1025.64,0,1025.64,Steven Broadbent,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-22,601230543,1168.56,0,1168.56,Steven Broadbent,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-22,601230544,1172.66,0,1172.66,Steven Broadbent,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-22,601230546,1242,0,1242,Steven Broadbent,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-22,601230542,1704.42,0,1704.42,Steven Broadbent,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-22,deyspzxhb,76872.85,12812.14,64060.71,Network Ventures Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-11-22,hkvnimjqn,893.49,0,893.49,Birtwistle Butcher,Place Directorate,Food and refreshments
Salford City Council,2018-11-22,miyzlvrsj,586.83,,586.83,Brake Bros Ltd,Place Directorate,Food and refreshments
Salford City Council,2018-11-22,nhmzkngmi,562.16,14.11,548.05,Brake Bros Ltd,Place Directorate,Food and refreshments
Salford City Council,2018-11-22,elkebfioy,880.67,0,880.67,Creamline Dairies Traffor,Place Directorate,Food and refreshments
Salford City Council,2018-11-22,psunktuvr,1645.38,0,1645.38,Quayside Bakery,Place Directorate,Food and refreshments
Salford City Council,2018-11-22,ericgzcwd,952.8,0,952.8,Lion Fpg,Service Reform (Corp Bus & Transform),Printing & Photocopying
Salford City Council,2018-11-22,fwciohtdh,548.95,0,548.95,Park Plaza Riverbank Ecom,People (Adults) - CHSC,Travel
Salford City Council,2018-11-23,1600616662,629.4,104.9,524.5,Ags Tech Ltd,Place Directorate,UV Dec&Flr
Salford City Council,2018-11-23,1600617703,570,95,475,Armor Cleaning Ltd,Capital Expenditure,Other Works
Salford City Council,2018-11-23,1600616665,598.8,99.8,499,Bilway Marine Ltd,Place Directorate,nonuv Build Rp&Maint
Salford City Council,2018-11-23,1600616666,598.8,99.8,499,Bilway Marine Ltd,Place Directorate,nonuv Build Rp&Maint
Salford City Council,2018-11-23,1600616667,598.8,99.8,499,Bilway Marine Ltd,Place Directorate,nonuv Build Rp&Maint
Salford City Council,2018-11-23,1600616668,598.8,99.8,499,Bilway Marine Ltd,Place Directorate,nonuv Build Rp&Maint
Salford City Council,2018-11-23,1600616575,514.8,85.8,429,Blake Envelopes,Service Reform (Corp Bus & Transform),Postage
Salford City Council,2018-11-23,601230437,1116,186,930,Bridge Education & Training Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-11-23,601231618,10582.34,0,10582.34,Bristow & Sutor,Service Reform (Corp Bus & Transform),VAT Adjustment
Salford City Council,2018-11-23,1600617372,1022.88,170.48,852.4,C P Davidson & Sons Ltd,Capital Expenditure,Vehicle Maintenance
Salford City Council,2018-11-23,1600617540,1149.95,191.66,958.29,C P Davidson & Sons Ltd,Capital Expenditure,Vehicle Maintenance
Salford City Council,2018-11-23,1600617541,1257.79,209.63,1048.16,C P Davidson & Sons Ltd,Capital Expenditure,Vehicle Maintenance
Salford City Council,2018-11-23,1600617985,13069.2,2178.2,10891,Carlton Fuels,Place Directorate,Vehcle Ancillar Cost
Salford City Council,2018-11-23,1600617433,6250,0,6250,Chatsworth High School & Community,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-23,1600616565,910,0,910,Concordia Education & Training Llp,People (Childrens) Service Group,Training of Others
Salford City Council,2018-11-23,1600617786,14267.14,2377.86,11889.28,Cromwell Polythene Limited,Place Directorate,Vehicle Maintenance
Salford City Council,2018-11-23,1600616595,1466.4,244.4,1222,Door Repair Service  Ltd,Place Directorate,UV Dec&Flr
Salford City Council,2018-11-23,1600616663,577.5,96.25,481.25,Ecg Facilities Services Ltd,Place Directorate,UV Air Con
Salford City Council,2018-11-23,601230996,5055.05,842.51,4212.54,Eversheds Sutherland (Inter) Llp,Place Directorate,Other Prof Fees
Salford City Council,2018-11-23,601230995,9115.8,1519.3,7596.5,Eversheds Sutherland (Inter) Llp,Place Directorate,Other Prof Fees
Salford City Council,2018-11-23,601231663,80000,0,80000,Forbes Solicitors,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2018-11-23,1600616600,4694.4,782.4,3912,Helping Hand Company,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-23,1600617005,12600,2100,10500,Idox Software Ltd,Service Reform (Corp Bus & Transform),Computer Software
Salford City Council,2018-11-23,1600617657,812.38,135.4,676.98,J Fletcher Engineers Ltd,Place Directorate,UV Oil/Gas
Salford City Council,2018-11-23,1600617654,954.8,159.13,795.67,J Fletcher Engineers Ltd,Place Directorate,UV Oil/Gas
Salford City Council,2018-11-23,1600615935,8356,0,8356,Longford Park School,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-23,1600617435,974.4,162.4,812,M Assessment Services Ltd,Place Directorate,Client Subsistence
Salford City Council,2018-11-23,601231624,584.92,97.49,487.43,Mast Lift Project Co (No2) Ltd,Service Reform (Corp Bus & Transform),Gas
Salford City Council,2018-11-23,1600616578,3651.5,608.58,3042.92,Nationwide Capital Finance Ltd,Service Reform (Corp Bus & Transform),Equipment Purchase
Salford City Council,2018-11-23,601231650,1001.7,166.95,834.75,Next Level Learning Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-23,1600616614,542.4,90.4,452,Premier Paper Group Ltd,Service Reform (Corp Bus & Transform),Stationery
Salford City Council,2018-11-23,601231378,3400,0,3400,Quickbricksonline,People (Adults) - CHSC,Rents
Salford City Council,2018-11-23,601231379,7540,0,7540,Quickbricksonline,People (Adults) - CHSC,Rents
Salford City Council,2018-11-23,1600617493,1321.22,220.2,1101.02,Scarab Sweepers Ltd,Place Directorate,Vehicle Maintenance
Salford City Council,2018-11-23,601231383,702,117,585,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-11-23,601231394,714,119,595,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-11-23,601231382,724.8,120.8,604,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-11-23,601231478,750,125,625,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-11-23,601231477,1432.56,238.76,1193.8,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-11-23,1600617956,2472,412,2060,Teleshore Ltd,Place Directorate,Equipment Purchase
Salford City Council,2018-11-23,601231623,23426.28,0,23426.28,Transport For Greater Manchester,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-23,1600616564,35640,5940,29700,Transport For Greater Manchester,Capital Expenditure,Other Works
Salford City Council,2018-11-23,1600616797,6925.49,1154.25,5771.24,Vip Systems Ltd,Place Directorate,Equipment Purchase
Salford City Council,2018-11-23,601231689,1248,208,1040,W T Gunson,Place Directorate,Rents
Salford City Council,2018-11-23,1600617293,258097.64,43016.27,215081.37,Wates Construction Ltd,Capital Expenditure,Works & Building
Salford City Council,2018-11-23,601230578,900,0,900,Wp Taxis,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-23,1600617379,1296,216,1080,Yeshili Reflective Materials Ltd,Place Directorate,Vehicle Maintenance
Salford City Council,2018-11-23,fzbukacvd,666.38,8.17,658.21,Brake Bros Ltd,Place Directorate,Food and refreshments
Salford City Council,2018-11-23,ydcognsvm,634.93,6.71,628.22,Brake Bros Ltd,Place Directorate,Food and refreshments
Salford City Council,2018-11-23,tocytjirr,840.01,49.51,790.5,Brake Bros Ltd,Place Directorate,Food and refreshments
Salford City Council,2018-11-26,1600617048,1402.99,233.83,1169.16,Allred Electrical Factors Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2018-11-26,1600617164,17482.98,2913.83,14569.15,Bolton Council,People (Childrens) Service Group,Other Prof Fees
Salford City Council,2018-11-26,601230626,1127.56,187.92,939.64,Click Fire & Security Ltd - 24 Acco,People (Childrens) Service Group,nonuv Build Rp&Maint
Salford City Council,2018-11-26,601230562,4211.6,0,4211.6,Express Travels (Bolton) Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-26,601231754,1754.4,0,1754.4,Fledglings (Irlam) Limited,People (Childrens) Service Group,Release of Provision
Salford City Council,2018-11-26,601231194,16000,0,16000,Greater Manchester Learning Trust,People (Childrens) Service Group,Consultants
Salford City Council,2018-11-26,601231430,2533.18,0,2533.18,Harrop Fold School,People (Childrens) Service Group,Other Prof Fees
Salford City Council,2018-11-26,601231757,1630.95,0,1630.95,Kidz Corner Childcare Ltd,People (Childrens) Service Group,Release of Provision
Salford City Council,2018-11-26,1600616895,11520,1920,9600,Marketing Manchester,Capital Expenditure,Ext Fees-Other
Salford City Council,2018-11-26,601231695,978.04,163.01,815.03,Mast Lift Project Co (No2) Ltd,Service Reform (Corp Bus & Transform),Electricity
Salford City Council,2018-11-26,601231710,1248.38,208.06,1040.32,Mast Lift Project Co (No2) Ltd,Service Reform (Corp Bus & Transform),Electricity
Salford City Council,2018-11-26,601231694,1317.64,219.61,1098.03,Mast Lift Project Co (No2) Ltd,Service Reform (Corp Bus & Transform),Electricity
Salford City Council,2018-11-26,601231693,1441.96,240.33,1201.63,Mast Lift Project Co (No2) Ltd,Service Reform (Corp Bus & Transform),Electricity
Salford City Council,2018-11-26,601231297,3775,0,3775,Nhs Salford Ccg,Public Health,Sals & Wags Realloc
Salford City Council,2018-11-26,601231751,1265,0,1265,Paypoint Plc,People (Adults) - CHSC,Gas
Salford City Council,2018-11-26,1600616643,510,85,425,Pressboost Ltd,Place Directorate,UV Heat Rep
Salford City Council,2018-11-26,1600616719,594,99,495,Richard L Thomas Associates Ltd,Capital Expenditure,Works & Building
Salford City Council,2018-11-26,1600616718,678,113,565,Richard L Thomas Associates Ltd,Capital Expenditure,Works & Building
Salford City Council,2018-11-26,1600616714,2340,390,1950,Richard L Thomas Associates Ltd,Capital Expenditure,Works & Building
Salford City Council,2018-11-26,601231640,1448.94,241.49,1207.45,Royal Mail Group Ltd,Service Reform (Corp Bus & Transform),Postage
Salford City Council,2018-11-26,1600617400,15007.42,2501.24,12506.18,Salford Schools Solutions Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2018-11-26,1600617658,530.88,88.48,442.4,Schofield & Sons,Place Directorate,UV Day to Day
Salford City Council,2018-11-26,1600617671,819.5,136.58,682.92,Schofield & Sons,Place Directorate,UV Day to Day
Salford City Council,2018-11-26,601231755,530.55,0,530.55,T/A Holyrood Day Nursery (Swinton),People (Childrens) Service Group,Release of Provision
Salford City Council,2018-11-26,1600616971,5000,0,5000,The Jewel Foundation,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-26,1600618112,27400,4566.67,22833.33,The Lowry Centre Trust,Capital Expenditure,Miscellaneous Exes
Salford City Council,2018-11-26,601231758,1211.58,0,1211.58,Wasp Pre-School,People (Childrens) Service Group,Release of Provision
Salford City Council,2018-11-26,601230423,756,126,630,Welcare Secure Escorts Ltd,People (Childrens) Service Group,Staffd Security Serv
Salford City Council,2018-11-26,1600616690,696.9,116.15,580.75,Whistl Uk Ltd,Service Reform (Corp Bus & Transform),Postage
Salford City Council,2018-11-26,1600616688,3459.53,576.59,2882.94,Whistl Uk Ltd,Service Reform (Corp Bus & Transform),Postage
Salford City Council,2018-11-26,601231775,24028.66,0,24028.66,Witherslack Group,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-26,601231696,62075,0,62075,Witherslack Group,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-26,1600616592,601.56,100.26,501.3,Yorkshire Purchasing,People (Childrens) Service Group,Class Supplies Capit
Salford City Council,2018-11-26,bdovzzbpn,540.87,15.94,524.93,Brake Bros Ltd,Place Directorate,Food and refreshments
Salford City Council,2018-11-27,1600618143,34833.02,5805.5,29027.52,A E Yates Ltd,Capital Expenditure,Ext Fees-Other
Salford City Council,2018-11-27,601230997,1719.76,286.63,1433.13,Aa Projects,Capital Expenditure,Ext Fees-Other
Salford City Council,2018-11-27,1600617355,826.8,137.8,689,Ashbrook (Warrington) Ltd,Place Directorate,Annual Vehicle Hire
Salford City Council,2018-11-27,601231792,5530.37,0,5530.37,Bourne Leisure Limited,People (Childrens) Service Group,Leisure Activity
Salford City Council,2018-11-27,1600617801,12672,2112,10560,Broxap Ltd,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2018-11-27,601231811,1441.78,0,1441.78,C Owens Builders/Contractors,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-27,601231831,7000,0,7000,C Owens Builders/Contractors,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-27,601231813,7379.57,0,7379.57,C Owens Builders/Contractors,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-27,601231815,9078.37,0,9078.37,C Owens Builders/Contractors,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-27,601231830,17928.68,0,17928.68,C Owens Builders/Contractors,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-27,601231429,1586.87,0,1586.87,Carrington Riding Centre,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-27,601230999,1931.25,0,1931.25,Child Action Northwest,People (Childrens) Service Group,Other Prof Fees
Salford City Council,2018-11-27,601231646,780,130,650,Click Fire & Security Ltd - 24 Acco,People (Childrens) Service Group,nonuv Build Rp&Maint
Salford City Council,2018-11-27,601230625,1789.16,298.19,1490.97,Click Fire & Security Ltd - 24 Acco,People (Childrens) Service Group,nonuv Build Rp&Maint
Salford City Council,2018-11-27,1600617512,2167.2,361.2,1806,Concept Oils Ltd,Place Directorate,Vehicle Maintenance
Salford City Council,2018-11-27,601231819,4179.44,0,4179.44,Dlp Services Northern Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-27,601231832,6056.35,0,6056.35,Dlp Services Northern Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-27,601231828,6422.43,0,6422.43,Dlp Services Northern Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-27,601231823,6791.85,0,6791.85,Dlp Services Northern Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-27,1600617680,5326.99,887.83,4439.16,Electoral Reform Services,Service Reform (Corp Bus & Transform),Print & Photocopying
Salford City Council,2018-11-27,601230577,1440,0,1440,First Quays Taxis,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-27,1600617140,4385.54,730.92,3654.62,G Jones Builders Ltd,Capital Expenditure,Works & Building
Salford City Council,2018-11-27,1600617508,740.58,123.43,617.15,Gb Sport & Leisure,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2018-11-27,1600616704,1068,178,890,Granart Memorials,Place Directorate,Gen Resaleable Items
Salford City Council,2018-11-27,1600616702,1322.4,220.4,1102,Granart Memorials,Place Directorate,Gen Resaleable Items
Salford City Council,2018-11-27,601231119,3600,600,3000,Hattrell Ds One Architects Llp,Capital Expenditure,Ext Fees-Architects
Salford City Council,2018-11-27,1600618132,30000,5000,25000,Helping Hands Minor Repairs Service,Capital Expenditure,Other Works
Salford City Council,2018-11-27,1600617859,2550,0,2550,Hexagon Care Services Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-27,601231817,2374.1,0,2374.1,Kdb Services Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-27,601231825,4745.79,0,4745.79,Kdb Services Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-27,601231821,4772.27,0,4772.27,Kdb Services Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-27,601231827,7143.25,0,7143.25,Kdb Services Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-27,1600616708,2300.83,0,2300.83,Lancashire County Council,People (Childrens) Service Group,Payts to Other LA's
Salford City Council,2018-11-27,601230556,2006,0,2006,M Shamim,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-27,601230564,17775,0,17775,Mainline 8S Executive Travel Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-27,601231260,4356.06,0,4356.06,Marston Group Limited,Service Reform (Corp Bus & Transform),VAT Adjustment
Salford City Council,2018-11-27,601230529,1896.39,0,1896.39,Mds Mini Buses (Manchester) Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-27,601230531,2720,0,2720,Mds Mini Buses (Manchester) Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-27,1600616922,756,126,630,Metdesk Ltd,Place Directorate,Oth Office Expenses
Salford City Council,2018-11-27,1600616917,4165.2,694.2,3471,Metdesk Ltd,Place Directorate,Oth Office Expenses
Salford City Council,2018-11-27,601231120,715.99,0,715.99,Odd Arts,People (Childrens) Service Group,Training of Others
Salford City Council,2018-11-27,601230560,864,0,864,P A Devine,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-27,1600617929,651.05,0,651.05,Patrol,Place Directorate,Mediation Service
Salford City Council,2018-11-27,1600617928,2297.8,0,2297.8,Patrol,Place Directorate,Mediation Service
Salford City Council,2018-11-27,1600616927,1311.36,218.56,1092.8,Phoenix Software Ltd,Service Reform (Corp Bus & Transform),Computer Software
Salford City Council,2018-11-27,1600614475,1299.64,0,1299.64,Places For People Living+ Ltd,People (Childrens) Service Group,Children Act-Sect 23
Salford City Council,2018-11-27,601230411,1230,205,1025,Protocol Education,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-11-27,601231777,836.11,139.35,696.76,Reach Publishing Services Ltd,Place Directorate,Legal Fees
Salford City Council,2018-11-27,601231779,857.28,142.88,714.4,Reach Publishing Services Ltd,Place Directorate,Marketing/Publicity
Salford City Council,2018-11-27,601231778,3086.21,514.37,2571.84,Reach Publishing Services Ltd,Place Directorate,Legal Fees
Salford City Council,2018-11-27,6002677736,526.04,0,526.04,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2018-11-27,6002677682,541.16,0,541.16,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2018-11-27,6002677743,542.08,0,542.08,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2018-11-27,6002677666,551.28,0,551.28,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2018-11-27,6002677672,553.52,0,553.52,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2018-11-27,6002677812,567.48,0,567.48,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2018-11-27,6002677761,567.68,0,567.68,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2018-11-27,6002677695,588.24,0,588.24,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2018-11-27,601230576,600,0,600,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-27,6002677678,638.64,0,638.64,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2018-11-27,6002677717,660,0,660,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2018-11-27,601230575,680,0,680,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-27,6002677815,709.08,0,709.08,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2018-11-27,6002677688,724,0,724,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2018-11-27,6002677674,760,0,760,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2018-11-27,6002677758,840.64,0,840.64,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2018-11-27,6002677661,857.2,0,857.2,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2018-11-27,601230557,960,0,960,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-27,601230532,990,0,990,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-27,6002677819,993.44,0,993.44,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2018-11-27,6002677755,1276.88,0,1276.88,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2018-11-27,6002677806,1287.36,0,1287.36,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2018-11-27,6002677739,1423.12,0,1423.12,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2018-11-27,601230533,1500,0,1500,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-27,1600618188,1579.2,0,1579.2,Redacted Data,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-27,6002677752,1620,0,1620,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2018-11-27,6002677726,1793.4,0,1793.4,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2018-11-27,1600618186,2144,0,2144,Redacted Data,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-27,6002677722,2936.56,0,2936.56,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2018-11-27,601231843,7283.25,0,7283.25,Redacted Data,People (Childrens) Service Group,Refunds
Salford City Council,2018-11-27,1600616929,1240.62,0,1240.62,Rochdale Mbc,People (Childrens) Service Group,Payts to Other LA's
Salford City Council,2018-11-27,1600616930,3295.38,0,3295.38,Rochdale Mbc,People (Childrens) Service Group,Payts to Other LA's
Salford City Council,2018-11-27,1600618200,749.26,124.88,624.38,S & W Tlp (Project Co Two) Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2018-11-27,1600618198,944.88,157.48,787.4,S & W Tlp (Project Co Two) Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2018-11-27,1600618201,1677,279.5,1397.5,S & W Tlp (Project Co Two) Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2018-11-27,1600618197,2374.2,395.7,1978.5,S & W Tlp (Project Co Two) Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2018-11-27,601230549,900,0,900,Saeed A Vakharia T/A Imperial Trave,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-27,1600617434,5000,0,5000,Safe Families For Children Uk Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-27,601231791,54055.85,0,54055.85,Salix Homes Limited,Service Reform (Corp Bus & Transform),Tenants Rental
Salford City Council,2018-11-27,1600617958,1540,0,1540,Smartruck Uk,Place Directorate,Materials
Salford City Council,2018-11-27,601231826,6429.21,0,6429.21,Street Uk Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2018-11-27,601230559,1700,0,1700,T/A D & H Enterprises,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-27,1600616919,633.6,105.6,528,T/A Jba Consulting,Place Directorate,Contractors
Salford City Council,2018-11-27,601231501,9792,0,9792,T/A School Transport Solution,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-27,1600616962,2100,350,1750,Technical Surfaces Ltd,Capital Expenditure,Other Works
Salford City Council,2018-11-27,1600617474,504.66,84.11,420.55,Terberg Matec Uk Ltd,Capital Expenditure,Vehicle Maintenance
Salford City Council,2018-11-27,1600617579,1065.77,0,1065.77,Together Trust,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-27,1600617580,1659.8,0,1659.8,Together Trust,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-27,1600617578,2889.07,0,2889.07,Together Trust,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-27,1600617577,3497.04,0,3497.04,Together Trust,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-27,1600617735,7872,0,7872,Together Trust,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-27,1600617576,17670,0,17670,Together Trust,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-27,601231498,2520,0,2520,Travel By Myles,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-27,1600618145,3283.2,547.2,2736,W H Good Ltd,Capital Expenditure,Works & Building
Salford City Council,2018-11-27,1600618144,7794.47,1299.08,6495.39,W H Good Ltd,Capital Expenditure,Works & Building
Salford City Council,2018-11-27,1600617052,27734.23,4622.37,23111.86,Xma Ltd,Capital Expenditure,Purch of Comp Equip
Salford City Council,2018-11-27,1600617420,5500,0,5500,Ymca Training Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-27,kwzgxqlqd,593.06,,593.06,Brake Bros Ltd,Place Directorate,Food and refreshments
Salford City Council,2018-11-27,hcvvxdamo,530.28,3.88,526.4,Brake Bros Ltd,Place Directorate,Food and refreshments
Salford City Council,2018-11-27,ynhzjghmi,612.13,1.45,610.68,Brake Bros Ltd,Place Directorate,Food and refreshments
Salford City Council,2018-11-27,enyqphsck,956.63,50.53,906.1,Brake Bros Ltd,Place Directorate,Food and refreshments
Salford City Council,2018-11-28,601230566,10426.88,0,10426.88,Abc Coach Hire Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-11-28,1600617281,506.06,84.34,421.72,Alliance Disposables Ltd,Place Directorate,Materials
Salford City Council,2018-11-28,1600617031,7812.77,1302.13,6510.64,Allpay Ltd,Service Reform (Corp Bus & Transform),Bank Commission
Salford City Council,2018-11-28,601231305,1200,200,1000,An Computing Ltd,Public Health,Payts to Agencies
Salford City Council,2018-11-28,1600618244,2232,372,1860,Barratt & Hughes,Capital Expenditure,Works & Building
Salford City Council,2018-11-28,601231893,570.15,0,570.15,Bridgewater Community Health Nhs,Public Health,Payts to Agencies
Salford City Council,2018-11-28,1600617747,924.67,154.11,770.56,C P Davidson & Sons Ltd,Place Directorate,Vehicle Maintenance
Salford City Council,2018-11-28,1600618235,25673.92,4278.99,21394.93,Carlton Fuels,Place Directorate,Vehcle Ancillar Cost
Salford City Council,2018-11-28,601231916,5809.43,0,5809.43,Central Manchester University,Public Health,Payts to Agencies
Salford City Council,2018-11-28,601231338,30905.92,0,30905.92,Central Manchester University,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-28,601231882,613.11,0,613.11,Chelsea & Westminster Hospital Nhs,Public Health,Payts to Agencies
Salford City Council,2018-11-28,601231885,562,0,562,Cherry Medical Practice,Public Health,Payts to Agencies
Salford City Council,2018-11-28,1600617236,828,138,690,Container Care Solutions Ltd,Place Directorate,Equipment Repair
Salford City Council,2018-11-28,1600617016,29472.9,0,29472.9,Cora Foundation,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-11-28,601231887,665.82,0,665.82,East Cheshire Nhs Trust,Public Health,Payts to Agencies
Salford City Council,2018-11-28,1600618249,720,120,600,Environtec Ltd,Capital Expenditure,Demolition
Salford City Council,2018-11-28,601231258,578.96,0,578.96,Equita Limited,Service Reform (Corp Bus & Transform),VAT Adjustment
Salford City Council,2018-11-28,601231259,912.71,0,912.71,Equita Limited,Service Reform (Corp Bus & Transform),VAT Adjustment
Salford City Council,2018-11-28,601231908,18292.8,3048.8,15244,Experian Ltd,Public Health,IT  Licence Fee
Salford City Council,2018-11-28,1600616932,1546.97,257.83,1289.14,Ezcctv.Com Ltd,Service Reform (Corp Bus & Transform),Equipment Maint'ce
Salford City Council,2018-11-28,601230219,702,117,585,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2018-11-28,1600618142,28957.5,4826.25,24131.25,Grade 2 Structural Repairs Ltd,Capital Expenditure,Works & Building
