Strgrp(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq No,Period,Supplier id(T),Amount,Updated,GC Supplier red,VAT RegNo,Report,Type
Community Based Services,Third Party Payments,Third Party Payments,60040397,607,201202,ANCHOR TRUST,7.08,2012-05-14,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,608,201202,ANCHOR TRUST,7.08,2012-05-14,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,609,201202,ANCHOR TRUST,7.08,2012-05-14,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,610,201202,ANCHOR TRUST,7.08,2012-05-14,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,611,201202,ANCHOR TRUST,17.28,2012-05-14,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,612,201202,ANCHOR TRUST,17.28,2012-05-14,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,613,201202,ANCHOR TRUST,17.28,2012-05-14,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,614,201202,ANCHOR TRUST,17.28,2012-05-14,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,615,201202,ANCHOR TRUST,17.28,2012-05-14,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,616,201202,ANCHOR TRUST,17.28,2012-05-14,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,617,201202,ANCHOR TRUST,17.28,2012-05-14,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,619,201202,ANCHOR TRUST,17.28,2012-05-14,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,620,201202,ANCHOR TRUST,17.28,2012-05-14,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,621,201202,ANCHOR TRUST,17.28,2012-05-14,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040397,622,201202,ANCHOR TRUST,17.28,2012-05-14,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,370,201202,ANCHOR TRUST,23.08,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,372,201202,ANCHOR TRUST,27.24,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,373,201202,ANCHOR TRUST,27.24,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,374,201202,ANCHOR TRUST,23.08,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,375,201202,ANCHOR TRUST,27.24,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,376,201202,ANCHOR TRUST,23.08,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,377,201202,ANCHOR TRUST,23.08,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,378,201202,ANCHOR TRUST,23.08,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,379,201202,ANCHOR TRUST,27.24,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,380,201202,ANCHOR TRUST,27.24,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,381,201202,ANCHOR TRUST,23.08,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,382,201202,ANCHOR TRUST,27.24,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,383,201202,ANCHOR TRUST,27.24,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,384,201202,ANCHOR TRUST,27.24,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,385,201202,ANCHOR TRUST,27.24,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,386,201202,ANCHOR TRUST,27.24,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,387,201202,ANCHOR TRUST,27.24,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,388,201202,ANCHOR TRUST,27.24,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,389,201202,ANCHOR TRUST,27.24,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,390,201202,ANCHOR TRUST,27.24,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,391,201202,ANCHOR TRUST,23.08,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,392,201202,ANCHOR TRUST,23.08,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,393,201202,ANCHOR TRUST,17.76,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,394,201202,ANCHOR TRUST,23.08,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,395,201202,ANCHOR TRUST,17.76,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,396,201202,ANCHOR TRUST,17.76,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,397,201202,ANCHOR TRUST,17.76,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,398,201202,ANCHOR TRUST,17.76,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,399,201202,ANCHOR TRUST,17.76,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,400,201202,ANCHOR TRUST,17.76,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,401,201202,ANCHOR TRUST,17.76,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,402,201202,ANCHOR TRUST,17.76,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,403,201202,ANCHOR TRUST,17.76,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,404,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,405,201202,ANCHOR TRUST,23.08,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,406,201202,ANCHOR TRUST,23.08,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,407,201202,ANCHOR TRUST,23.08,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,408,201202,ANCHOR TRUST,23.08,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,409,201202,ANCHOR TRUST,23.08,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,410,201202,ANCHOR TRUST,17.76,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,411,201202,ANCHOR TRUST,23.08,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,412,201202,ANCHOR TRUST,23.08,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,413,201202,ANCHOR TRUST,23.08,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,414,201202,ANCHOR TRUST,27.24,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,415,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,416,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,417,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,418,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,419,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,420,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,421,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,422,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,423,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,424,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,425,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,426,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,427,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,428,201202,ANCHOR TRUST,19.24,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,429,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,430,201202,ANCHOR TRUST,19.24,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,431,201202,ANCHOR TRUST,19.24,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,432,201202,ANCHOR TRUST,19.24,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,433,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,434,201202,ANCHOR TRUST,19.24,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,435,201202,ANCHOR TRUST,19.24,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,436,201202,ANCHOR TRUST,19.24,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,437,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,438,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,439,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,440,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,441,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,442,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,443,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,444,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,445,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,446,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,447,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,448,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,449,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,450,201202,ANCHOR TRUST,17.76,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,451,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,452,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,453,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,454,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,455,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,456,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,457,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,458,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,459,201202,ANCHOR TRUST,15.44,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,460,201202,ANCHOR TRUST,17.76,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,461,201202,ANCHOR TRUST,17.76,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,462,201202,ANCHOR TRUST,5.88,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,463,201202,ANCHOR TRUST,17.76,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,464,201202,ANCHOR TRUST,5.88,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,465,201202,ANCHOR TRUST,5.88,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,466,201202,ANCHOR TRUST,5.88,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,467,201202,ANCHOR TRUST,5.88,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,468,201202,ANCHOR TRUST,5.88,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,469,201202,ANCHOR TRUST,5.88,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,470,201202,ANCHOR TRUST,5.88,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,471,201202,ANCHOR TRUST,5.88,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,472,201202,ANCHOR TRUST,6.88,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,473,201202,ANCHOR TRUST,5.88,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,474,201202,ANCHOR TRUST,6.88,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,475,201202,ANCHOR TRUST,6.88,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,476,201202,ANCHOR TRUST,6.88,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,477,201202,ANCHOR TRUST,6.88,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,478,201202,ANCHOR TRUST,6.88,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,479,201202,ANCHOR TRUST,6.88,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,480,201202,ANCHOR TRUST,6.88,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,481,201202,ANCHOR TRUST,6.88,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,482,201202,ANCHOR TRUST,6.88,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,483,201202,ANCHOR TRUST,5.88,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,484,201202,ANCHOR TRUST,5.88,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,486,201202,ANCHOR TRUST,5.88,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,496,201202,ANCHOR TRUST,6.88,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,499,201202,ANCHOR TRUST,5.88,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,506,201202,ANCHOR TRUST,6.88,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,507,201202,ANCHOR TRUST,7.08,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,508,201202,ANCHOR TRUST,17.28,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,509,201202,ANCHOR TRUST,7.08,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,510,201202,ANCHOR TRUST,17.28,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,511,201202,ANCHOR TRUST,17.28,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,512,201202,ANCHOR TRUST,17.28,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,513,201202,ANCHOR TRUST,17.28,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,514,201202,ANCHOR TRUST,17.28,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,515,201202,ANCHOR TRUST,17.28,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,516,201202,ANCHOR TRUST,17.28,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,517,201202,ANCHOR TRUST,17.28,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,518,201202,ANCHOR TRUST,17.28,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,519,201202,ANCHOR TRUST,17.28,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,520,201202,ANCHOR TRUST,17.76,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,521,201202,ANCHOR TRUST,17.28,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,522,201202,ANCHOR TRUST,17.76,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,523,201202,ANCHOR TRUST,17.76,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,524,201202,ANCHOR TRUST,17.76,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,525,201202,ANCHOR TRUST,17.28,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,526,201202,ANCHOR TRUST,17.76,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,527,201202,ANCHOR TRUST,17.76,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,528,201202,ANCHOR TRUST,17.28,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,529,201202,ANCHOR TRUST,17.28,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,530,201202,ANCHOR TRUST,17.28,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,531,201202,ANCHOR TRUST,7.08,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,532,201202,ANCHOR TRUST,17.28,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,533,201202,ANCHOR TRUST,7.08,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,534,201202,ANCHOR TRUST,7.08,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,535,201202,ANCHOR TRUST,7.08,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,536,201202,ANCHOR TRUST,7.08,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,537,201202,ANCHOR TRUST,7.08,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,538,201202,ANCHOR TRUST,7.08,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,539,201202,ANCHOR TRUST,7.08,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,540,201202,ANCHOR TRUST,7.08,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,541,201202,ANCHOR TRUST,7.08,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,542,201202,ANCHOR TRUST,19.24,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,543,201202,ANCHOR TRUST,17.28,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,544,201202,ANCHOR TRUST,7.08,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,545,201202,ANCHOR TRUST,17.28,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,546,201202,ANCHOR TRUST,17.28,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,547,201202,ANCHOR TRUST,17.28,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,548,201202,ANCHOR TRUST,7.08,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,549,201202,ANCHOR TRUST,17.28,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,550,201202,ANCHOR TRUST,17.28,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,551,201202,ANCHOR TRUST,7.08,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,552,201202,ANCHOR TRUST,19.24,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60040398,553,201202,ANCHOR TRUST,19.24,2012-05-16,8400012GC,,TRDATA1RCJ,Revenue
